Customer Key,Customer Name,Address1,City,State,Zip,Project Revenue,Service Contract Revenue,T&M Revenue,Total Revenue
CN992368SERV_GP,10% CABINETRY,7757 UNION CENTER BLVD,WEST CHESTER TOWNSHIP,OH,45011,,$226,,$226
TN992067SERV_GP,"109 INDEPENDENCE LANE, LLC",C/O GRACE FAMILY TRUST,PALOS VERDES ESTATES,CA,90274,,$13035,$19392,$32427
16POINTSOLUTIONMECH_GP,16 POINT SOLUTION,7351 E. KEMPER RD,Cincinnati,OH,45249,$710,,,$710
IN990411SERV_GP,161 SPRINGMILL PROPERTIES LLC C/O KENNMAR LLC,5253 W. 16TH ST,SPEEDWAY,IN,46224,$165837,,$97972,$263809
CN992360SERV_GP,1633  CLIO AVENUE,1633 CLIO AVENUE,Cincinnati,OH,45230,,,$510,$510
IN990470SERV_GP,20 N DELAWARE LLC,PO BOX 706,DANVILLE,IN,46122-0706,,,$422,$422
TN991431SERV_GP,21ST MORTGAGE CORPORATION,PO BOX 2706,KNOXVILLE,TN,37901,,$287,,$287
2NDS IN BLDGMECH_GP,2nds in Building Material,6052 Lee Highway,"Chattanooga,",TN,37421,$1487,,,$1487
CN940350SERV_GP,3001 HIGHLAND PARTNERSHIP,3001 HIGHLAND AVE,Cincinnati,OH,45219,$161534,$50342,$4657,$216533
TN992121SERV_GP,34 MARKET SQUARE LLC,28 MARKET SQUARE,KNOXVILLE,TN,37902,,$1668,$5558,$7226
NV15030SERV_GP,3665 MALLORY JV LLC CO FOUNDRY COMMERCIAL LLC,511 UNION ST STE 810,NASHVILLE,TN,37219,$30095,$67408,$49319,$146822
3D TECHMECH_GP,3D TECHNICAL SERVICES,255 INDUSTRIAL DRIVE,Franklin,OH,45005,$10256,,,$10256
TN992018SERV_GP,3LS PROPERTIES CHATTANOOGA C/O REALTY TRUST GROUP,2220 SUTHERLAND AVENUE,KNOXVILLE,TN,37919,,$11815,$2776,$14591
4000 ASSOCIATESMECH_GP,4000 ASSOCIATES,1113 RED FOX RD,Louisville,KY,40205,$27184,,,$27184
45NINETYCONSTRUMECH_GP,45 NINETY CONSTRUCTION,5533 FAIR LANE,Cincinnati,OH,45227,$1618591,,,$1618591
