AgreementKey,Customer Key,Contract with Year,Contract,Contract Year,Check if Customer in CUSTOMERS_D,Check if Contract in CONTRACTS_D,Contract_Internal_Name,Max Contract Year from CONTRACTS_D,,,,,,,
CN890003SERV_GP_P12670_1,CN890003SERV_GP,P12670_1,P12670,1,1,0,#N/A,0,,,,,,,
CN930097SERV_GP_P12446_1,CN930097SERV_GP,P12446_1,P12446,1,1,0,#N/A,0,,,,,,,
CN991540SERV_GP_C3178_1,CN991540SERV_GP,C3178_1,C3178,1,1,1,CERTIFIED,7,,,,,,,
CN991540SERV_GP_C3178_2,CN991540SERV_GP,C3178_2,C3178,2,1,1,CERTIFIED,7,,,,,,,
CN991540SERV_GP_C3178_3,CN991540SERV_GP,C3178_3,C3178,3,1,1,CERTIFIED,7,,,,,,,P12555
CN991540SERV_GP_C3178_4,CN991540SERV_GP,C3178_4,C3178,4,1,1,CERTIFIED,7,,,,,,,
CN991540SERV_GP_C3178_5,CN991540SERV_GP,C3178_5,C3178,5,1,1,CERTIFIED,7,,,,,,,
CN991540SERV_GP_C3178_6,CN991540SERV_GP,C3178_6,C3178,6,1,1,CERTIFIED,7,,,,,,,
CN991794SERV_GP_C2468_3,CN991794SERV_GP,C2468_3,C2468,3,1,1,CERTIFIED,6,,,,,,,
CN991794SERV_GP_C2468_4,CN991794SERV_GP,C2468_4,C2468,4,1,1,CERTIFIED,6,,,,,,,
CN991805SERV_GP_C3352_1,CN991805SERV_GP,C3352_1,C3352,1,1,1,CERTIFIED,4,,,,,,,
DY990960SERV_GP_C3297_1,DY990960SERV_GP,C3297_1,C3297,1,1,5,CERTIFIED,7,,,,,,,
DY990985SERV_GP_C3332_1,DY990985SERV_GP,C3332_1,C3332,1,1,1,CERTIFIED,6,,,,,,,
DY990985SERV_GP_C3332_2,DY990985SERV_GP,C3332_2,C3332,2,1,1,CERTIFIED,6,,,,,,,
DY990985SERV_GP_C3332_3,DY990985SERV_GP,C3332_3,C3332,3,1,1,CERTIFIED,6,,,,,,,
DY991035SERV_GP_C5319_1,DY991035SERV_GP,C5319_1,C5319,1,1,1,CERTIFIED,4,,,,,,,
IN200001SERV_GP_C0524_1,IN200001SERV_GP,C0524_1,C0524,1,1,6,CERTIFIED,5,,,,,,,
IN200001SERV_GP_C0524_2,IN200001SERV_GP,C0524_2,C0524,2,1,6,CERTIFIED,5,,,,,,,
IN200001SERV_GP_C0524_3,IN200001SERV_GP,C0524_3,C0524,3,1,6,CERTIFIED,5,,,,,,,
IN200001SERV_GP_C0578_1,IN200001SERV_GP,C0578_1,C0578,1,1,3,CERTIFIED,5,,,,,,,
IN200001SERV_GP_C0578_2,IN200001SERV_GP,C0578_2,C0578,2,1,3,CERTIFIED,5,,,,,,,
IN200001SERV_GP_C0578_3,IN200001SERV_GP,C0578_3,C0578,3,1,3,CERTIFIED,5,,,,,,,
IN980003SERV_GP_C0658_1,IN980003SERV_GP,C0658_1,C0658,1,1,8,CERTIFIED,6,,,,,,,
IN980003SERV_GP_C0658_2,IN980003SERV_GP,C0658_2,C0658,2,1,8,CERTIFIED,6,,,,,,,
IN980003SERV_GP_C0658_3,IN980003SERV_GP,C0658_3,C0658,3,1,8,CERTIFIED,6,,,,,,,
IN980003SERV_GP_C0660_1,IN980003SERV_GP,C0660_1,C0660,1,1,3,CERTIFIED,6,,,,,,,
IN980003SERV_GP_C0660_2,IN980003SERV_GP,C0660_2,C0660,2,1,3,CERTIFIED,6,,,,,,,
