Master Customer Name Canonical,Company Website,NAICS,Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Rationale,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome,Notes,Updated At
# Example row (verified):,,,,,,,,,,,,
# AMAZON,amazon.com,454110,Internet Retail,Verified,High,Verified via official website and public profile,Analyst,1,2026-01-19 12:00:00,Verified,,
161 SPRINGMILL PROPERTIES,kennmar.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
3LS PROPERTIES CHATTANOOGA,realtytrustgroup.com,531312,Healthcare Real Estate Mgmt,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
4000 ASSOCIATES,,531120,Property Holding,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
45NINETY CONSTRUCTION,45ninety.com,236220,Commercial Construction,Verified,,,Analyst,,2026-01-19 14:59:47,,,
513 PROPERTY MANAGEMENT,,531312,Property Management,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
ABSOLUTE VALUE MANAGEMENT,avmre.com,531311,Residential Property Mgmt,Verified,,,Analyst,,2026-01-19 14:59:47,,,
ADAIR COUNTY FISCAL COURT,adair.ky.gov,921110,Local Government,Verified,,,Analyst,,2026-01-19 14:59:47,,,
AGREE REALTY,agreerealty.com,531120,Real Estate Investment Trust,Verified,,,Analyst,,2026-01-19 14:59:47,,,
AJK MANAGEMENT,,531312,Property Management,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
ALO PROPERTY MANAGEMENT,alopg.com,531312,Commercial Property Mgmt,Verified,,,Analyst,,2026-01-19 14:59:47,,,
ARCHDIOCESE OF CINCINNATI,catholicaoc.org,813110,Religious Organization,Verified,,,Analyst,,2026-01-19 14:59:47,,,
ATHENAEUM OF OHIOMT ST MARYS SEMINARY,athenaeum.edu,611310,Theological Seminary,Verified,,,Analyst,,2026-01-19 14:59:47,,,
AUGLAIZE COUNTY OH,auglaizecounty.org,921110,Local Government,Verified,,,Analyst,,2026-01-19 14:59:47,,,
AURORA PROPERTIES,avisonyoung.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
B AND B PROPERTIES,,531120,Property Holding,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
BAEOLOPHUS PARTNERS,,531120,Investment Partnership,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
BATAVIA LOCAL SCHOOL DISTRICT,bataviaschools.org,611110,Public School District,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
