Master Customer Name Canonical,Company Website,NAICS,Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Rationale,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome,Notes,Updated At
# Example row (verified):,,,,,,,,,,,,
# AMAZON,amazon.com,454110,Internet Retail,Verified,High,Verified via official website and public profile,Analyst,1,2026-01-19 12:00:00,Verified,,
10% CABINETRY,10percentcabinetry.com,238350,Finish Carpentry Contractors,Verified,,,Analyst,1,2026-01-20 14:29:45,,,2026-01-20 14:29:45
109 INDEPENDENCE LANE,,531110,Residential Rental,Deferred,,,Analyst,1,2026-01-20 09:43:12,,,2026-01-20 09:43:12
16 POINT SOLUTION,,,,Deferred,,,Analyst,1,2026-01-20 11:54:08,,,2026-01-20 11:54:08
161 SPRINGMILL PROPERTIES,kennmar.com,531312,Commercial Property Mgmt,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
1633 CLIO AVENUE,,531110,Residential Rental,Deferred,,,Analyst,1,2026-01-20 09:43:12,,,2026-01-20 09:43:12
20 N DELAWARE,,531120,Nonresidential Building,Deferred,,,Analyst,1,2026-01-20 09:43:12,,,2026-01-20 09:43:12
21ST MORTGAGE,21stmortgage.com,522292,Mortgage Lending,Verified,,,Analyst,1,2026-01-20 09:43:12,,,2026-01-20 09:43:12
2NDS IN BUILDING MATERIAL,southeasternsalvage.com,444190,Other Building Material Dealers,Verified,,,Analyst,1,2026-01-20 14:29:45,,,2026-01-20 14:29:45
3001 HIGHLAND PARTNERSHIP,psychotherapycincinnati.com,531120,Lessors of Nonresidential Buildings,Verified,,,Analyst,1,2026-01-20 14:29:45,,,2026-01-20 14:29:45
34 MARKET SQUARE,,531120,Nonresidential Building,Deferred,,,Analyst,1,2026-01-20 09:43:12,,,2026-01-20 09:43:12
3665 MALLORY JV,,,,Deferred,,,Analyst,1,2026-01-20 14:29:45,,,2026-01-20 14:29:45
3D TECHNICAL SERVICES,3-dtechnicalservices.com,541330,Engineering Services,Verified,,,Analyst,1,2026-01-20 14:29:45,,,2026-01-20 14:29:45
3LS PROPERTIES CHATTANOOGA,realtytrustgroup.com,531312,Healthcare Real Estate Mgmt,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
4000 ASSOCIATES,,531120,Property Holding,Verified,,,Analyst,1,2026-01-19 15:13:46,,,2026-01-19 15:13:46
45NINETY CONSTRUCTION,45ninety.com,236220,Commercial Construction,Verified,,,Analyst,,2026-01-19 14:59:47,,,
4J REDEVELOPMENT,coreredevelopment.com,531110,Lessors of Residential Buildings,Verified,,,Analyst,1,2026-01-20 14:29:45,,,2026-01-20 14:29:45
502 FLETCHER AVE,,531110,Residential Rental,Deferred,,,Analyst,1,2026-01-20 09:43:12,,,2026-01-20 09:43:12
