Master Customer Name Canonical,Logo Domain,Logo Status,Attempt Count,Last Attempted At,Notes,Updated At,Hosted Logo URL
ADAIR COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/ADAIR_COUNTY_FISCAL_COURT.png
AMERICAN REGENT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/AMERICAN_REGENT.png
ANDERSON COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/ANDERSON_COUNTY_FISCAL_COURT.png
AUGLAIZE COUNTY OH,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/AUGLAIZE_COUNTY_OH.png
AZEK,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/AZEK.png
BEXLEY CITY SCHOOL DISTRICT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/BEXLEY_CITY_SCHOOL_DISTRICT.png
BOURBON COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/BOURBON_COUNTY_FISCAL_COURT.png
BOYD COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/BOYD_COUNTY_FISCAL_COURT.png
BOYLE COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/BOYLE_COUNTY_FISCAL_COURT.png
BULLITT COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/BULLITT_COUNTY_FISCAL_COURT.jpg
CARTER COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CARTER_COUNTY_FISCAL_COURT.png
CITY OF ATHENS,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_ATHENS_OH.png
CITY OF CHEVIOT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_CHEVIOT_OH.png
CITY OF CLIFTON,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_CLIFTON_TN.png
CITY OF COLUMBIA CITY INDIANA,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_COLUMBIA_CITY_IN.png
CITY OF CYNTHIANA,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_CYNTHIANA_KY.png
CITY OF FRANKLIN IN,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_FRANKLIN_IN.png
CITY OF GLASGOW KY,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_GLASGOW_KY.png
CITY OF HAMMOND IN,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_HAMMOND_IN.png
CITY OF LAWRENCE INDIANA,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_LAWRENCE_IN.png
CITY OF LOUISA KENTUCKY,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_LOUISA_KY.png
CITY OF MIDDLETOWN,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_MIDDLETOWN_OH.png
CITY OF MONROE,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_MONROE_OH.png
CITY OF NORTH COLLEGE HILL,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_NORTH_COLLEGE_HILL_OH.png
CITY OF PARIS,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_PARIS_KY.png
CITY OF SHARONVILLE,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_SHARONVILLE_OH.png
CITY OF SOUTH CHARLESTON WV,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_SOUTH_CHARLESTON_WV.png
CITY OF ST BERNARD,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CITY_OF_ST_BERNARD_OH.png
CLINTON COUNTY OH,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/CLINTON_COUNTY_OH.png
DALEVILLE COMMUNITY SCHOOLS,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/DALEVILLE_COMMUNITY_SCHOOLS.png
DAYTON ART INSTITUTE,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/DAYTON_ART_INSTITUTE.jpg
FIRST BAPTIST CHURCH OF BOWLING GREEN,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/FIRST_BAPTIST_CHURCH_OF_BOWLING_GREEN.png
GOODWILL INDUSTRIES OF KY,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/GOODWILL_INDUSTRIES.png
GOODWILL SOUTHERN INDIANA,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/GOODWILL_INDUSTRIES.png
GORILLA GLUE,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/GORILLA_GLUE.png
GREATER CLARK COUNTY SCHOOLS,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/GREATER_CLARK_COUNTY_SCHOOLS.png
GREENUP COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/GREENUP_COUNTY_FISCAL_COURT.png
HARLAN COUNTY FISCAL COURT,,Hosted,0,,,2026-01-21 10:15:32,https://stgreen.blob.core.windows.net/logos/HARLAN_COUNTY_FISCAL_COURT.png
