From Master Customer Name Canonical,To Master Customer Name Canonical,Notes
JW MARRIOT,JW MARRIOTT,Fix source misspelling (NV00175SERV_GP)
PERFECTION MECHANICAL,PERFECTION GROUP,Roll up related entities
PERFECTION SERVICES,PERFECTION GROUP,Roll up related entities
AMCOR RIGID PLASTICS,AMCOR RIGIDS,Alias rollup (Batch4 dedupe note)
AMCOR RIGID PLASTICS USA,AMCOR RIGIDS,Alias rollup (variant)
SILCO FIRE AND SECURITY CENTERVILLE,SILCO FIRE AND SECURITY,Location rollup
SILCO FIRE AND SECURITY CINCINNATI,SILCO FIRE AND SECURITY,Location rollup
FRANKLIN BRAZING,FRANKLIN BRAZING AND METAL TREATMENT,Alias rollup (manual)
FRONTIER COMMUNICATIONS CORPORATE SERVCIE,FRONTIER COMMUNICATIONS,Alias rollup (manual)
FRONTIER COMMUNICATIONS CORPORATE SERVICES,FRONTIER COMMUNICATIONS,Alias rollup (manual)
FRONTIER A CITZENS COMMUNICATIONS,FRONTIER COMMUNICATIONS,Alias rollup (manual; typo variant)
FRONTIER A CITIZENS COMMUNICATIONS,FRONTIER COMMUNICATIONS,Alias rollup (manual)
TUFF TORQ RESIDENCE,TUFF TORQ,Residence name cleanup
TOYOTA TSUSHO NEXTY ELECTRONICS AMERICA TTNEA,TOYOTA TSUSHO,Alias rollup (manual)
PSC CENTRAL PARK,PSC METALS,Roll up PSC location/entity variants to PSC METALS
PSC SOUTHERN FOUNDRY,PSC METALS,Roll up PSC location/entity variants to PSC METALS
PSC METALS INC,PSC METALS,Roll up PSC name variant to PSC METALS
