CUSTOMER_NUMBER,CUSTOMER_KEY,CUSTOMER_NAME,CUSTOMER_CLASS,ADDRESS1,ADDRESS2,COUNTRY,CITY,STATE,ZIP,PHONE1,PAYMENT_TERM,CREATED,UPDATED
LX200106,LX200106SERV_GP,#1 NAILS,LEXINGTON      ,2524 NICHOLASVILLE RD.,,,LEXINGTON,KY,40503,85927871630000,Net 30               ,10/12/2004 0:00,4/14/2009 0:00
CN992368,CN992368SERV_GP,10% CABINETRY,CINCINNATI     ,7757 UNION CENTER BLVD,UNIT 100,,WEST CHESTER TOWNSHIP,OH,45011,51355063700000,Net 30               ,10/6/2025 0:00,10/6/2025 0:00
474,474SERV_QUAD,10% Percent Cabinets,,,,,,,,,,,
LV990410,LV990410SERV_GP,10525 TIMBERWOOD CIRCLE STE E,LOUISVILLE     ,10525 TIMBERWOOD CIRCLE STE E,,,LOUISVILLE,KY,40223,50293978450000,Net 30               ,11/14/2019 0:00,11/14/2019 0:00
TN992067,TN992067SERV_GP,"109 INDEPENDENCE LANE, LLC",KNOXVILLE      ,C/O GRACE FAMILY TRUST,4012 VIA SOLANO,,PALOS VERDES ESTATES,CA,90274,21338854160000,Net 30               ,9/9/2021 0:00,3/27/2024 0:00
CN992043,CN992043SERV_GP,11111 KENWOOD,CINCINNATI     ,11129 KENWOOD RD,,,BLUE ASH,OH,45242,51379497000000,Net 30               ,11/6/2019 0:00,1/26/2021 0:00
16POINTSOLUTION,16POINTSOLUTIONMECH_GP,16 POINT SOLUTION,COMMERCIAL     ,7351 E. KEMPER RD,SUITE D,"Cincinnati, Oh",CINCINNATI,OH,45249,51342954730000,Net 10               ,8/7/2019 0:00,8/7/2019 0:00
IN990411,IN990411SERV_GP,161 SPRINGMILL PROPERTIES LLC C/O KENNMAR LLC,INDIANAPOLIS   ,5253 W. 16TH ST,,,SPEEDWAY,IN,46224,31763555550000,Net 30               ,4/11/2022 0:00,5/1/2024 0:00
CN992360,CN992360SERV_GP,1633  CLIO AVENUE,CINCINNATI     ,1633 CLIO AVENUE,,,CINCINNATI,OH,45230,51360026850000,Net 30               ,7/10/2025 0:00,7/10/2025 0:00
TN991737,TN991737SERV_GP,"1882 PIZZA, LLC",KNOXVILLE      ,4437 KINGSTON PIKE,,,KNOXVILLE,TN,37914,86560221140000,Net 30               ,7/17/2015 0:00,1/30/2023 0:00
