Customer Key,Manual Master Name,Manual Segment
"# EXAMPLE: Force a specific key to be ""Amazon"" and ""Office""",,
# CN991873SERV_GP,AMAZON,Office
#,,
# EXAMPLE: Fix a bad C/O split or wrong segment,,
# TN992026SERV_GP,FLAGSHIP HEALTHCARE PROPERTIES,Medical
LX990293SERV_GP,ADAIR COUNTY FISCAL COURT,Municipal
IN990147SERV_GP,MORGAN COUNTY IN,Municipal
MORGAN COUNTYMECH_GP,MORGAN COUNTY IN,Municipal
LAWRENCE CTYMECH_GP,LAWRENCE COUNTY OH,Municipal
WV990090SERV_GP,LAWRENCE COUNTY OH,Municipal
WV990103SERV_GP,LAWRENCE COUNTY OH,Municipal
LAWRENCE DJFSMECH_GP,LAWRENCE COUNTY OH,Municipal
CN991226SERV_GP,AUGLAIZE COUNTY OH,Municipal
AUGLAIZE COMECH_GP,AUGLAIZE COUNTY OH,Municipal
CITY N COLL HILMECH_GP,CITY OF NORTH COLLEGE HILL,Municipal
CN991388SERV_GP,CITY OF NORTH COLLEGE HILL,Municipal
CN991319SERV_GP,THE CHRIST HOSPITAL,Medical
IN990302SERV_GP,CITY OF FRANKLIN IN,Municipal
CITY OF FRANKMECH_GP,CITY OF FRANKLIN IN,Municipal
CITY OF HAMMONDMECH_GP,CITY OF HAMMOND IN,Municipal
IN990257SERV_GP,CITY OF HAMMOND IN,Municipal
CITYOF S CHARLEMECH_GP,CITY OF SOUTH CHARLESTON WV,Municipal
WV990239SERV_GP,CITY OF SOUTH CHARLESTON WV,Municipal
LX990342SERV_GP,GREENUP COUNTY FISCAL COURT,Municipal
LX990502SERV_GP,POWELL COUNTY FISCAL COURT,Municipal
POWELLMECH_GP,POWELL COUNTY FISCAL COURT,Municipal
LX990405SERV_GP,WOODFORD COUNTY FISCAL COURT,Municipal
WOODFORDMECH_GP,WOODFORD COUNTY FISCAL COURT,Municipal
LX990424SERV_GP,WOODFORD COUNTY FISCAL COURT,Municipal
CITY OF ST BERNMECH_GP,CITY OF ST BERNARD,Municipal
CN991182SERV_GP,CITY OF ST BERNARD,Municipal
CLINTON CTYMECH_GP,CLINTON COUNTY OH,Municipal
DY990909SERV_GP,CLINTON COUNTY OH,Municipal
IN990416SERV_GP,ZIONSVILLE REALTY PARTNERS,
IN990385SERV_GP,ZIONSVILLE REALTY PARTNERS,
CN992362SERV_GP,TRILOGY HEALTH SERVICES,
DY991180SERV_GP,TRILOGY HEALTH SERVICES,
DY991155SERV_GP,TRILOGY HEALTH SERVICES,
CN991819SERV_GP,TRANE,
TRANEMECH_GP,TRANE,
NV00052SERV_GP,TRANE,
TN960715SERV_GP,TRANE,
"TRANE US, INCMECH_GP",TRANE,
CN990799SERV_GP,TOWNE PROPERTIES,
CN991067SERV_GP,TOWNE PROPERTIES,
CN991178SERV_GP,TOWNE PROPERTIES,
THYSSENKRUPPMECH_GP,THYSSENKRUPP BILSTEIN,
CN990760SERV_GP,THYSSENKRUPP BILSTEIN,
SUN CHEMICALMECH_GP,SUN CHEMICAL,
SUN CHEMICAL FRMECH_GP,SUN CHEMICAL,
CN991181SERV_GP,SUN CHEMICAL,
NV15111SERV_GP,SOUTHERN TENNESEE REGIONAL,Medical
NV15113SERV_GP,SOUTHERN TENNESEE REGIONAL,Medical
NV15114SERV_GP,SOUTHERN TENNESEE REGIONAL,Medical
NV15110SERV_GP,SOUTHERN TENNESEE REGIONAL,Medical
TN992209SERV_GP,SCHAAD COMPANIES,
TN992056SERV_GP,SCHAAD COMPANIES,
OWEN CTYMECH_GP,OWEN COUNTY FISCAL COURT,
CN990960SERV_GP,NEYER PROPERTIES,
NEYER MANAGEMENMECH_GP,NEYER PROPERTIES,
NEYERMECH_GP,NEYER PROPERTIES,
IN030015SERV_GP,MORNING POINTE,Healthcare
NV00005SERV_GP,MORNING POINTE,Healthcare
NV00077SERV_GP,MORNING POINTE,Healthcare
TN991655SERV_GP,MORNING POINTE,Healthcare
TN991659SERV_GP,MORNING POINTE,Healthcare
TN991656SERV_GP,MORNING POINTE,Healthcare
TN991660SERV_GP,MORNING POINTE,Healthcare
TN992144SERV_GP,MORNING POINTE,Healthcare
TN991966SERV_GP,MORNING POINTE,Healthcare
TN991657SERV_GP,MORNING POINTE,Healthcare
TN991661SERV_GP,MORNING POINTE,Healthcare
TN991658SERV_GP,MORNING POINTE,Healthcare
TN991654SERV_GP,MORNING POINTE,Healthcare
TN992036SERV_GP,MORNING POINTE,Healthcare
LX990185SERV_GP,JESSAMINE COUNTY FISCAL COURT,Municipal
LX950032SERV_GP,JESSAMINE COUNTY FISCAL COURT,Municipal
JESSAMINE COUNTMECH_GP,JESSAMINE COUNTY FISCAL COURT,Muncipal
CN992318SERV_GP,INGERSOLL-RAND,
INGERSOLL-RANDMECH_GP,INGERSOLL-RAND,
TN991998SERV_GP,HOLROB SCHAFFLER PARTNERSHIP,
TN991994SERV_GP,HOLROB SCHAFFLER PARTNERSHIP,
TN991996SERV_GP,HOLROB SCHAFFLER PARTNERSHIP,
