From Master Customer Name Canonical,To Master Customer Name Canonical,Notes
AMCOR RIGID PLASTICS,AMCOR RIGIDS,Alias rollup (Batch4 dedupe note)
AMCOR RIGID PLASTICS USA,AMCOR RIGIDS,Alias rollup (variant)
SILCO FIRE AND SECURITY CENTERVILLE,SILCO FIRE AND SECURITY,Location rollup
SILCO FIRE AND SECURITY CINCINNATI,SILCO FIRE AND SECURITY,Location rollup
FRANKLIN BRAZING,FRANKLIN BRAZING AND METAL TREATMENT,Alias rollup (manual)
FRONTIER COMMUNICATIONS CORPORATE SERVCIE,FRONTIER COMMUNICATIONS,Alias rollup (manual)
FRONTIER COMMUNICATIONS CORPORATE SERVICES,FRONTIER COMMUNICATIONS,Alias rollup (manual)
FRONTIER A CITZENS COMMUNICATIONS,FRONTIER COMMUNICATIONS,Alias rollup (manual; typo variant)
FRONTIER A CITIZENS COMMUNICATIONS,FRONTIER COMMUNICATIONS,Alias rollup (manual)
TUFF TORQ RESIDENCE,TUFF TORQ,Residence name cleanup
TOYOTA TSUSHO NEXTY ELECTRONICS AMERICA TTNEA,TOYOTA TSUSHO,Alias rollup (manual)
