Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Status,Support Category,Company Website,Notes
10% CABINETRY,Construction,Millwork/cabinetry contractor,2383,Rule-Based,Final,Mechanical Contractor,,Imported from Batch4.md; resolved '10 % CABINETRY' -> '10% CABINETRY'
109 INDEPENDENCE LANE,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,,,Imported from Batch4.md
16 POINT SOLUTION,Commercial Services,Business/IT services (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
1633 CLIO AVENUE,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,,,Imported from Batch4.md
20 N DELAWARE,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,,,Imported from Batch4.md
2NDS IN BUILDING MATERIAL,Construction,Building materials supplier/contractor,4441,Heuristic,Final,Mechanical Contractor,,Imported from Batch4.md
3001 HIGHLAND PARTNERSHIP,Commercial Real Estate,Partnership/property entity,5311,Rule-Based,Final,,,Imported from Batch4.md
34 MARKET SQUARE,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,,,Imported from Batch4.md
3665 MALLORY JV,Commercial Real Estate,JV property entity,5311,Rule-Based,Final,,,Imported from Batch4.md
3D TECHNICAL SERVICES,Construction,Technical services (construction/controls?),5413,Heuristic,Final,Mechanical Contractor,,Imported from Batch4.md
4J REDEVELOPMENT,Commercial Real Estate,Redevelopment/property entity,5311,Rule-Based,Final,,,Imported from Batch4.md
502 FLETCHER AVE,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,,,Imported from Batch4.md
56 STREET,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,,,Imported from Batch4.md
625 MARKET STREET,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,,,Imported from Batch4.md
9998 EAST 121ST STREET,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,,,Imported from Batch4.md
A CHILDS HOPE INTL,Non-Profit / Religious,Nonprofit charity,8132,Rule-Based,Final,,,Imported from Batch4.md
A T REDEVELOPMENT,Commercial Real Estate,Redevelopment/property entity,5311,Rule-Based,Final,,,Imported from Batch4.md
ABB OPTICAL GROUP,Commercial Services,Wholesale / Optical Distribution,423460,Manual Override,Final,,abboptical.com,Imported from Batch_20260117_Review.md
ABC AUTOMOTIVE SYSTEMS,Manufacturing,Automotive components,3363,Heuristic,Final,,,Imported from Batch4.md
ABLOOM FLORIST,Commercial Services,Florist retail,4531,Rule-Based,Final,Hospitality,,Imported from Batch4.md
ABSOLUTE MACHINE TOOLS,Manufacturing,Machine tool distribution,4238,Rule-Based,Final,,,Imported from Batch4.md
ACCELLA TIRE FILL SYSTEMS,Manufacturing,Industrial equipment,3339,Heuristic,Final,,,Imported from Batch4.md
ACCENTURE LLP,Commercial Services,Consulting,5416,Entity Inference,Final,,,Imported from Batch4.md
ACCUMET SPECIALTY METALS,Manufacturing,Specialty metals,331,Heuristic,Final,,,Imported from Batch4.md
ACCURATE MECHANICAL SOLUTIONS,Construction,Mechanical contractor,2382,Rule-Based,Final,Mechanical Contractor,,Imported from Batch4.md
ACTIVATE GAMES,Commercial Services,Entertainment/arcade,7139,Rule-Based,Final,Hospitality,,Imported from Batch4.md
ADKEV,Commercial Services,Services (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
ADVANCED AGRILYTICS,Commercial Services,Ag analytics/services,5417,Entity Inference,Final,,,Imported from Batch4.md
ADVANCED INDUSTRIAL MANAGMENT,Commercial Services,Industrial services (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
ADVANCED LABLEWORX,Commercial Services,Printing/labels,3231,Heuristic,Final,,,Imported from Batch4.md
ADVANTAGE ENGINEERING,Commercial Services,Engineering services,5413,Rule-Based,Final,,,Imported from Batch4.md
AEGIS PROTECTIVE SERVICES,Commercial Services,Security services,5616,Rule-Based,Final,,,Imported from Batch4.md
AELSPAN,Manufacturing,Aerospace/industrial (likely “AELSPAN” related),,AI Analyst Research,Final,,,Imported from Batch4.md
AEROBLAST,Manufacturing,Industrial equipment/services,,AI Analyst Research,Final,,,Imported from Batch4.md
AEROSPACE LUBRICANTS,Manufacturing,Specialty lubricants,3241,Heuristic,Final,,,Imported from Batch4.md
AFC URGENT CARE,Healthcare / Senior Living,Urgent care clinic,6214,Entity Inference,Final,,,Imported from Batch4.md
AFFORDABLE DENTURES,Healthcare / Senior Living,Dental clinic,6212,Entity Inference,Final,,,Imported from Batch4.md
AFFORDABLE SERVICE SOLUTIONS,Construction,Trades/services (unclear),2382,Heuristic,Final,Mechanical Contractor,,Imported from Batch4.md
AG STONES,Construction,Construction Materials,423320,Manual Override,Final,,,Imported from Batch_20260117_Review.md
AGELLAN COMMERCIAL REIT,Commercial Real Estate,Commercial REIT,5311,Rule-Based,Final,,,Imported from Batch4.md
AHC CLARKSVILLE,Healthcare / Senior Living,Skilled Nursing Facility,623110,AI Analyst Research,Final,,,Imported from Batch_20260118_Batch3.md
AICHOLTZ,Commercial Real Estate,Property Owner / Holding Co,531120,Manual Override,Final,,,Imported from Batch_20260117_Review.md
AIGC SOLUTIONS,Commercial Services,IT Consulting & Business Technology Services,5415,AI Analyst Research,Final,,https://www.aigcsolutions.com,Imported from Batch_20260118_Batch13.md
AIR ENERGY,Commercial Services,Energy services (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
AIR ENERGY SYSTEMS,Commercial Services,Energy services (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
AIR FORCE ONE,Commercial Services,Ambiguous (HVAC? airline? brand?),,AI Analyst Research,Final,,,Imported from Batch4.md
AIR GAS,Manufacturing,Industrial gases,3251,Entity Inference,Final,,,Imported from Batch4.md
AISIN AUTOMOTIVE,Manufacturing,Automotive components,3363,Entity Inference,Final,,,Imported from Batch4.md
AISIN WORLD OF AMERICA,Manufacturing,Automotive components,3363,Entity Inference,Final,,,Imported from Batch4.md
AL NEYER,Construction,Design-Build / Construction Services,236,AI Analyst Research,Final,,[https://www.alneyer.com](https://www.alneyer.com),Imported from Batch 5.md
ALBERT M HIGLEY,Construction,General Contractor,236220,Manual Override,Final,,amhigley.com,Imported from Batch_20260117_Review.md
ALEC BLAINE,Individual / Misc,Individual,,Manual Override,Final,,,Imported from Batch_20260117_Review.md
ALI INDUSTRIES,Manufacturing,Manufacturing (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
ALL ELEVEN,Commercial Real Estate,Property Owner,531120,Manual Override,Final,,,Imported from Batch_20260117_Review.md
ALL OCCASIONS EQUIP RENTALS,Commercial Services,Equipment rental,5324,Rule-Based,Final,,,Imported from Batch4.md
ALL PRO COMMERCIAL SERVICES,Construction,Commercial services/contractor,2362,Rule-Based,Final,Mechanical Contractor,,Imported from Batch4.md
ALL PRO PARKING,Commercial Services,Parking services,8129,Rule-Based,Final,,,Imported from Batch4.md
ALLIANCE TECHNICAL GROUP,Commercial Services,Engineering/testing (ATG),5413,Heuristic,Final,,,Imported from Batch4.md
ALLIED CRAWFORD CINCINNATI,Commercial Services,Services (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
ALLIED SUPPLY,Commercial Services,Distribution (unclear),4238,Heuristic,Final,,,Imported from Batch4.md
ALLISON ABRASIVES,Construction,Industrial abrasives supplier,4238,Heuristic,Final,Mechanical Contractor,,Imported from Batch4.md
ALOFT LOUISVILLE EAST,Commercial Services,Hotel,7211,Entity Inference,Final,Hospitality,,Imported from Batch4.md
ALPARC I PARKWAY OPERATING,Commercial Real Estate,Multifamily/parking operating entity (ALPARC),5311,Heuristic,Final,,,Imported from Batch4.md
ALPARC II CREEK RUN OPERATING,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,,,Imported from Batch4.md
ALPARC II DEARBORN PARK OPERATING,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,,,Imported from Batch4.md
ALPARC II LAKEVIEW OPERATING,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,,,Imported from Batch4.md
ALPARC II TULLER RIDGE OPERATING,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,,,Imported from Batch4.md
ALPARC IV CITYGATE OPERATING,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,,,Imported from Batch4.md
ALPARC IV CRAMER CREEK OPERATING,Commercial Real Estate,Multifamily operating entity (ALPARC),5311,Heuristic,Final,,,Imported from Batch4.md
ALPHA TECHNOLOGIES SERVICES,Commercial Services,Technology/services (unclear),,AI Analyst Research,Final,,,Imported from Batch4.md
ALPLA,Manufacturing,Packaging (plastics) manufacturing,3261,Entity Inference,Final,,,Imported from Batch4.md
ALSTOM,Manufacturing,Rail/industrial manufacturing,3365,Entity Inference,Final,,,Imported from Batch4.md
ALT AND WITZIG ENGINEERING,Construction,Engineering/contracting,5413,Entity Inference,Final,Mechanical Contractor,,Imported from Batch4.md
