Rank,Master Customer Name,Master Customer Name Canonical,IsMerge,MergeGroupSize,Search Query,Suggested Industrial Group,Suggested Industry Detail,Suggested Support Category,Suggested NAICS,Suggested Method,Suggested Confidence,Suggested Company Website,Example Original Names,Source 1 Title,Source 1 URL,Source 2 Title,Source 2 URL,Source 3 Title,Source 3 URL,Notes
1,Morning Pointe,MORNING POINTE,TRUE,14,Morning Pointe Morning Pointe,Unknown / Needs Review,,,,Unclassified,Low,,Morning Pointe | Morning Pointe - Franklin | Morning Pointe - Lantern,,,,,,,HTTP Error 403: Forbidden
2,Perfection Services,PERFECTION SERVICES,TRUE,8,"Perfection Services Perfection Service, Cincinnati",Unknown / Needs Review,,,,Unclassified,Low,,"Perfection Service, Cincinnati | Perfection Service, Louisville | Perfection Services Columbus",,,,,,,HTTP Error 403: Forbidden
3,Dhl,DHL,TRUE,8,Dhl company,Commercial Services,Commercial services,,,AI-Assisted Search,Medium,https://www.dhl.com,Dhl Cvg | Dhl Express | Dhl Express Inc,Wikidata: Dhl,https://www.wikidata.org/wiki/Q489815,Official website,https://www.dhl.com,,,HTTP Error 403: Forbidden
4,Chickfila,CHICKFILA,TRUE,8,Chickfila Chick-Fil-A,Unknown / Needs Review,,,,Unclassified,Low,,Chick-Fil-A | Chick-Fil-A Blue Ash | Chick-Fil-A Bridgewater Falls,,,,,,,HTTP Error 403: Forbidden
5,Harper Auto,HARPER AUTO,TRUE,6,Harper Auto Harper,Unknown / Needs Review,,,,Unclassified,Low,,Harper | Harper Acura | Harper Green House,,,,,,,HTTP Error 403: Forbidden
6,Trane,TRANE,TRUE,5,Trane company,Commercial Services,HVAC / building systems,,,AI-Assisted Search,Medium,https://www.trane.com/,Trane | Trane - La Crosse Claims Dept | Trane Company,Wikidata: Trane,https://www.wikidata.org/wiki/Q2448723,Official website,https://www.trane.com/,,,HTTP Error 403: Forbidden
7,Southern Tennesee Regional,SOUTHERN TENNESEE REGIONAL,TRUE,4,Southern Tennesee Regional South Tn Regional Pulaski C/O Jones Lang Lasalle Americas Inc,Unknown / Needs Review,,,,Unclassified,Low,,South Tn Regional Pulaski C/O Jones Lang Lasalle Americas Inc | South Tn Regional Sewanee C/O Jones Lang Lasalle Americas Inc,,,,,,,HTTP Error 403: Forbidden
8,Bgr,BGR,TRUE,4,Bgr company,Unknown / Needs Review,,,,Unclassified,Low,,Bgr | Bgr Inc | Bgr Packaging,Wikidata: Bgr,https://www.wikidata.org/wiki/Q4969105,,,,,
9,Ugn,UGN,TRUE,3,Ugn company,Unknown / Needs Review,,,,Unclassified,Low,http://www.ugny.mairie54.fr,Ugn | Ugn Inc | Ugn Inc.,Wikidata: Ugn,https://www.wikidata.org/wiki/Q226419,Official website,http://www.ugny.mairie54.fr,,,
10,Point Blank Range and Gunshop,POINT BLANK RANGE AND GUNSHOP,TRUE,3,Point Blank Range and Gunshop Point Blank Range & Gun Shop,Unknown / Needs Review,,,,Unclassified,Low,,Point Blank Range & Gun Shop | Point Blank Range & Gunshop,,,,,,,
11,Olive Garden,OLIVE GARDEN,TRUE,3,Olive Garden Olive Garden,Commercial Services,Hospitality,Hospitality,,AI-Assisted Search,Medium,http://www.olivegarden.com,Olive Garden,Wikidata: Olive Garden,https://www.wikidata.org/wiki/Q3045312,Official website,http://www.olivegarden.com,,,
12,Newly Weds Foods,NEWLY WEDS FOODS,TRUE,3,Newly Weds Foods Newly Weds Foods,Unknown / Needs Review,,,,Unclassified,Low,,"Newly Weds Foods | Newly Weds Foods, Inc",Wikidata: Newly Weds Foods,https://www.wikidata.org/wiki/Q132074229,,,,,
13,I3 Investors,I3 INVESTORS,TRUE,3,I3 Investors I3 Investors,Unknown / Needs Review,,,,Unclassified,Low,,I3 Investors | I3 Investors Llc,,,,,,,
14,Holrob Schaffler Partnership,HOLROB SCHAFFLER PARTNERSHIP,TRUE,3,Holrob Schaffler Partnership Holrob - Schaffler Partnership C/O Premier Property Management L,Unknown / Needs Review,,,,Unclassified,Low,,Holrob - Schaffler Partnership C/O Premier Property Management L | Holrob - Schaffler Partnership I C/O Premier Property Management | Holrob - Schaffler Partnership Vi C/O Premier Property Managemen,,,,,,,
15,Enzo Building and Design,ENZO BUILDING AND DESIGN,TRUE,3,Enzo Building and Design Enzo Building & Design,Unknown / Needs Review,,,,Unclassified,Low,,"Enzo Building & Design | Enzo Building & Design, Llc | Enzo Building And Design",,,,,,,
16,Cb Richard Ellis,CB RICHARD ELLIS,TRUE,3,Cb Richard Ellis Cb Richard Ellis,Unknown / Needs Review,,,,Unclassified,Low,https://www.cbre.com,"Cb Richard Ellis | Cb Richard Ellis, Inc.",Wikidata: Cb Richard Ellis,https://www.wikidata.org/wiki/Q1023013,Official website,https://www.cbre.com,,,
17,Alpha Technologies Services,ALPHA TECHNOLOGIES SERVICES,TRUE,3,Alpha Technologies Services Alpha Technologies Services Inc,Unknown / Needs Review,,,,Unclassified,Low,,Alpha Technologies Services Inc,,,,,,,
18,Wesley Village,WESLEY VILLAGE,TRUE,2,Wesley Village Wesley Village,Unknown / Needs Review,,,,Unclassified,Low,,Wesley Village,Wikidata: Wesley Village,https://www.wikidata.org/wiki/Q16923860,,,,,
19,Usui International,USUI INTERNATIONAL,TRUE,2,Usui International Usui International,Unknown / Needs Review,,,,Unclassified,Low,,"Usui International | Usui International, Corp",,,,,,,
20,Unifirst,UNIFIRST,TRUE,2,Unifirst Unifirst Corporation,Unknown / Needs Review,,,,Unclassified,Low,,Unifirst Corporation,Wikidata: Unifirst,https://www.wikidata.org/wiki/Q114507765,,,,,
21,Tipton Interest,TIPTON INTEREST,TRUE,2,Tipton Interest Tipton Interest Inc,Unknown / Needs Review,,,,Unclassified,Low,,Tipton Interest Inc | Tipton Interests,,,,,,,
22,Thyssenkrupp Bilstein,THYSSENKRUPP BILSTEIN,TRUE,2,Thyssenkrupp Bilstein Thyssenkrupp Bilstein,Unknown / Needs Review,,,,Unclassified,Low,http://www.bilstein.de/,Thyssenkrupp Bilstein | Thyssenkrupp Bilstein Of America,Wikidata: Thyssenkrupp Bilstein,https://www.wikidata.org/wiki/Q863348,Official website,http://www.bilstein.de/,,,
23,Tgt Transportation,TGT TRANSPORTATION,TRUE,2,Tgt Transportation Tgt Transportation,Unknown / Needs Review,,,,Unclassified,Low,,Tgt Transportation,,,,,,,
24,Shoot Point Blank,SHOOT POINT BLANK,TRUE,2,Shoot Point Blank Shoot Point Blank,Unknown / Needs Review,,,,Unclassified,Low,,Shoot Point Blank,,,,,,,
25,Service Wholesale,SERVICE WHOLESALE,TRUE,2,Service Wholesale Service Wholesale Inc.,Unknown / Needs Review,,,,Unclassified,Low,,"Service Wholesale Inc. | Service Wholesale, Inc",,,,,,,
26,Schaad Companies,SCHAAD COMPANIES,TRUE,2,"Schaad Companies Schaad Commercial Investments, Sci",Unknown / Needs Review,,,,Unclassified,Low,,"Schaad Commercial Investments, Sci | Schaad Companies",,,,,,,
27,Satco,SATCO,TRUE,2,Satco company,Unknown / Needs Review,,,,Unclassified,Low,,Satco,Wikidata: Satco,https://www.wikidata.org/wiki/Q110891855,,,,,
28,Ryans All Glass,RYANS ALL GLASS,TRUE,2,Ryans All Glass Ryan'S All Glass,Unknown / Needs Review,,,,Unclassified,Low,,Ryan'S All Glass,,,,,,,HTTP Error 403: Forbidden
29,Regency,REGENCY,TRUE,2,Regency Regency,Unknown / Needs Review,,,,Unclassified,Low,,Regency | The Regency,Wikidata: Regency,https://www.wikidata.org/wiki/Q173843,,,,,HTTP Error 403: Forbidden
30,Pratt Industries,PRATT INDUSTRIES,TRUE,2,Pratt Industries Pratt Industries,Unknown / Needs Review,,,,Unclassified,Low,,Pratt Industries,,,,,,,HTTP Error 403: Forbidden
31,Pnk Ohio Dba Belterra Park,PNK OHIO DBA BELTERRA PARK,TRUE,2,Pnk Ohio Dba Belterra Park Pnk Ohio Dba Belterra Park,Unknown / Needs Review,,,,Unclassified,Low,,Pnk Ohio Dba Belterra Park,,,,,,,HTTP Error 403: Forbidden
32,Perfection Group,PERFECTION GROUP,TRUE,2,Perfection Group Perfection Group,Unknown / Needs Review,,,,Unclassified,Low,,Perfection Group,,,,,,,HTTP Error 403: Forbidden
33,Peaslee Neighborhood Center,PEASLEE NEIGHBORHOOD CENTER,TRUE,2,Peaslee Neighborhood Center Peaslee Neighborhood Center,Unknown / Needs Review,,,,Unclassified,Low,,Peaslee Neighborhood Center,,,,,,,HTTP Error 403: Forbidden
34,Paris Independent Schools,PARIS INDEPENDENT SCHOOLS,TRUE,2,Paris Independent Schools Paris Independent Schools,Unknown / Needs Review,,,,Unclassified,Low,,Paris Independent Schools,,,,,,,HTTP Error 403: Forbidden
