Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,IsMerge,MergeGroupSize
10% Cabinetry,10% CABINETRY,Construction,Millwork/cabinetry contractor,2383,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Mechanical Contractor,,FALSE,1
109 Independence Lane,109 INDEPENDENCE LANE,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
16 Point Solution,16 POINT SOLUTION,Commercial Services,Business/IT services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
161 Springmill Properties,161 SPRINGMILL PROPERTIES,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: '161 Springmill Properties Llc C/O Kennmar Llc'),,,FALSE,1
1633 Clio Avenue,1633 CLIO AVENUE,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
20 N Delaware,20 N DELAWARE,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
21ST Mortgage,21ST MORTGAGE,Financial Services,,52,Rule-Based,,High,Matched financial keyword; Deterministic keyword/pattern match (evidence: '21St Mortgage Corporation'),,,FALSE,1
2NDS IN Building Material,2NDS IN BUILDING MATERIAL,Construction,Building materials supplier/contractor,4441,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Mechanical Contractor,,FALSE,1
3001 Highland Partnership,3001 HIGHLAND PARTNERSHIP,Commercial Real Estate,Partnership/property entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
34 Market Square,34 MARKET SQUARE,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
3665 Mallory Jv,3665 MALLORY JV,Commercial Real Estate,JV property entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
3D Technical Services,3D TECHNICAL SERVICES,Construction,Technical services (construction/controls?),5413,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Mechanical Contractor,,FALSE,1
3LS Properties Chattanooga,3LS PROPERTIES CHATTANOOGA,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: '3Ls Properties Chattanooga C/O Realty Trust Group'),,,FALSE,1
4000 Associates,4000 ASSOCIATES,Commercial Services,Business Services,,Heuristic,,Low,Matched weak business-services signal; Weak-signal best guess (evidence: '4000 Associates'),,,FALSE,1
45NINETY Construction,45NINETY CONSTRUCTION,Construction,,23,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: '45 Ninety Construction'),,,TRUE,2
4J Redevelopment,4J REDEVELOPMENT,Commercial Real Estate,Redevelopment/property entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
502 Fletcher Ave,502 FLETCHER AVE,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
513 Property Management,513 PROPERTY MANAGEMENT,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: '513 Property Management'),,,FALSE,1
56 Street,56 STREET,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
625 Market Street,625 MARKET STREET,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
93 Palladium Way Property,93 PALLADIUM WAY PROPERTY,Commercial Real Estate,Property Ownership,531,Heuristic,,Low,Matched weak property-ownership signal; Weak-signal best guess (evidence: '93 Palladium Way Property Llc'),,,FALSE,1
9998 East 121ST Street,9998 EAST 121ST STREET,Commercial Real Estate,Property/address entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
A Childs Hope Intl,A CHILDS HOPE INTL,Non-Profit / Religious,Nonprofit charity,8132,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
A T Redevelopment,A T REDEVELOPMENT,Commercial Real Estate,Redevelopment/property entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
AL Miller Plumbing,AL MILLER PLUMBING,Construction,,23,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: 'A.L. Miller Plumbing Inc.'),,,FALSE,1
AL Neyer,AL NEYER,Construction,Design-Build / Construction Services,236,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,alneyer.com,FALSE,1
Abb Optical Group,ABB OPTICAL GROUP,Commercial Services,Wholesale / Optical Distribution,423460,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,abboptical.com,FALSE,1
Abc Automotive Systems,ABC AUTOMOTIVE SYSTEMS,Manufacturing,Automotive components,3363,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Abloom Florist,ABLOOM FLORIST,Commercial Services,Florist retail,4531,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Hospitality,,FALSE,1
Absolute Machine Tools,ABSOLUTE MACHINE TOOLS,Manufacturing,Machine tool distribution,4238,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
Absolute Value Management,ABSOLUTE VALUE MANAGEMENT,Commercial Services,Business Services,,Heuristic,,Low,Matched weak business-services signal; Weak-signal best guess (evidence: 'Absolute Value Management'),,,TRUE,2
Accella Tire Fill Systems,ACCELLA TIRE FILL SYSTEMS,Manufacturing,Industrial equipment,3339,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Accenture LLP,ACCENTURE LLP,Commercial Services,Consulting,5416,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,TRUE,2
Accumet Specialty Metals,ACCUMET SPECIALTY METALS,Manufacturing,Specialty metals,331,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Accurate Mechanical Solutions,ACCURATE MECHANICAL SOLUTIONS,Construction,Mechanical contractor,2382,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Mechanical Contractor,,FALSE,1
Activate Games,ACTIVATE GAMES,Commercial Services,Entertainment/arcade,7139,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Hospitality,,FALSE,1
Adair County Fiscal Court,ADAIR COUNTY FISCAL COURT,Municipal / Local Government,,92,Rule-Based,,High,Matched county/agency keyword; Deterministic keyword/pattern match (evidence: 'Adair County Fiscal Court'),,,TRUE,2
Adams County Regional Medical Center,ADAMS COUNTY REGIONAL MEDICAL CENTER,Municipal / Local Government,,92,Rule-Based,,High,Matched county/agency keyword; Deterministic keyword/pattern match (evidence: 'Adams County Regional Medical Center'),,,FALSE,1
Adams Countyohio Valley School,ADAMS COUNTYOHIO VALLEY SCHOOL,Municipal / Local Government,,92,Rule-Based,,High,Matched county/agency keyword; Deterministic keyword/pattern match (evidence: 'Adams County/Ohio Valley School'),,,FALSE,1
Adams Doug,ADAMS DOUG,Individual / Misc,,,Rule-Based,,High,"Matched personal-name pattern; Deterministic keyword/pattern match (evidence: 'Adams, Doug')",,,FALSE,1
Addiction Recovery Care,ADDICTION RECOVERY CARE,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Addiction Recovery Care'),,,FALSE,1
Adkev,ADKEV,Commercial Services,Services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
Adman Electric,ADMAN ELECTRIC,Utilities,,22,Rule-Based,,High,"Matched utility keyword; Deterministic keyword/pattern match (evidence: 'Adman Electric, Inc')",,,FALSE,1
Advanced Agrilytics,ADVANCED AGRILYTICS,Commercial Services,Ag analytics/services,5417,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,FALSE,1
Advanced Industrial Managment,ADVANCED INDUSTRIAL MANAGMENT,Commercial Services,Industrial services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
Advanced Lableworx,ADVANCED LABLEWORX,Commercial Services,Printing/labels,3231,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Advantage Engineering,ADVANTAGE ENGINEERING,Commercial Services,Engineering services,5413,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
Aegis Protective Services,AEGIS PROTECTIVE SERVICES,Commercial Services,Security services,5616,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
Aelspan,AELSPAN,Manufacturing,Aerospace/industrial (likely “AELSPAN” related),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
Aeroblast,AEROBLAST,Manufacturing,Industrial equipment/services,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
Aerospace Lubricants,AEROSPACE LUBRICANTS,Manufacturing,Specialty lubricants,3241,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,FALSE,1
Aesthetic Eye Oculoplastic Surgery,AESTHETIC EYE OCULOPLASTIC SURGERY,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Aesthetic Eye Oculoplastic Surgery'),,,FALSE,1
Afc Urgent Care,AFC URGENT CARE,Healthcare / Senior Living,Urgent care clinic,6214,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,FALSE,1
Afford a Vet Pasadena,AFFORD A VET PASADENA,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Afford A Vet - Pasadena'),,,FALSE,1
Afford a Vet Richmond Rd,AFFORD A VET RICHMOND RD,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Afford A Vet - Richmond Rd'),,,FALSE,1
Affordable Dentures,AFFORDABLE DENTURES,Healthcare / Senior Living,Dental clinic,6212,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,FALSE,1
Affordable Service Solutions,AFFORDABLE SERVICE SOLUTIONS,Construction,Trades/services (unclear),2382,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Mechanical Contractor,,FALSE,1
Ag Stones,AG STONES,Construction,Construction Materials,423320,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,FALSE,1
Agellan Commercial Reit,AGELLAN COMMERCIAL REIT,Commercial Real Estate,Commercial REIT,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,FALSE,1
Agree Realty,AGREE REALTY,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Agree Realty Corporation'),,,FALSE,1
Ahc Clarksville,AHC CLARKSVILLE,Healthcare / Senior Living,Skilled Nursing Facility,623110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
Aicholtz,AICHOLTZ,Commercial Real Estate,Property Owner / Holding Co,531120,Manual Override,Final,High,Analyst-approved override (method: Manual Override),,,FALSE,1
Aigc Solutions,AIGC SOLUTIONS,Commercial Services,IT Consulting & Business Technology Services,5415,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,aigcsolutions.com,FALSE,1
Air Energy,AIR ENERGY,Commercial Services,Energy services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
Air Energy Systems,AIR ENERGY SYSTEMS,Commercial Services,Energy services (unclear),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
Air Force One,AIR FORCE ONE,Commercial Services,Ambiguous (HVAC? airline? brand?),,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,FALSE,1
Air Gas,AIR GAS,Manufacturing,Industrial gases,3251,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,FALSE,1
Aisin Automotive,AISIN AUTOMOTIVE,Manufacturing,Automotive components,3363,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,FALSE,1
Aisin World of America,AISIN WORLD OF AMERICA,Manufacturing,Automotive components,3363,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,FALSE,1
Ajk Management,AJK MANAGEMENT,Commercial Services,Business Services,,Heuristic,,Low,"Matched weak business-services signal; Weak-signal best guess (evidence: 'Ajk Management, Inc.')",,,FALSE,1
Akers Packaging,AKERS PACKAGING,Manufacturing,,31-33,Rule-Based,,High,Matched manufacturing keyword; Deterministic keyword/pattern match (evidence: 'Akers Packaging'),,,FALSE,1
Alba Manufacturing,ALBA MANUFACTURING,Manufacturing,,31-33,Rule-Based,,High,"Matched manufacturing keyword; Deterministic keyword/pattern match (evidence: 'Alba Manufacturing, Inc.')",,,FALSE,1
