Customer Key,Customer Number,Original Name,Master Customer Name,Master Customer Name Canonical,Segment Source Name,IsMerge,MergeGroupSize,Source,Last Billing Date (Any Stream)
CN992368SERV_GP,CN992368,10% Cabinetry,10% Cabinetry,10% CABINETRY,10% Cabinetry,FALSE,1,SERV_GP,2025-11-01 00:00:00
TN992067SERV_GP,TN992067,"109 Independence Lane, Llc",109 Independence Lane,109 INDEPENDENCE LANE,"109 Independence Lane, Llc",FALSE,1,SERV_GP,2024-04-09 00:00:00
16POINTSOLUTIONMECH_GP,16POINTSOLUTION,16 Point Solution,16 Point Solution,16 POINT SOLUTION,16 Point Solution,FALSE,1,MECH_GP,2019-11-01 00:00:00
IN990411SERV_GP,IN990411,161 Springmill Properties Llc C/O Kennmar Llc,161 Springmill Properties,161 SPRINGMILL PROPERTIES,161 Springmill Properties Llc C/O Kennmar Llc,FALSE,1,SERV_GP,2024-10-01 00:00:00
CN992360SERV_GP,CN992360,1633  Clio Avenue,1633 Clio Avenue,1633 CLIO AVENUE,1633  Clio Avenue,FALSE,1,SERV_GP,2026-01-01 00:00:00
IN990470SERV_GP,IN990470,20 N Delaware Llc,20 N Delaware,20 N DELAWARE,20 N Delaware Llc,FALSE,1,SERV_GP,2024-07-23 00:00:00
TN991431SERV_GP,TN991431,21St Mortgage Corporation,21ST Mortgage,21ST MORTGAGE,21St Mortgage Corporation,FALSE,1,SERV_GP,2020-10-01 00:00:00
2NDS IN BLDGMECH_GP,2NDS IN BLDG,2Nds In Building Material,2NDS IN Building Material,2NDS IN BUILDING MATERIAL,2Nds In Building Material,FALSE,1,MECH_GP,2006-05-01 00:00:00
CN940350SERV_GP,CN940350,3001 Highland Partnership,3001 Highland Partnership,3001 HIGHLAND PARTNERSHIP,3001 Highland Partnership,FALSE,1,SERV_GP,2026-01-01 00:00:00
TN992121SERV_GP,TN992121,34 Market Square Llc,34 Market Square,34 MARKET SQUARE,34 Market Square Llc,FALSE,1,SERV_GP,2023-03-29 00:00:00
NV15030SERV_GP,NV15030,3665 Mallory Jv Llc Co Foundry Commercial Llc,3665 Mallory Jv,3665 MALLORY JV,3665 Mallory Jv Llc Co Foundry Commercial Llc,FALSE,1,SERV_GP,2023-12-15 00:00:00
