Customer Key,Original Name,Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,NAICS Raw,NAICS Source,NAICS Sector Code,NAICS Sector Title,NAICS Subsector Code,NAICS Subsector Title,NAICS Industry Group Code,NAICS Industry Group Title,NAICS Industry Code,NAICS Industry Title,NAICS National Industry Code,NAICS National Industry Title,Method,Status,Confidence,Rationale,Support Category,Company Website,Company Logo URL,Company Logo URL (Apistemic),Company Logo URL (Logo.dev),Source
CN992368SERV_GP,10% Cabinetry,10% Cabinetry,10% CABINETRY,Construction,Millwork/cabinetry contractor,2383,2383,Master Override,23,Construction,238,Specialty Trade Contractors,2383,Building Finishing Contractors,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,Mechanical Contractor,10percentcabinetry.com,,https://logos-api.apistemic.com/domain:10percentcabinetry.com,https://img.logo.dev/10percentcabinetry.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN992067SERV_GP,"109 Independence Lane, Llc",109 Independence Lane,109 INDEPENDENCE LANE,Commercial Real Estate,Property/address entity,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,SERV_GP
16POINTSOLUTIONMECH_GP,16 Point Solution,16 Point Solution,16 POINT SOLUTION,Commercial Services,Business/IT services (unclear),,,,,,,,,,,,,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,,,,MECH_GP
IN990411SERV_GP,161 Springmill Properties Llc C/O Kennmar Llc,161 Springmill Properties,161 SPRINGMILL PROPERTIES,Commercial Real Estate,Commercial Property Mgmt,531312,531312,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers,531312,Nonresidential Property Managers,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,kennmar.com,,https://logos-api.apistemic.com/domain:kennmar.com,https://img.logo.dev/kennmar.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
CN992360SERV_GP,1633  Clio Avenue,1633 Clio Avenue,1633 CLIO AVENUE,Commercial Real Estate,Property/address entity,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,SERV_GP
IN990470SERV_GP,20 N Delaware Llc,20 N Delaware,20 N DELAWARE,Commercial Real Estate,Property/address entity,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,SERV_GP
TN991431SERV_GP,21St Mortgage Corporation,21ST Mortgage,21ST MORTGAGE,Financial Services,Mortgage Lending,522292,522292,Verified Enrichment,52,Finance and Insurance,522,Credit Intermediation and Related Activities,5222,Nondepository Credit Intermediation,52229,Other Nondepository Credit Intermediation,522292,Real Estate Credit,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,21stmortgage.com,,https://logos-api.apistemic.com/domain:21stmortgage.com,https://img.logo.dev/21stmortgage.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
2NDS IN BLDGMECH_GP,2Nds In Building Material,2NDS IN Building Material,2NDS IN BUILDING MATERIAL,Construction,Building materials supplier/contractor,4441,4441,Master Override,44-45,Retail Trade,444,Building Material and Garden Equipment and Supplies Dealers,4441,Building Material and Supplies Dealers,,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,Mechanical Contractor,southeasternsalvage.com,,https://logos-api.apistemic.com/domain:southeasternsalvage.com,https://img.logo.dev/southeasternsalvage.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,MECH_GP
CN940350SERV_GP,3001 Highland Partnership,3001 Highland Partnership,3001 HIGHLAND PARTNERSHIP,Commercial Real Estate,Partnership/property entity,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,psychotherapycincinnati.com,,https://logos-api.apistemic.com/domain:psychotherapycincinnati.com,https://img.logo.dev/psychotherapycincinnati.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,SERV_GP
TN992121SERV_GP,34 Market Square Llc,34 Market Square,34 MARKET SQUARE,Commercial Real Estate,Property/address entity,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,SERV_GP
