Master Customer Name,Master Customer Name Canonical,Industrial Group,Industrial Group Source,Industry Detail,Industry Detail Source,NAICS,NAICS Raw,NAICS Source,NAICS Sector Code,NAICS Sector Title,NAICS Subsector Code,NAICS Subsector Title,NAICS Industry Group Code,NAICS Industry Group Title,NAICS Industry Code,NAICS Industry Title,NAICS National Industry Code,NAICS National Industry Title,Method,Status,Confidence,Rationale,Support Category,Support Category Source,Company Website,Company Website Source,Company Logo URL,Company Logo URL Source,Company Logo URL (Apistemic),Company Logo URL (Apistemic) Source,Company Logo URL (Logo.dev),Company Logo URL (Logo.dev) Source,Enrichment Status,Enrichment Rationale,IsMerge,MergeGroupSize
10% Cabinetry,10% CABINETRY,Construction,Master Override,Millwork/cabinetry contractor,Master Override,2383,2383,Master Override,23,Construction,238,Specialty Trade Contractors,2383,Building Finishing Contractors,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,Mechanical Contractor,Master Override,10percentcabinetry.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:10percentcabinetry.com,Computed from Company Website,https://img.logo.dev/10percentcabinetry.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
109 Independence Lane,109 INDEPENDENCE LANE,Commercial Real Estate,Master Override,Property/address entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,,,,,,Deferred,,FALSE,1
16 Point Solution,16 POINT SOLUTION,Commercial Services,Master Override,Business/IT services (unclear),Master Override,,,,,,,,,,,,,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,,,,,,,,,Deferred,,FALSE,1
161 Springmill Properties,161 SPRINGMILL PROPERTIES,Commercial Real Estate,Segmentation Logic,Commercial Property Mgmt,Verified Enrichment,531312,531312,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers,531312,Nonresidential Property Managers,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,kennmar.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:kennmar.com,Computed from Company Website,https://img.logo.dev/kennmar.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
1633 Clio Avenue,1633 CLIO AVENUE,Commercial Real Estate,Master Override,Property/address entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,,,,,,Deferred,,FALSE,1
20 N Delaware,20 N DELAWARE,Commercial Real Estate,Master Override,Property/address entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,,,,,,Deferred,,FALSE,1
21ST Mortgage,21ST MORTGAGE,Financial Services,Segmentation Logic,Mortgage Lending,Verified Enrichment,522292,522292,Verified Enrichment,52,Finance and Insurance,522,Credit Intermediation and Related Activities,5222,Nondepository Credit Intermediation,52229,Other Nondepository Credit Intermediation,522292,Real Estate Credit,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,21stmortgage.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:21stmortgage.com,Computed from Company Website,https://img.logo.dev/21stmortgage.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
2NDS IN Building Material,2NDS IN BUILDING MATERIAL,Construction,Master Override,Building materials supplier/contractor,Master Override,4441,4441,Master Override,44-45,Retail Trade,444,Building Material and Garden Equipment and Supplies Dealers,4441,Building Material and Supplies Dealers,,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,Mechanical Contractor,Master Override,southeasternsalvage.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:southeasternsalvage.com,Computed from Company Website,https://img.logo.dev/southeasternsalvage.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
3001 Highland Partnership,3001 HIGHLAND PARTNERSHIP,Commercial Real Estate,Master Override,Partnership/property entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,,psychotherapycincinnati.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:psychotherapycincinnati.com,Computed from Company Website,https://img.logo.dev/psychotherapycincinnati.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
34 Market Square,34 MARKET SQUARE,Commercial Real Estate,Master Override,Property/address entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,,,,,,,,,Deferred,,FALSE,1
