Master Customer Name,Master Customer Name Canonical,Industrial Group,Industrial Group Source,Industry Detail,Industry Detail Source,NAICS,NAICS Raw,NAICS Source,NAICS Sector Code,NAICS Sector Title,NAICS Subsector Code,NAICS Subsector Title,NAICS Industry Group Code,NAICS Industry Group Title,NAICS Industry Code,NAICS Industry Title,NAICS National Industry Code,NAICS National Industry Title,Method,Status,Confidence,Rationale,Support Category,Support Category Source,Company Website,Company Website Source,Company Logo URL,Company Logo URL Source,Company Logo URL (Apistemic),Company Logo URL (Apistemic) Source,Company Logo URL (Logo.dev),Company Logo URL (Logo.dev) Source,Enrichment Status,Enrichment Rationale,IsMerge,MergeGroupSize
Kppe,KPPE,Unknown / Needs Review,Master Override,Unidentified,Master Override,,,,,,,,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,,,,,,Deferred,,FALSE,1
Optimira Energy,OPTIMIRA ENERGY,Unknown / Needs Review,Master Override,Unidentified,Master Override,541690,541690,Verified Enrichment,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",54169,Other Scientific and Technical Consulting Services,541690,Other Scientific and Technical Consulting Services,Unclassified,Final,High,"Verified enrichment updated: NAICS, Company Website",,,optimira.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:optimira.com,Computed from Company Website,https://img.logo.dev/optimira.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Pentagon Group,PENTAGON GROUP,Unknown / Needs Review,Master Override,Unidentified,Master Override,,,,,,,,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,,,,,,Deferred,,FALSE,1
Rejay Group,REJAY GROUP,Unknown / Needs Review,Master Override,Unidentified,Master Override,,,,,,,,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,,,,,,Deferred,,FALSE,1
Riverside Industrial,RIVERSIDE INDUSTRIAL,Unknown / Needs Review,Master Override,Unidentified,Master Override,531120,531120,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Unclassified,Final,High,Verified enrichment updated: NAICS,,,,,,,,,,,Verified,,FALSE,1
Scos,SCOS,Unknown / Needs Review,Master Override,Unidentified,Master Override,531312,531312,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers,531312,Nonresidential Property Managers,Unclassified,Final,High,"Verified enrichment updated: NAICS, Company Website",,,koellamoore.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:koellamoore.com,Computed from Company Website,https://img.logo.dev/koellamoore.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Skico,SKICO,Unknown / Needs Review,Master Override,Unidentified,Master Override,813410,813410,Verified Enrichment,81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8134,Civic and Social Organizations,81341,Civic and Social Organizations,813410,Civic and Social Organizations,Unclassified,Final,High,"Verified enrichment updated: NAICS, Company Website",,,lexskisnowboard.org,Verified Enrichment,,,https://logos-api.apistemic.com/domain:lexskisnowboard.org,Computed from Company Website,https://img.logo.dev/lexskisnowboard.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Smobee,SMOBEE,Unknown / Needs Review,Master Override,Unidentified,Master Override,,,,,,,,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,,,,,,Deferred,,FALSE,1
Sssb,SSSB,Unknown / Needs Review,Master Override,Unidentified,Master Override,,,,,,,,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,,,,,,Deferred,,FALSE,1
Step Resources,STEP RESOURCES,Unknown / Needs Review,Master Override,Unidentified,Master Override,,,,,,,,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,,,,,,Deferred,,FALSE,1
Thoth,THOTH,Unknown / Needs Review,Master Override,Unidentified,Master Override,,,,,,,,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,,,,,,Deferred,,FALSE,1
