Master Customer Name,Master Customer Name Canonical,Industrial Group,Industrial Group Source,Industry Detail,Industry Detail Source,NAICS,NAICS Source,Method,Status,Confidence,Rationale,Support Category,Support Category Source,Company Website,Company Website Source,Company Logo URL,Company Logo URL Source,Company Logo URL (Apistemic),Company Logo URL (Apistemic) Source,Company Logo URL (Logo.dev),Company Logo URL (Logo.dev) Source,Enrichment Status,Enrichment Rationale,IsMerge,MergeGroupSize
Kppe,KPPE,Unknown / Needs Review,Master Override,Unidentified,Master Override,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,,,,,,Deferred,Ambiguous,FALSE,1
Optimira Energy,OPTIMIRA ENERGY,Unknown / Needs Review,Master Override,Unidentified,Master Override,541690,Verified Enrichment,Unclassified,Final,High,"Verified enrichment updated: NAICS, Company Website",,,optimira.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:optimira.com,Computed from Company Website,https://img.logo.dev/optimira.com?size=128&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Pentagon Group,PENTAGON GROUP,Unknown / Needs Review,Master Override,Unidentified,Master Override,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,,,,,,Deferred,Ambiguous,FALSE,1
Rejay Group,REJAY GROUP,Unknown / Needs Review,Master Override,Unidentified,Master Override,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,,,,,,Deferred,Ambiguous,FALSE,1
Riverside Industrial,RIVERSIDE INDUSTRIAL,Unknown / Needs Review,Master Override,Unidentified,Master Override,531120,Verified Enrichment,Unclassified,Final,High,Verified enrichment updated: NAICS,,,,,,,,,,,Verified,,FALSE,1
Scos,SCOS,Unknown / Needs Review,Master Override,Unidentified,Master Override,531312,Verified Enrichment,Unclassified,Final,High,"Verified enrichment updated: NAICS, Company Website",,,koellamoore.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:koellamoore.com,Computed from Company Website,https://img.logo.dev/koellamoore.com?size=128&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Skico,SKICO,Unknown / Needs Review,Master Override,Unidentified,Master Override,813410,Verified Enrichment,Unclassified,Final,High,"Verified enrichment updated: NAICS, Company Website",,,lexskisnowboard.org,Verified Enrichment,,,https://logos-api.apistemic.com/domain:lexskisnowboard.org,Computed from Company Website,https://img.logo.dev/lexskisnowboard.org?size=128&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Smobee,SMOBEE,Unknown / Needs Review,Master Override,Unidentified,Master Override,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,,,,,,Deferred,No website,FALSE,1
Sssb,SSSB,Unknown / Needs Review,Master Override,Unidentified,Master Override,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,,,,,,Deferred,Ambiguous,FALSE,1
Step Resources,STEP RESOURCES,Unknown / Needs Review,Master Override,Unidentified,Master Override,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,,,,,,Deferred,Ambiguous,FALSE,1
Thoth,THOTH,Unknown / Needs Review,Master Override,Unidentified,Master Override,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,,,,,,Deferred,Ambiguous,FALSE,1
