Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,IsMerge,MergeGroupSize,Customer Key,Customer Number,Original Name,Source,Last Billing Date (Any Stream)
Aigc Solutions,AIGC SOLUTIONS,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,CN992148SERV_GP,CN992148,Aigc Solutions,SERV_GP,2022-03-22 00:00:00
Clarke Americanmirc Express,CLARKE AMERICANMIRC EXPRESS,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,LV200612SERV_GP,LV200612,Clarke American/Mirc Express,SERV_GP,2023-01-09 00:00:00
Dcm Products,DCM PRODUCTS,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,CN991983SERV_GP,CN991983,"Dcm Products, Inc.",SERV_GP,2025-12-19 00:00:00
Det Beverages,DET BEVERAGES,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,NV00041SERV_GP,NV00041,Det Beverages Llc,SERV_GP,2025-12-16 00:00:00
Downtime Rebuild,DOWNTIME REBUILD,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,CN991958SERV_GP,CN991958,Downtime Rebuild,SERV_GP,2025-10-01 00:00:00
Eco Tec Engineering,ECO TEC ENGINEERING,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,ECO TEC ENGINEEMECH_GP,ECO TEC ENGINEE,Eco Tec Engineering,MECH_GP,2013-03-01 00:00:00
Equivis Nora,EQUIVIS NORA,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,IN990448SERV_GP,IN990448,Equivis Nora Llc,SERV_GP,2024-10-21 00:00:00
Excel Clips,EXCEL CLIPS,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,CN992313SERV_GP,CN992313,Excel Clips Inc,SERV_GP,2024-12-05 00:00:00
Ez Iron Serivce,EZ IRON SERIVCE,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,DY991055SERV_GP,DY991055,E-Z Iron Serivce,SERV_GP,2022-07-11 00:00:00
Fast of Northwest Ohio,FAST OF NORTHWEST OHIO,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,FAST NWOMECH_GP,FAST NWO,F.A.S.T. Of Northwest Ohio,MECH_GP,2011-12-01 00:00:00
Finnegan and James,FINNEGAN AND JAMES,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,FINNEGAN & JAMEMECH_GP,FINNEGAN & JAME,"Finnegan & James, Llc",MECH_GP,2013-07-01 00:00:00
Fluid Handling Technology,FLUID HANDLING TECHNOLOGY,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,IN990390SERV_GP,IN990390,Fluid Handling Technology,SERV_GP,2021-12-02 00:00:00
Galatians Too,GALATIANS TOO,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,DY990986SERV_GP,DY990986,Galatians Too Llc C/O Equity,SERV_GP,2021-12-13 00:00:00
Galatians Too III IV,GALATIANS TOO III IV,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,DY991119SERV_GP,DY991119,Galatians Too Iii Iv Llc,SERV_GP,2024-07-26 00:00:00
Good Huber Mob,GOOD HUBER MOB,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,DY990978SERV_GP,DY990978,Good Huber Mob Llc C/O Equity,SERV_GP,2024-12-01 00:00:00
Gw Richmond Excel,GW RICHMOND EXCEL,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1,TF990002SERV_GP,TF990002,Gw Richmond Excel Llc,SERV_GP,2025-05-30 00:00:00
Ikron,IKRON,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ikron Corporation'),,,FALSE,1,CN992201SERV_GP,CN992201,Ikron Corporation,SERV_GP,2023-06-02 00:00:00
Impact Service Group,IMPACT SERVICE GROUP,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Impact Service Group'),,,FALSE,1,LX990495SERV_GP,LX990495,Impact Service Group,SERV_GP,2025-07-12 00:00:00
In Motion Orthopadeics,IN MOTION ORTHOPADEICS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'In Motion Orthopadeics'),,,FALSE,1,IN990464SERV_GP,IN990464,In Motion Orthopadeics,SERV_GP,2025-10-01 00:00:00
Index,INDEX,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Index Corporation'),,,FALSE,1,IN990394SERV_GP,IN990394,Index Corporation,SERV_GP,2021-08-13 00:00:00
India Bazaar,INDIA BAZAAR,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'India Bazaar'),,,FALSE,1,NV15086SERV_GP,NV15086,India Bazaar,SERV_GP,2025-09-01 00:00:00
Indiana Podiatry Group,INDIANA PODIATRY GROUP,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Indiana Podiatry Group'),,,FALSE,1,IN990237SERV_GP,IN990237,Indiana Podiatry Group,SERV_GP,2023-04-01 00:00:00
Indiana Spine Group Muncie,INDIANA SPINE GROUP MUNCIE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Indiana Spine Group Muncie'),,,FALSE,1,IN990494SERV_GP,IN990494,Indiana Spine Group Muncie,SERV_GP,2025-01-15 00:00:00
Indoor Tennis Club,INDOOR TENNIS CLUB,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'The Indoor Tennis Club'),,,FALSE,1,THE INDOOR TENNMECH_GP,THE INDOOR TENN,The Indoor Tennis Club,MECH_GP,2021-07-01 00:00:00
Industrial Sorting Services,INDUSTRIAL SORTING SERVICES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Industrial Sorting Services'),,,FALSE,1,CN992012SERV_GP,CN992012,Industrial Sorting Services,SERV_GP,2022-12-01 00:00:00
Industry Products,INDUSTRY PRODUCTS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Industry Products Co'),,,FALSE,1,DY991153SERV_GP,DY991153,Industry Products Co,SERV_GP,2025-05-19 00:00:00
Infiniti Plastics and Engineering,INFINITI PLASTICS AND ENGINEERING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Infiniti Plastics & Engineering Inc'),,,FALSE,1,LV990478SERV_GP,LV990478,Infiniti Plastics & Engineering Inc,SERV_GP,2023-11-02 00:00:00
Infinity Global Dayton DC,INFINITY GLOBAL DAYTON DC,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Infinity Global Dayton Dc'),,,FALSE,1,DY991068SERV_GP,DY991068,Infinity Global Dayton Dc,SERV_GP,2025-12-31 00:00:00
Infintech,INFINTECH,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Infintech'),,,FALSE,1,CN992028SERV_GP,CN992028,Infintech,SERV_GP,2025-01-16 00:00:00
Ingersoll-Rand,INGERSOLL-RAND,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ingersoll-Rand'),,,TRUE,2,CN992318SERV_GP,CN992318,Ingersoll Rand,SERV_GP,2025-10-24 00:00:00
Ingersoll-Rand,INGERSOLL-RAND,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ingersoll-Rand'),,,TRUE,2,INGERSOLL-RANDMECH_GP,INGERSOLL-RAND,Ingersoll-Rand Customer Center,MECH_GP,2007-03-01 00:00:00
Ingredion,INGREDION,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ingredion Incorporated'),,,FALSE,1,IN990491SERV_GP,IN990491,Ingredion Incorporated,SERV_GP,2025-12-18 00:00:00
Innerwood and,INNERWOOD AND,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Innerwood & Company'),,,FALSE,1,CN992317SERV_GP,CN992317,Innerwood & Company,SERV_GP,2025-01-17 00:00:00
Innovative Energy Solutions,INNOVATIVE ENERGY SOLUTIONS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Innovative Energy Solutions'),,,FALSE,1,INNOVATIVE ENERMECH_GP,INNOVATIVE ENER,Innovative Energy Solutions,MECH_GP,2013-10-01 00:00:00
Insight Energy Solutions,INSIGHT ENERGY SOLUTIONS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Insight Energy Solutions'),,,FALSE,1,NV15028SERV_GP,NV15028,Insight Energy Solutions,SERV_GP,2024-09-01 00:00:00
Intelligrated,INTELLIGRATED,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Intelligrated'),,,FALSE,1,INTELLIGRATEDMECH_GP,INTELLIGRATED,Intelligrated,MECH_GP,2018-02-01 00:00:00
International Paper,INTERNATIONAL PAPER,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'International Paper'),,,FALSE,1,TN200508SERV_GP,TN200508,International Paper,SERV_GP,2025-12-16 00:00:00
International Truck,INTERNATIONAL TRUCK,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'International Truck'),,,FALSE,1,INT TRUCKMECH_GP,INT TRUCK,International Truck,MECH_GP,2006-11-01 00:00:00
Interplastic,INTERPLASTIC,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Interplastic Corporation'),,,FALSE,1,CN991835SERV_GP,CN991835,Interplastic Corporation,SERV_GP,2025-11-01 00:00:00
Intertech Mechanical Services,INTERTECH MECHANICAL SERVICES,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Intertech Mechanical Services'),,,FALSE,1,LX990453SERV_GP,LX990453,Intertech Mechanical Services,SERV_GP,2023-09-13 00:00:00
Intralot,INTRALOT,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Intralot, Inc.')",,,TRUE,2,CN991234SERV_GP,CN991234,"Intralot, Inc.",SERV_GP,2025-11-01 00:00:00
Intralot,INTRALOT,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Intralot, Inc.')",,,TRUE,2,INTRALOTMECH_GP,INTRALOT,"Intralot, Inc.",MECH_GP,2010-05-01 00:00:00
Inx International,INX INTERNATIONAL,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Inx International'),,,FALSE,1,CN992084SERV_GP,CN992084,Inx International,SERV_GP,2025-12-01 00:00:00
Ipeg Billing,IPEG BILLING,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'Ipeg, Inc - Billing')",,,FALSE,1,NV00120SERV_GP,NV00120,"Ipeg, Inc - Billing",SERV_GP,2026-01-01 00:00:00
Itw,ITW,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Itw'),,,FALSE,1,ITW001SERV_GP,ITW001,Itw,SERV_GP,2021-05-04 00:00:00
Itw Food Equipment Group,ITW FOOD EQUIPMENT GROUP,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Itw Food Equipment Group'),,,FALSE,1,DY991167SERV_GP,DY991167,Itw Food Equipment Group,SERV_GP,2025-11-03 00:00:00
Ivan Funk,IVAN FUNK,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ivan Funk Llc'),,,FALSE,1,LV990421SERV_GP,LV990421,Ivan Funk Llc,SERV_GP,2020-11-04 00:00:00
Ivax Pharmaceuticals,IVAX PHARMACEUTICALS,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ivax Pharmaceuticals'),,,FALSE,1,IVAXMECH_GP,IVAX,Ivax Pharmaceuticals,MECH_GP,2005-08-01 00:00:00
Ivey Mechanical,IVEY MECHANICAL,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Ivey Mechanical Company Llc'),,,FALSE,1,CN992129SERV_GP,CN992129,Ivey Mechanical Company Llc,SERV_GP,2021-08-27 00:00:00
J and F Mechanical,J AND F MECHANICAL,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'J&F Mechanical'),,,FALSE,1,TN991777SERV_GP,TN991777,J&F Mechanical,SERV_GP,2026-01-01 00:00:00
J and J General Maintenance,J AND J GENERAL MAINTENANCE,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'J&J General Maintenance Inc'),,,FALSE,1,LX990487SERV_GP,LX990487,J&J General Maintenance Inc,SERV_GP,2025-09-01 00:00:00
