Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Confidence,Rationale,Support Category,Company Website,IsMerge,MergeGroupSize
Aigc Solutions,AIGC SOLUTIONS,Unknown / Needs Review,Unidentified,,Unclassified,High,Master override,,,FALSE,1
American Fuji Seal,AMERICAN FUJI SEAL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'American Fuji Seal Inc'),,,FALSE,1
American Greetings,AMERICAN GREETINGS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'American Greetings Corporation'),,,FALSE,1
American Hermetic,AMERICAN HERMETIC,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'American Hermetic'),,,FALSE,1
American House Halls,AMERICAN HOUSE HALLS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'American House Halls'),,,FALSE,1
American Regent,AMERICAN REGENT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'American Regent'),,,FALSE,1
American Standard,AMERICAN STANDARD,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'American Standard'),,,FALSE,1
Americas Collectibles Network,AMERICAS COLLECTIBLES NETWORK,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'America'S Collectibles Network'),,,FALSE,1
Amerimed,AMERIMED,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Amerimed'),,,TRUE,2
Ameriplex 2,AMERIPLEX 2,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ameriplex 2 Llc C/O Jones Lang Lasalle Americas Inc'),,,FALSE,1
Amk Services,AMK SERVICES,Commercial Services,Services (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Analysis and Measurement Services,ANALYSIS AND MEASUREMENT SERVICES,Manufacturing,Manufacturing/engineering services,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Andrew Kintz,ANDREW KINTZ,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Andrew Kintz'),,,FALSE,1
Andy Lindsey,ANDY LINDSEY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Andy Lindsey'),,,FALSE,1
Ann Schaad,ANN SCHAAD,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ann Schaad'),,,FALSE,1
Answers IN Genesis of KY,ANSWERS IN GENESIS OF KY,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Answers In Genesis Of Ky, Inc.')",,,FALSE,1
Ap Tech Group,AP TECH GROUP,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ap Tech Group'),,,FALSE,1
Aquisense,AQUISENSE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Aquisense'),,,FALSE,1
Arc,ARC,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Arc'),,,FALSE,1
