Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,IsMerge,MergeGroupSize
Kkt Chillers,KKT CHILLERS,Commercial Services,HVAC equipment/services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Kppe,KPPE,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,FALSE,1
Lemond Bikes,LEMOND BIKES,Commercial Services,Retail/brand (verify),,AI Analyst Research,Queued,Low,Queued for AI analyst research,Hospitality,,FALSE,1
Leopardo Companies,LEOPARDO COMPANIES,Commercial Services,Property/contracting (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Meco,MECO,Commercial Services,Services/manufacturing (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Megacity of Cincinnati,MEGACITY OF CINCINNATI,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Metzcor,METZCOR,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Midpark Knoxville,MIDPARK KNOXVILLE,Commercial Services,Business entity (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Midwest Sea Salt,MIDWEST SEA SALT,Commercial Services,Food/wholesale (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Millan Enterprises,MILLAN ENTERPRISES,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Millat Industries,MILLAT INDUSTRIES,Manufacturing,Manufacturing (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Momentum,MOMENTUM,Commercial Services,Ambiguous,,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Monaire,MONAIRE,Commercial Services,HVAC services (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Mount Vernon Developmental Center,MOUNT VERNON DEVELOPMENTAL CENTER,Commercial Real Estate,Govt/health (ambiguous),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Msp Wellness Billing,MSP WELLNESS BILLING,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Msp Wellness Llc - Billing'),,,FALSE,1
Mueller,MUELLER,Commercial Services,Manufacturing/distribution (too broad),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Murphy,MURPHY,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Murphy Company'),,,FALSE,1
Nasco,NASCO,Commercial Services,Distribution/education supplies (unclear),,AI Analyst Research,Queued,Low,Queued for AI analyst research,,,FALSE,1
Nashville Opera Association,NASHVILLE OPERA ASSOCIATION,Unknown / Needs Review,,,Unclassified,,Low,Insufficient information (evidence: 'Nashville Opera Association'),,,FALSE,1
National Bedding,NATIONAL BEDDING,Unknown / Needs Review,,,Unclassified,,Low,"Insufficient information (evidence: 'National Bedding, Llc.')",,,FALSE,1
