Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,Company Logo URL,Company Logo URL (Apistemic),Company Logo URL (Logo.dev),IsMerge,MergeGroupSize
Kppe,KPPE,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Optimira Energy,OPTIMIRA ENERGY,Unknown / Needs Review,Unidentified,541690,Unclassified,Final,High,"Verified enrichment updated: NAICS, Company Website",,optimira.com,,https://logos-api.apistemic.com/domain:optimira.com,https://img.logo.dev/optimira.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=128&format=png&retina=true,FALSE,1
Pentagon Group,PENTAGON GROUP,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Rejay Group,REJAY GROUP,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Riverside Industrial,RIVERSIDE INDUSTRIAL,Unknown / Needs Review,Unidentified,531120,Unclassified,Final,High,Verified enrichment updated: NAICS,,,,,,FALSE,1
Scos,SCOS,Unknown / Needs Review,Unidentified,531312,Unclassified,Final,High,"Verified enrichment updated: NAICS, Company Website",,koellamoore.com,,https://logos-api.apistemic.com/domain:koellamoore.com,https://img.logo.dev/koellamoore.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=128&format=png&retina=true,FALSE,1
Skico,SKICO,Unknown / Needs Review,Unidentified,813410,Unclassified,Final,High,"Verified enrichment updated: NAICS, Company Website",,lexskisnowboard.org,,https://logos-api.apistemic.com/domain:lexskisnowboard.org,https://img.logo.dev/lexskisnowboard.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=128&format=png&retina=true,FALSE,1
Smobee,SMOBEE,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Sssb,SSSB,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Step Resources,STEP RESOURCES,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Thoth,THOTH,Unknown / Needs Review,Unidentified,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
