Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,NAICS Sector Code,NAICS Subsector Code,NAICS Industry Group Code,NAICS Industry Code,NAICS National Industry Code,Method,Status,Confidence,Rationale,Support Category,Company Website,Company Logo URL,Company Logo URL (Apistemic),Company Logo URL (Logo.dev),IsMerge,MergeGroupSize
Kppe,KPPE,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Optimira Energy,OPTIMIRA ENERGY,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Pentagon Group,PENTAGON GROUP,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Rejay Group,REJAY GROUP,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Riverside Industrial,RIVERSIDE INDUSTRIAL,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Scos,SCOS,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Skico,SKICO,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Smobee,SMOBEE,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Sssb,SSSB,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Step Resources,STEP RESOURCES,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
Thoth,THOTH,Unknown / Needs Review,Unidentified,,,,,,,Unclassified,Final,High,Analyst-approved override (method: Unclassified),,,,,,FALSE,1
