Master Customer Name,Master Customer Name Canonical,IsMerge,MergeGroupSize,Industrial Group,Industry Detail,Method,Status,Company Website,Example Customer Names,Example Locations,Approved Website (fill in),Notes (optional)
Cer Services,CER SERVICES,TRUE,2,Commercial Services,Services (unclear),AI Analyst Research,Final,,Cer Services | Cer Services Inc.,"CINCINNATI, OH",cerservicesllc.com,
Emily Lichtenberg Construction,EMILY LICHTENBERG CONSTRUCTION,TRUE,2,Construction,,Rule-Based,,,"Emily Lichtenberg Construction, Inc.","Cincinnati,, OH | Cincinnati, Ohio",mlichtenberg.com,
Equity Group Four,EQUITY GROUP FOUR,TRUE,2,Commercial Real Estate,Real Estate,AI Analyst Research,Final,,"Equity Group Four, Llc | The Equity Group Four","CINCINNATI, OH",,
Evans Energy,EVANS ENERGY,TRUE,2,Energy Services,Energy Services,AI Analyst Research,Final,,Evans Energy | Evans Energy Llc,"CRIDERSVILLE, OH | CENTERVILLE, OH",evansenergyllc.com,
Hh Parkside,HH PARKSIDE,TRUE,2,Commercial Real Estate,Property entity (HH prefix),Heuristic,Final,,Hh Parkside Llc | Hhb Parkside Llc,"KNOXVILLE, TN",,
Overberg Construction,OVERBERG CONSTRUCTION,TRUE,2,Construction,,Rule-Based,,,Overberg Construction,"CINCINNATI, OH",overbergconstruction.com,
Penske Truck Leasing,PENSKE TRUCK LEASING,TRUE,2,Commercial Real Estate,,Rule-Based,,,Penske Truck Leasing,"CINCINNATI, OH | ERLANGER, KY",pensketruckleasing.com,
Pikeville College,PIKEVILLE COLLEGE,TRUE,2,University / College,,Rule-Based,,,Pikeville College,"Pikeville,, KY | PIKEVILLE, KY",upike.edu,
Pnk Ohio Dba Belterra Park,PNK OHIO DBA BELTERRA PARK,TRUE,2,Commercial Services,Casino/entertainment venue,Entity Inference,Final,,Pnk Ohio Dba Belterra Park,"Las Vegas, NV | CINCINNATI, OH",belterrapark.boydgaming.com,
Powell County Fiscal Court,POWELL COUNTY FISCAL COURT,TRUE,2,Municipal / Local Government,,Rule-Based,,,Powell County Fiscal Court,"STANTON, KY",powellcountyky.us,
Pratt Industries,PRATT INDUSTRIES,TRUE,2,Manufacturing,Packaging/paper products,Entity Inference,Final,,Pratt Industries,"HEBRON, KY | WHITESTOWN, IN",prattindustries.com,
Precision Construction Management,PRECISION CONSTRUCTION MANAGEMENT,TRUE,2,Construction,,Rule-Based,,,Precision Construction Management | Precision Construction Management Llc,"Winchester, KY | WINCHESTER, KY",pcm-epc.com,
Pulaski County Fiscal Court,PULASKI COUNTY FISCAL COURT,TRUE,2,Municipal / Local Government,,Rule-Based,,,Pulaski County Fiscal Court,"SOMERSET, KY | Somerset,, KY",pulaskigov.com,
Radius Construction,RADIUS CONSTRUCTION,TRUE,2,Construction,,Rule-Based,,,Radius Construction | Radius Construction Co Inc,"COVINGTON, KY",radiusconstruction.com,
Regency,REGENCY,TRUE,2,Commercial Real Estate,Property entity,Heuristic,Final,,Regency | The Regency,"CINCINNATI, OH | Cincinnati, OH",regencycondos.com,
Rh Sinclair Construction,RH SINCLAIR CONSTRUCTION,TRUE,2,Construction,,Rule-Based,,,R.H. Sinclair Construction Co. Inc. | Rh Sinclair Construction,"Knoxville, TN | KNOXVILLE, TN",sinclairconst.com,
Ryans All Glass,RYANS ALL GLASS,TRUE,2,Construction,Glazing contractor,Rule-Based,Final,,Ryan'S All Glass,"FAIRFIELD, OH",ryansallglass.com,
Saint James Episcopal Church,SAINT JAMES EPISCOPAL CHURCH,TRUE,2,Non-Profit / Religious,,Rule-Based,,,Saint James Episcopal Church,"CINCINNATI, OH | Cincinnati, OH",stjamescincy.org,
Service Wholesale,SERVICE WHOLESALE,TRUE,2,Commercial Services,Wholesale distribution,Heuristic,Final,,"Service Wholesale Inc. | Service Wholesale, Inc","LEBANON, OH",dtbdistributors.com,
Silco Fire and Security,SILCO FIRE AND SECURITY,TRUE,2,Construction,Fire/security systems contractor,Rule-Based,Final,,Silco Fire & Security Cincinnati | Silco Fire And Security - Centerville,"CINCINNATI, OH | CENTERVILLE, OH",silcofs.com,
St Agnes Church,ST AGNES CHURCH,TRUE,2,Non-Profit / Religious,,Rule-Based,,,St Agnes Church | St. Agnes Church,"FT. WRIGHT, KY",,
Target,TARGET,TRUE,2,Commercial Services,Retail,Entity Inference,,,Target Management & Leasing Inc | The Target Group,"WEST CHESTER, OH | CINCINNATI, OH",,
Tgt Transportation,TGT TRANSPORTATION,TRUE,2,Commercial Services,Transportation/logistics,Rule-Based,Final,,Tgt Transportation,"HEBRON, KY",,
Thyssenkrupp Bilstein,THYSSENKRUPP BILSTEIN,TRUE,2,Manufacturing,Automotive shock absorbers,Entity Inference,Final,,Thyssenkrupp Bilstein | Thyssenkrupp Bilstein Of America,"HAMILTON, OH",,
Tradelane Properties,TRADELANE PROPERTIES,TRUE,2,Commercial Real Estate,,Rule-Based,,,Tradelane Properties,"WEST CHESTER TOWNSHIP, OH | OAK BROOK, IL",,
UPS,UPS,TRUE,2,Commercial Services,Shipping / Logistics,Entity Inference,,,Ups Supply Chain Solutions | Upstream Rehilbilitation,"LOUISVILLE, KY | CHATTANOOGA, TN",,
Usui International,USUI INTERNATIONAL,TRUE,2,Manufacturing,Automotive components,Heuristic,Final,,"Usui International | Usui International, Corp","WEST CHESTER, OH | PLYMOUTH, MI",,
Wesley Village,WESLEY VILLAGE,TRUE,2,Healthcare / Senior Living,Senior living,Heuristic,Final,,Wesley Village,"WILMORE, KY",,
Whitewater Crossing Church,WHITEWATER CROSSING CHURCH,TRUE,2,Non-Profit / Religious,,Rule-Based,,,Whitewater Crossing Church,"CLEVES, OH",,
Wittenberg University,WITTENBERG UNIVERSITY,TRUE,2,University / College,,Rule-Based,,,Wittenberg University,"SPRINGFIELD, OH | Springfield, OH",,
Woodward Construction,WOODWARD CONSTRUCTION,TRUE,2,Construction,,Rule-Based,,,Woodward Construction | Woodward Construction Inc,"CINCINNATI, OH | BLUE ASH, OH",,
Zionsville Realty Partners,ZIONSVILLE REALTY PARTNERS,TRUE,2,Commercial Real Estate,,Rule-Based,,,Zionsville Realty Partners | Zionsville Realty Partners Llc C/O Cushman & Wakefield,"CARMEL, IN | INDIANAPOLIS, IN",,
10% Cabinetry,10% CABINETRY,FALSE,1,Construction,Millwork/cabinetry contractor,Rule-Based,Final,,10% Cabinetry,"WEST CHESTER TOWNSHIP, OH",,
109 Independence Lane,109 INDEPENDENCE LANE,FALSE,1,Commercial Real Estate,Property/address entity,Rule-Based,Final,,"109 Independence Lane, Llc","PALOS VERDES ESTATES, CA",,
16 Point Solution,16 POINT SOLUTION,FALSE,1,Commercial Services,Business/IT services (unclear),AI Analyst Research,Final,,16 Point Solution,"CINCINNATI, OH",,
