Action,From,To,Score,Notes
MovedByMasterMerge,AMCOR RIGID PLASTICS USA,AMCOR RIGIDS,1.000,Imported from Batch4.md; resolved 'AMCOR RIGID PLASTICS' -> 'AMCOR RIGID PLASTICS USA'
Unresolved,AMCOR RIGID PLASTICS USA AMCOR RIGIDS,,,Imported from Batch4.md
Unresolved,CENTERVILLECINCINNATI,,,Imported from Batch2.md; unresolved master canonical 'CENTERVILLECINCINNATI'
Unresolved,CORE GROUP CORE RESOURCES CORE OF SCOTTSVILLE,,,Imported from Batch4.md
Unresolved,CORNERSTONE COMPANIES CORNERSTONE SERVICES,,,Imported from Batch4.md
Unresolved,DIRECTOR OF CHOICE GRANTS TN DOE,,,Imported from Batch4.md; unresolved master canonical 'DIRECTOR OF CHOICE GRANTS TN DOE'
Unresolved,DTWPH2 DTWP,,,Imported from Batch4.md; unresolved master canonical 'DTWPH2 DTWP'
Unresolved,INDYLEX,,,Imported from Batch3.md; unresolved master canonical 'INDYLEX'
Unresolved,LEE LELLYETT AND ROGERS LEWIS THOMASON,,,Imported from Batch3.md
Unresolved,LEMON D BIKES LEMOND BIKES,,,Imported from Batch3.md
Unresolved,MELROSE PLACE GP,,,Imported from Batch3.md; unresolved master canonical 'MELROSE PLACE GP'
Unresolved,MELROSE PLACE GP DBA MELROSE PLACE,,,Imported from Batch3.md
Unresolved,NP DAYON BUILDING VIII NP DWBA NP FTC LLL,,,Imported from Batch3.md
Unresolved,PANDORA JEWELLERY INCL PANDORA S9,,,Imported from Batch3.md
Suggest,PEARSON VUE INDYLEX,PEARSON VUE INDY,0.914,Imported from Batch3.md
MovedByMasterMerge,PERFECTION MECHANICAL,PERFECTION GROUP,1.000,Imported from Batch3.md
MovedByMasterMerge,PERFECTION SERVICES,PERFECTION GROUP,1.000,Imported from Batch3.md
Unresolved,PG AND A PGNA PGNA,,,Imported from Batch2.md; unresolved master canonical 'PG AND A PGNA PGNA'
MovedByMasterMerge,PSC CENTRAL PARK,PSC METALS,1.000,Imported from Batch2.md
Unresolved,RITETRACK RITWAY,,,Imported from Batch2.md; unresolved master canonical 'RITETRACK RITWAY'
Unresolved,RUSH ENTERPRISES RUSH TRUCK CENTERS,,,Imported from Batch2.md
Unresolved,SCGIV KARCHS CROSSING SCGIXHARVEST TOWNE SCGVI WASHINGTON MARKET,,,Imported from Batch2.md
MovedByMasterMerge,SILCO FIRE AND SECURITY CENTERVILLE,SILCO FIRE AND SECURITY,1.000,"Imported from Batch2.md; expanded tokens ['SILCO', 'FIRE', 'SECURITY'] -> 'SILCO FIRE AND SECURITY CENTERVILLE'"
Unresolved,SILCO FIRE AND SECURITY CENTERVILLECINCINNATI,,,Imported from Batch2.md
MovedByMasterMerge,SILCO FIRE AND SECURITY CINCINNATI,SILCO FIRE AND SECURITY,1.000,"Imported from Batch2.md; expanded tokens ['SILCO', 'FIRE', 'SECURITY'] -> 'SILCO FIRE AND SECURITY CINCINNATI'"
Unresolved,WSAZ WVLT TV CHANNEL 8,,,Imported from Batch Process 1.md
