Action,Master Customer Name Canonical,Old,New
Add,FRESENIUS MEDICAL CARE,,freseniusmedicalcare.com
Add,CUSHMAN AND WAKEFIELD,,cushmanwakefield.com
Add,WALMART,,walmart.com
Add,MORNING POINTE,,morningpointe.com
Add,PERFECTION GROUP,,perfectiongroup.com
Add,HOLROB SCHAFFLER PARTNERSHIP,,holrob.com
Add,I3 INVESTORS,,i3investors.com
Add,JESSAMINE COUNTY FISCAL COURT,,jessamineky.gov
Add,NEWLY WEDS FOODS,,newlywedsfoods.com
Add,NEYER PROPERTIES,,neyerproperties.com
Add,OLIVE GARDEN,,olivegarden.com
Add,PNC BANK,,pnc.com
Add,POINT BLANK RANGE AND GUNSHOP,,rangeusa.com
Add,SUN CHEMICAL,,sunchemical.com
Add,TOWNE PROPERTIES,,towneproperties.com
Add,TRILOGY HEALTH SERVICES,,trilogyhs.com
Add,UGN,,ugn.com
Add,WOODFORD COUNTY FISCAL COURT,,woodfordcountyky.gov
Add,45NINETY CONSTRUCTION,,45ninety.com
Add,ABSOLUTE VALUE MANAGEMENT,,avmre.com
