Source Type,Source File,Raw Name,Canonical,Expected Status,In MasterEnrichment,MasterEnrichment Status,MasterEnrichment Website,MasterEnrichment NAICS,MasterEnrichment Industry Detail,In MasterWebsites,MasterWebsites Website,Appears In Apply Reports
enrichment_log,Batch_20260120_1423.md,JLL PROPERTY MANAGEMENT,JLL PROPERTY MANAGEMENT,Verified,TRUE,Verified,jll.com,531210,Commercial Real Estate Services,TRUE,jll.com,TRUE
enrichment_log,Batch_20260120_1423.md,BLUE RIDGE REALTY,BLUE RIDGE REALTY,Verified,TRUE,Verified,blueridgecos.com,531312,Commercial Real Estate Services,TRUE,blueridgecos.com,TRUE
enrichment_log,Batch_20260120_1423.md,PROVIDENCE COMMERCIAL REAL ESTATE,PROVIDENCE COMMERCIAL REAL ESTATE,Verified,TRUE,Verified,providencecres.com,531210,Commercial Real Estate Brokerage,TRUE,providencecres.com,TRUE
enrichment_log,Batch_20260120_1423.md,HOLROB COMMERCIAL REALTY,HOLROB COMMERCIAL REALTY,Verified,TRUE,Verified,holrob.com,531210,Commercial Real Estate Services,TRUE,holrob.com,TRUE
enrichment_log,Batch_20260120_1423.md,NEYER PROPERTIES,NEYER PROPERTIES,Verified,TRUE,Verified,neyerproperties.com,531390,Commercial Real Estate Development,TRUE,neyerproperties.com,TRUE
enrichment_log,Batch_20260120_1423.md,TOWNE PROPERTIES,TOWNE PROPERTIES,Verified,TRUE,Verified,towneproperties.com,531311,Residential Property Managers,TRUE,towneproperties.com,TRUE
enrichment_log,Batch_20260120_1423.md,WESTERN SOUTHERN,WESTERN SOUTHERN,Verified,TRUE,Verified,westernsouthern.com,524113,Direct Life Insurance Carriers,TRUE,westernsouthern.com,TRUE
enrichment_log,Batch_20260120_1423.md,WHITE OAK ATHLETIC CLUB,WHITE OAK ATHLETIC CLUB,Verified,TRUE,Verified,whiteoakac.org,611620,Sports and Recreation Instruction,TRUE,whiteoakac.org,TRUE
enrichment_log,Batch_20260120_1423.md,WIEDEMANN,WIEDEMANN,Verified,TRUE,Verified,wiedemannbeer.com,312120,Breweries,TRUE,wiedemannbeer.com,TRUE
enrichment_log,Batch_20260120_1423.md,WINDSOR SUITES,WINDSOR SUITES,Verified,TRUE,Verified,windsorsuites.com,721110,Hotels and Motels,TRUE,windsorsuites.com,TRUE
