Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source
TRADELANE PROPERTIES,,tradelaneproperties.com,,531312,,Industrial Real Estate Mgmt,Verified,,Analyst
WITTENBERG UNIVERSITY,,wittenberg.edu,,611310,,Private University,Verified,,Analyst
ABSOLUTE VALUE MANAGEMENT,,avmre.com,,531311,,Residential Property Mgmt,Verified,,Analyst
BUILDING MANAGEMENT PARTNERS,,buildingmanagementpartners.com,,561210,,Facilities Support Services,Verified,,Analyst
CITY OF NORTH COLLEGE HILL,,northcollegehill.org,,921110,,Local Government,Verified,,Analyst
ST AGNES CHURCH,,saintagnes.com,,813110,,Religious Organization,Verified,,Analyst
UPS,,ups.com,,484110,,Courier & Express Delivery,Verified,,Analyst
WHITEWATER CROSSING CHURCH,,whitewatercrossing.org,,813110,,Religious Organization,Verified,,Analyst
WOODWARD CONSTRUCTION,,wciconstruction.com,,236220,,Commercial General Contractor,Verified,,Analyst
45NINETY CONSTRUCTION,,45ninety.com,,236220,,Commercial Construction,Verified,,Analyst
ADAIR COUNTY FISCAL COURT,,adair.ky.gov,,921110,,Local Government,Verified,,Analyst
ARCHDIOCESE OF CINCINNATI,,catholicaoc.org,,813110,,Religious Organization,Verified,,Analyst
AUGLAIZE COUNTY OH,,auglaizecounty.org,,921110,,Local Government,Verified,,Analyst
BOYLE COUNTY FISCAL COURT,,boylecountyky.gov,,921110,,Local Government,Verified,,Analyst
BUTLER RURAL ELECTRIC COOPERATIVE,,butlerrural.coop,,221122,,Electric Cooperative,Verified,,Analyst
CABLEMASTER,,cablemaster.com,,423610,,Electrical Apparatus Wholesaler,Verified,,Analyst
INGERSOLL-RAND,,irco.com,,333912,,Industrial Machinery Mfg,Verified,,Analyst
JM SMUCKER,,jmsmucker.com,,311999,,Food Manufacturing,Verified,,Analyst
TARGET,,target.com,,452210,,Department Store,Verified,,Analyst
TGT TRANSPORTATION,,tgt-transport.com,,484121,,General Freight Trucking,Verified,,Analyst
THYSSENKRUPP BILSTEIN,,bilstein.com,,336330,,Auto Parts Manufacturing,Verified,,Analyst
TUFF TORQ,,tufftorq.com,,333612,,Power Transmission Mfg,Verified,,Analyst
USUI INTERNATIONAL,,uic-us.com,,336390,,Auto Parts Manufacturing,Verified,,Analyst
WESLEY VILLAGE,,wvillage.org,,623311,,Continuing Care Retirement Community,Verified,,Analyst
AGREE REALTY,,agreerealty.com,,531120,,Real Estate Investment Trust,Verified,,Analyst
ALO PROPERTY MANAGEMENT,,alopg.com,,531312,,Commercial Property Mgmt,Verified,,Analyst
ATHENAEUM OF OHIOMT ST MARYS SEMINARY,,athenaeum.edu,,611310,,Theological Seminary,Verified,,Analyst
