"Master Customer Name","Master Customer Name Canonical","IsMerge","MergeGroupSize","Industrial Group","Industry Detail (Current)","NAICS (Current)","Company Website (Current)","Method","Status","Confidence (Current)","Rationale (Current)","Enrichment Targets","Attempt Count","Last Attempted At","Attempt Outcome","Example Customer Names","Example Locations","Industry Detail (Approved)","NAICS (Approved)","Company Website (Approved)","Enrichment Status","Enrichment Confidence","Enrichment Rationale","Enrichment Source","Attempt Outcome.1","Notes"
"Travel Inn Motel","TRAVEL INN MOTEL","False","1","Commercial Services","Motel","721110","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website | Industry Detail","3","2026-01-21 15:44:12","","Travel Inn Motel","SHARONVILLE, OHIO","Motel","721110","","Verified","High","","Analyst","",""
"Zionsville Realty Partners","ZIONSVILLE REALTY PARTNERS","True","2","Commercial Real Estate","Real Estate Partnership","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","2","2026-01-21 15:44:12","","Zionsville Realty Partners | Zionsville Realty Partners Llc C/O Cushman & Wakefield","CARMEL, IN | INDIANAPOLIS, IN","Real Estate Agents and Brokers","531210","","Verified","High","","Analyst","",""
"4000 Associates","4000 ASSOCIATES","False","1","Commercial Services","Property Holding","531120","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:13","","4000 Associates","LOUISVILLE, KY","","","","Deferred","","Ambiguous Property Entity","Analyst","","Generic name, possibly related to companies with ~4000 associates in Louisville (Humana, etc.) or a specific property address."
"Ajk Management","AJK MANAGEMENT","False","1","Commercial Services","Property Management","531312","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:13","","Ajk Management, Inc.","Cincinnati,, OH","","","","Deferred","","Ambiguous Property Entity","Analyst","","No distinct website found for Cincinnati entity."
"Baeolophus Partners","BAEOLOPHUS PARTNERS","False","1","Commercial Services","Investment Partnership","531120","","Heuristic","","Low","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:13","","Baeolophus Partners, Llc.","CINCINNATI, OHIO","","","","Deferred","","Ambiguous Investment Entity","Analyst","","No distinct website found for Cincinnati entity."
"Bdg Properties","BDG PROPERTIES","False","1","Commercial Real Estate","Property Holding","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","1","1/19/2026 15:20","","Bdg Properties","LOUISVILLE, KY","","","","Deferred","","Ambiguous Property Entity","Analyst","","No distinct website found for Louisville entity."
"Bearden Hill Office Partners","BEARDEN HILL OFFICE PARTNERS","False","1","Commercial Services","Office Property Entity","531120","","Heuristic","","High","Verified enrichment updated: NAICS, Industry Detail","Website","2","2026-01-21 15:44:12","","Bearden Hill Office Partners","KNOXVILLE, TN","Office Property Lessor","531120","","Verified","High","","Analyst","",""
"Blue Ash Acquistions","BLUE ASH ACQUISTIONS","False","1","Commercial Real Estate","Property acquisition entity","5311","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","1/20/2026 15:19","","Blue Ash Acquistions C/O Collier","BLUE ASH, OH","","","","Deferred","","Ambiguous Acquisition Entity","Analyst","","Likely a generic holding name. No specific corporate entity found."
"Bob Adams Residence","BOB ADAMS RESIDENCE","False","1","Commercial Services","Individual/property","5311","","Rule-Based","Final","High","Analyst-approved override (method: Rule-Based)","Website","1","1/20/2026 15:29","","Bob Adams Residence","MASCOT, TN","","","","Deferred","","Private Residence","Analyst","","Private dwelling in Mascot, TN."
"Boghani Properties","BOGHANI PROPERTIES","False","1","Commercial Real Estate","Real Estate Investment","531120","","Rule-Based","","High","Verified enrichment updated: NAICS, Industry Detail","Website","2","2026-01-21 15:44:12","","Boghani Properties, Llc","KNOXVILLE, TN","Nonresidential Property Management","531312","","Verified","High","","Analyst","",""
