Master Customer Name,Master Customer Name Canonical,IsMerge,MergeGroupSize,Industrial Group,Industry Detail (Current),NAICS (Current),Company Website (Current),Method,Status,Confidence (Current),Rationale (Current),Enrichment Targets,Attempt Count,Last Attempted At,Attempt Outcome,Example Customer Names,Example Locations,Industry Detail (Approved),NAICS (Approved),Company Website (Approved),Enrichment Status,Enrichment Confidence,Enrichment Rationale,Enrichment Source,Attempt Outcome,Notes
Norhtpoint Development,NORHTPOINT DEVELOPMENT,TRUE,2,Commercial Real Estate,,531,,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Norhtpoint Development'),Website | NAICS | Industry Detail,,,,Norhtpoint Development | Northpoint Development,"CINCINNATI, OH | RIVERSIDE, MO",,,,Verified,,,Analyst,,
Nashville Office 1,NASHVILLE OFFICE 1,FALSE,1,Commercial Real Estate,Office property entity,5311,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,Nashville Office 1 Llc C/O Foundry Commercial,"NASHVILLE, TN",,,https://TEST.com,Verified,,,Analyst,,
Nashville Sheet Metal,NASHVILLE SHEET METAL,FALSE,1,Construction,Sheet metal/HVAC,2381,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,Nashville Sheet Metal,"NASHVILLE, TN",,,,Verified,,,Analyst,,
National City Equipment Finance,NATIONAL CITY EQUIPMENT FINANCE,FALSE,1,Commercial Services,Equipment finance,5222,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,National City Equipment Finance,"Cincinnati,, OH",,,,Verified,,,Analyst,,
National Indoor Rv Center,NATIONAL INDOOR RV CENTER,FALSE,1,Commercial Services,RV sales/service,4412,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,National Indoor Rv Center,"LA VERGNE, TN",,,,Verified,,,Analyst,,
Ndh Reit Op LP,NDH REIT OP LP,FALSE,1,Commercial Real Estate,REIT property entity,5311,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,Ndh Reit Op Lp,"CHICAGO, IL",,,,Verified,,,Analyst,,
Neogen,NEOGEN,FALSE,1,Commercial Services,Life sciences/testing,5417,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Website,,,,Neogen,"LEXINGTON, KY",,,,Verified,,,Analyst,,
Neptune Eye,NEPTUNE EYE,FALSE,1,Healthcare / Senior Living,Eye care (verify),6213,,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Website,,,,Neptune Eye Company,"CINCINNATI, OH",,,,Verified,,,Analyst,,
New Hope of Indiana,NEW HOPE OF INDIANA,FALSE,1,Non-Profit / Religious,Social services nonprofit,8133,,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Website,,,,New Hope Of Indiana,"INDIANAPOLIS, IN",,,,Verified,,,Analyst,,
Newpage,NEWPAGE,FALSE,1,Manufacturing,Paper manufacturing,3221,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Website,,,,Newpage Corporation,"MIAMISBURG, OH",,,,Verified,,,Analyst,,
Next Generation Childcare,NEXT GENERATION CHILDCARE,FALSE,1,Commercial Services,Childcare,6244,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,Next Generation Childcare,"HAMILTON, OH",,,,Verified,,,Analyst,,
Niagara Bottling,NIAGARA BOTTLING,FALSE,1,Manufacturing,Beverage manufacturing,3121,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Website,,,,Niagara Bottling,"DIOMAND BAR, CA",,,,Verified,,,Analyst,,
North American Stainless,NORTH AMERICAN STAINLESS,FALSE,1,Manufacturing,Steel manufacturing,3311,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Website,,,,North American Stainless,"Ghent, KY",,,,Verified,,,Analyst,,
Northern KY Orthopaedics,NORTHERN KY ORTHOPAEDICS,FALSE,1,Healthcare / Senior Living,Orthopedics practice,6211,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,Northern Ky Orthopaedics,"Crestview Hills, KY",,,,Verified,,,Analyst,,
Northern Kentucky Association of Realtors,NORTHERN KENTUCKY ASSOCIATION OF REALTORS,FALSE,1,Commercial Services,Trade association,8139,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,Northern Kentucky Association Of Realtors,"Florence, KY",,,,Verified,,,Analyst,,
Northern Kentucky Eyecare,NORTHERN KENTUCKY EYECARE,FALSE,1,Healthcare / Senior Living,Eye care,6213,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,Northern Kentucky Eyecare,"FT. THOMAS, KY",,,,Verified,,,Analyst,,
Northrop Grumman,NORTHROP GRUMMAN,FALSE,1,Manufacturing,Defense/aerospace,3364,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Website,,,,Northrop Grumman,"BEAVERCREEK, OH",,,,Verified,,,Analyst,,
Northropgrummanxetron,NORTHROPGRUMMANXETRON,FALSE,1,Manufacturing,Defense/aerospace (sub-entity),3364,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Website,,,,Northrop/Grumman/Xetron,"CINCINNATI, OH",,,,Verified,,,Analyst,,
Np Dayon Building VIII,NP DAYON BUILDING VIII,FALSE,1,Commercial Real Estate,Property entities,5311,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,Np Dayon Building Viii Llc,"VANDALIA, OH",,,,Verified,,,Analyst,,
Np Dwba,NP DWBA,FALSE,1,Commercial Real Estate,Property entities,5311,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,Np Dwba Llc,"KANSAS CITY, MO",,,,Verified,,,Analyst,,
Np Ftc Lll,NP FTC LLL,FALSE,1,Commercial Real Estate,Property entities,5311,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,Np Ftc Lll,"KANSAS CITY, MO",,,,Verified,,,Analyst,,
ONEC1TY,ONEC1TY,FALSE,1,Commercial Real Estate,Mixed-use development (verify),5311,,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Website,,,,Onec1Ty,"NASHVILLE, TN",,,,Verified,,,Analyst,,
Oak Hill School,OAK HILL SCHOOL,FALSE,1,Private Schools (K–12),Private/parochial school (verify),6111,,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Website,,,,Oak Hill School,"NASHVILLE, TN",,,,Verified,,,Analyst,,
Oak Ridge Locksmith,OAK RIDGE LOCKSMITH,FALSE,1,Commercial Services,Locksmith services,5616,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,Oak Ridge Locksmith,"OAK RIDGE, TN",,,,Verified,,,Analyst,,
Oak Ridge National Laboratory,OAK RIDGE NATIONAL LABORATORY,FALSE,1,Municipal / Local Government,Federal research laboratory,5417,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Website,,,,Oak Ridge National Laboratory,"OAK RIDGE, TN",,,,Verified,,,Analyst,,
Obara,OBARA,FALSE,1,Manufacturing,Welding automation (verify),3339,,Heuristic,Final,High,Analyst-approved override (method: Heuristic),Website,,,,Obara,"Erlanger, KY",,,,Verified,,,Analyst,,
Odw Logistics,ODW LOGISTICS,FALSE,1,Commercial Services,Logistics/3PL,4931,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Website,,,,Odw Logistics,"LOCKBOURNE, OH",,,,Verified,,,Analyst,,
Office Furniture Source,OFFICE FURNITURE SOURCE,FALSE,1,Commercial Services,Office furniture distribution,4232,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,Office Furniture Source,"CINCINNATI, OH",,,,Verified,,,Analyst,,
Ogara Hess and Eisenhargt Armoring,OGARA HESS AND EISENHARGT ARMORING,FALSE,1,Manufacturing,Vehicle armoring,3369,,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Website,,,,O'Gara Hess & Eisenhargt Armoring Co Llc,"FAIRFIELD, OH",,,,Verified,,,Analyst,,
Ohio Valley Educational Cooperative,OHIO VALLEY EDUCATIONAL COOPERATIVE,FALSE,1,Municipal / Local Government,Education cooperative,6117,,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Website,,,,Ohio Valley Educational Cooperative,"ERLANGER, KY",,,,Verified,,,Analyst,,
