Industrial Group,Industry Detail,Count,Pct of Group
Non-Profit / Religious,Religious Organization,89,50.86
Municipal / Local Government,Local Government,69,62.16
Construction,Commercial Construction,51,21.7
Individual / Misc,Individual,31,50.82
Construction,General Contractor,27,11.49
Commercial Real Estate,Property entity,25,8.77
Public Schools (K–12),Public School District,20,51.28
Healthcare / Senior Living,General Hospital,18,12.0
Manufacturing,Automotive components,17,3.94
Commercial Services,Food distribution,17,2.47
Commercial Real Estate,Commercial Property Mgmt,16,5.61
Commercial Real Estate,Real Estate Development,14,4.91
Commercial Services,E-commerce retail,13,1.89
Commercial Services,Restaurant,13,1.89
Financial Services,Commercial Banking,12,36.36
Construction,Mechanical contractor,11,4.68
Municipal / Local Government,Public Library,11,9.91
Unknown / Needs Review,Unidentified,11,100.0
Commercial Real Estate,Real Estate Investment,10,3.51
Non-Profit / Religious,Private School,10,5.71
Commercial Real Estate,Property/address entity,9,3.16
Individual / Misc,(blank),9,14.75
Utilities,Electrical Contractor,9,27.27
Public Schools (K–12),Public school district,9,23.08
Construction,(blank),8,3.4
Commercial Services,Property Management,8,1.16
Commercial Services,Logistics,8,1.16
Commercial Services,Brewery/taproom,8,1.16
Construction,Design-Build Construction,7,2.98
Healthcare / Senior Living,(blank),7,4.67
Commercial Services,Commercial Property Mgmt,7,1.02
Healthcare / Senior Living,General Medical & Surgical Hospitals,7,4.67
University / College,Private University,7,30.43
Non-Profit / Religious,(blank),7,4.0
Manufacturing,Automotive Parts Mfg,7,1.62
Manufacturing,Food manufacturing,7,1.62
Commercial Services,Equipment rental,6,0.87
Commercial Real Estate,Multifamily operating entity (ALPARC),6,2.11
Commercial Real Estate,Commercial property entity,6,2.11
Commercial Services,Individual/entity unclear,6,0.87
Commercial Real Estate,Property Holding,6,2.11
Manufacturing,Plastics manufacturing,6,1.39
Non-Profit / Religious,Religious organization,6,3.43
Commercial Services,Real Estate Holding,6,0.87
Commercial Real Estate,Residential Rental Property,6,2.11
Manufacturing,Corrugated Container Mfg,6,1.39
Commercial Real Estate,Property entities,6,2.11
Commercial Services,Residential Property Mgmt,5,0.73
Commercial Services,Services (unclear),5,0.73
Healthcare / Senior Living,Veterinary Services,5,3.33
Commercial Services,Hotel,5,0.73
Commercial Services,Auto dealership,5,0.73
Commercial Services,Individual,5,0.73
Municipal / Local Government,(blank),5,4.5
Commercial Real Estate,Commercial Real Estate Developer,5,1.75
Commercial Real Estate,Investment/property entity,5,1.75
Construction,Mechanical Contractor,5,2.13
Construction,Mechanical / HVAC Contracting,5,2.13
Commercial Real Estate,Property ownership,5,1.75
Financial Services,Mortgage Lending,4,12.12
Commercial Real Estate,Partnership/property entity,4,1.4
Commercial Real Estate,Property Management,4,1.4
Commercial Services,Fitness Center,4,0.58
Financial Services,Credit Union,4,12.12
Construction,Contractor,4,1.7
Commercial Services,Ambiguous,4,0.58
Commercial Real Estate,Real Estate Partnership,4,1.4
Construction,Construction Management,4,1.7
Construction,Residential Remodel,4,1.7
Manufacturing,Medical Device Mfg,4,0.93
Healthcare / Senior Living,Healthcare Real Estate,4,2.67
Manufacturing,Commercial Bakery,4,0.93
Utilities,Electric Power Distribution,4,12.12
Manufacturing,Food Manufacturing,4,0.93
Commercial Services,Wholesale distribution,4,0.58
Healthcare / Senior Living,Senior living,4,2.67
Commercial Real Estate,Healthcare Real Estate Mgmt,3,1.05
Commercial Services,Consulting,3,0.44
Commercial Services,Engineering services,3,0.44
Manufacturing,Manufacturing (unclear),3,0.69
Commercial Services,Restaurant/bar,3,0.44
Commercial Services,Retail,3,0.44
Commercial Services,Discount retail,3,0.44
Manufacturing,(blank),3,0.69
Commercial Real Estate,Commercial Real Estate Services,3,1.05
Commercial Real Estate,Property Management / Brokerage,3,1.05
Commercial Real Estate,Commercial Real Estate Brokerage,3,1.05
Commercial Services,Truck dealer/service,3,0.44
Commercial Services,Sports facility,3,0.44
Commercial Real Estate,Commercial Property Management,3,1.05
University / College,Private College,3,13.04
Commercial Real Estate,Industrial property entity,3,1.05
Construction,Residential General Contractor,3,1.28
Commercial Services,Too ambiguous (multiple “CORE”),3,0.44
Commercial Real Estate,Property entity (coded),3,1.05
Healthcare / Senior Living,Physician Office,3,2.0
Commercial Services,Salon,3,0.44
Non-Profit / Religious,Youth nonprofit,3,1.71
Healthcare / Senior Living,Dialysis Center,3,2.0
Manufacturing,Beverage Manufacturing,3,0.69
Commercial Services,Equipment Rental,3,0.44
Commercial Real Estate,Real Estate,3,1.05
Commercial Real Estate,Real Estate Services,3,1.05
Construction,Construction,3,1.28
Commercial Real Estate,Property LP,3,1.05
Commercial Services,Printing & Marketing,3,0.44
Commercial Real Estate,Property/community,3,1.05
