Master Customer Name Canonical,Hosted Logo URL
BEXLEY CITY SCHOOL DISTRICT,https://stgreen.blob.core.windows.net/logos/BEXLEY_CITY_SCHOOL_DISTRICT.png
JM SMUCKER,https://stgreen.blob.core.windows.net/logos/JM_SMUCKER.png
GOODWILL INDUSTRIES,https://stgreen.blob.core.windows.net/logos/GOODWILL_INDUSTRIES.png
MORGAN FOODS,https://stgreen.blob.core.windows.net/logos/MORGAN_FOODS.png
DALEVILLE COMMUNITY SCHOOLS,https://stgreen.blob.core.windows.net/logos/DALEVILLE_COMMUNITY_SCHOOLS.png
AMERICAN REGENT,https://stgreen.blob.core.windows.net/logos/AMERICAN_REGENT.png
DAYTON ART INSTITUTE,https://stgreen.blob.core.windows.net/logos/DAYTON_ART_INSTITUTE.jpg
AZEK,https://stgreen.blob.core.windows.net/logos/AZEK.png
ROBERT BOSCH AUTOMOTIVE,https://stgreen.blob.core.windows.net/logos/ROBERT_BOSCH_AUTOMOTIVE.svg
ROBERT BOSCH AUTOMOTIVE STEERING,https://stgreen.blob.core.windows.net/logos/ROBERT_BOSCH_AUTOMOTIVE_STEERING.svg
WAPAKONETA CITY SCHOOLS,https://stgreen.blob.core.windows.net/logos/WAPAKONETA_CITY_SCHOOLS.png
TIPPECANOE SCHOOL,https://stgreen.blob.core.windows.net/logos/TIPPECANOE_SCHOOL.png
