Master Customer Name Canonical,Customer Key,Customer Name,Source Path,Source URL,Staged Path,Blob Name,Hosted Logo URL,Match Method,Match Score,Second Match,Second Score,Match Margin
BEXLEY CITY SCHOOL DISTRICT,,,,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged\BEXLEY_CITY_SCHOOL_DISTRICT.png,BEXLEY_CITY_SCHOOL_DISTRICT.png,https://stgreen.blob.core.windows.net/logos/BEXLEY_CITY_SCHOOL_DISTRICT.png,canonical,1.00,,,
JM SMUCKER,,,,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged\JM_SMUCKER.png,JM_SMUCKER.png,https://stgreen.blob.core.windows.net/logos/JM_SMUCKER.png,canonical,1.00,,,
GOODWILL INDUSTRIES,,,,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged\GOODWILL_INDUSTRIES.png,GOODWILL_INDUSTRIES.png,https://stgreen.blob.core.windows.net/logos/GOODWILL_INDUSTRIES.png,canonical,1.00,,,
MORGAN FOODS,,,,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged\MORGAN_FOODS.png,MORGAN_FOODS.png,https://stgreen.blob.core.windows.net/logos/MORGAN_FOODS.png,canonical,1.00,,,
DALEVILLE COMMUNITY SCHOOLS,,,,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged\DALEVILLE_COMMUNITY_SCHOOLS.png,DALEVILLE_COMMUNITY_SCHOOLS.png,https://stgreen.blob.core.windows.net/logos/DALEVILLE_COMMUNITY_SCHOOLS.png,canonical,1.00,,,
AMERICAN REGENT,,,,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged\AMERICAN_REGENT.png,AMERICAN_REGENT.png,https://stgreen.blob.core.windows.net/logos/AMERICAN_REGENT.png,canonical,1.00,,,
DAYTON ART INSTITUTE,,,,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged\DAYTON_ART_INSTITUTE.jpg,DAYTON_ART_INSTITUTE.jpg,https://stgreen.blob.core.windows.net/logos/DAYTON_ART_INSTITUTE.jpg,canonical,1.00,,,
AZEK,,,,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged\AZEK.png,AZEK.png,https://stgreen.blob.core.windows.net/logos/AZEK.png,canonical,1.00,,,
ROBERT BOSCH AUTOMOTIVE,,,,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged\ROBERT_BOSCH_AUTOMOTIVE.svg,ROBERT_BOSCH_AUTOMOTIVE.svg,https://stgreen.blob.core.windows.net/logos/ROBERT_BOSCH_AUTOMOTIVE.svg,canonical,1.00,,,
ROBERT BOSCH AUTOMOTIVE STEERING,,,,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged\ROBERT_BOSCH_AUTOMOTIVE_STEERING.svg,ROBERT_BOSCH_AUTOMOTIVE_STEERING.svg,https://stgreen.blob.core.windows.net/logos/ROBERT_BOSCH_AUTOMOTIVE_STEERING.svg,canonical,1.00,,,
WAPAKONETA CITY SCHOOLS,,,,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged\WAPAKONETA_CITY_SCHOOLS.png,WAPAKONETA_CITY_SCHOOLS.png,https://stgreen.blob.core.windows.net/logos/WAPAKONETA_CITY_SCHOOLS.png,canonical,1.00,,,
TIPPECANOE SCHOOL,,,,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged\TIPPECANOE_SCHOOL.png,TIPPECANOE_SCHOOL.png,https://stgreen.blob.core.windows.net/logos/TIPPECANOE_SCHOOL.png,canonical,1.00,,,
