Master Customer Name Canonical,Customer Key,Customer Name,Source Path,Source URL,Staged Path,Blob Name,Hosted Logo URL,Match Method,Match Score,Second Match,Second Score,Match Margin
ADAIR COUNTY FISCAL COURT,,"Adair County, KY",,https://i.postimg.cc/rynmXfm9/Adair-County-KY.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/ADAIR_COUNTY_FISCAL_COURT.png,ADAIR_COUNTY_FISCAL_COURT.png,https://stgreen.blob.core.windows.net/logos/ADAIR_COUNTY_FISCAL_COURT.png,canonical,1.00,,,
ANDERSON COUNTY FISCAL COURT,,"Anderson County, KY",,https://i.postimg.cc/hGzJbNvn/Anderson-County-KY.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/ANDERSON_COUNTY_FISCAL_COURT.png,ANDERSON_COUNTY_FISCAL_COURT.png,https://stgreen.blob.core.windows.net/logos/ANDERSON_COUNTY_FISCAL_COURT.png,canonical,1.00,,,
AUGLAIZE COUNTY OH,,"Auglaize County, OH",,https://i.postimg.cc/DfHTPH0R/Augalize-County-OH.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/AUGLAIZE_COUNTY_OH.png,AUGLAIZE_COUNTY_OH.png,https://stgreen.blob.core.windows.net/logos/AUGLAIZE_COUNTY_OH.png,canonical,1.00,,,
BOURBON COUNTY FISCAL COURT,,"Bourbon County, KY",,https://i.postimg.cc/zGWXh5kd/Bourbon-County-KY.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/BOURBON_COUNTY_FISCAL_COURT.png,BOURBON_COUNTY_FISCAL_COURT.png,https://stgreen.blob.core.windows.net/logos/BOURBON_COUNTY_FISCAL_COURT.png,canonical,1.00,,,
BOYD COUNTY FISCAL COURT,,"Boyd County, KY",,https://i.postimg.cc/WbYbWSQ1/Boyd-County-KY.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/BOYD_COUNTY_FISCAL_COURT.png,BOYD_COUNTY_FISCAL_COURT.png,https://stgreen.blob.core.windows.net/logos/BOYD_COUNTY_FISCAL_COURT.png,canonical,1.00,,,
BOYLE COUNTY FISCAL COURT,,"Boyle County, KY",,https://i.postimg.cc/C5zwxV1s/Boyle-County-KY.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/BOYLE_COUNTY_FISCAL_COURT.png,BOYLE_COUNTY_FISCAL_COURT.png,https://stgreen.blob.core.windows.net/logos/BOYLE_COUNTY_FISCAL_COURT.png,canonical,1.00,,,
BULLITT COUNTY FISCAL COURT,,"Bullitt County, KY",,https://i.postimg.cc/mDdb4rbr/Bullitt-County-KY.jpg,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/BULLITT_COUNTY_FISCAL_COURT.jpg,BULLITT_COUNTY_FISCAL_COURT.jpg,https://stgreen.blob.core.windows.net/logos/BULLITT_COUNTY_FISCAL_COURT.jpg,canonical,1.00,,,
CARTER COUNTY FISCAL COURT,,"Carter County, KY",,https://i.postimg.cc/43Qf85qV/Carter-County-KY.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CARTER_COUNTY_FISCAL_COURT.png,CARTER_COUNTY_FISCAL_COURT.png,https://stgreen.blob.core.windows.net/logos/CARTER_COUNTY_FISCAL_COURT.png,canonical,1.00,,,
CITY OF ATHENS OH,,"City of Athens, OH",,https://i.postimg.cc/1XxDqsrb/City-of-Athens-OH.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CITY_OF_ATHENS_OH.png,CITY_OF_ATHENS_OH.png,https://stgreen.blob.core.windows.net/logos/CITY_OF_ATHENS_OH.png,canonical,1.00,,,
CITY OF CHEVIOT OH,,"City of Cleveland Heights, OH",,https://i.postimg.cc/Sshbgtq3/City-of-Cleveland-Heights-OH.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CITY_OF_CHEVIOT_OH.png,CITY_OF_CHEVIOT_OH.png,https://stgreen.blob.core.windows.net/logos/CITY_OF_CHEVIOT_OH.png,canonical,1.00,,,
CITY OF CLIFTON TN,,"City of Clifton, TN",,https://i.postimg.cc/XvbNchHn/City-of-Clifton-TN.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CITY_OF_CLIFTON_TN.png,CITY_OF_CLIFTON_TN.png,https://stgreen.blob.core.windows.net/logos/CITY_OF_CLIFTON_TN.png,canonical,1.00,,,
CITY OF COLUMBIA CITY IN,,"City of Columbia City, IN",,https://i.postimg.cc/k4MnLSPZ/City-of-Columbia-City-IN.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CITY_OF_COLUMBIA_CITY_IN.png,CITY_OF_COLUMBIA_CITY_IN.png,https://stgreen.blob.core.windows.net/logos/CITY_OF_COLUMBIA_CITY_IN.png,canonical,1.00,,,
CITY OF CYNTHIANA KY,,"City of Cynthiana, KY",,https://i.postimg.cc/L5w2q0gK/City-of-Cynthiana-KY.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CITY_OF_CYNTHIANA_KY.png,CITY_OF_CYNTHIANA_KY.png,https://stgreen.blob.core.windows.net/logos/CITY_OF_CYNTHIANA_KY.png,canonical,1.00,,,
CITY OF FRANKLIN IN,,"City of Franklin, IN",,https://i.postimg.cc/Y05B2GTt/City-of-Franklin-IN.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CITY_OF_FRANKLIN_IN.png,CITY_OF_FRANKLIN_IN.png,https://stgreen.blob.core.windows.net/logos/CITY_OF_FRANKLIN_IN.png,canonical,1.00,,,
CITY OF GLASGOW KY,,"City of Glasgow, KY",,https://i.postimg.cc/7LwDTzh6/City-of-Glasgow-KY.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CITY_OF_GLASGOW_KY.png,CITY_OF_GLASGOW_KY.png,https://stgreen.blob.core.windows.net/logos/CITY_OF_GLASGOW_KY.png,canonical,1.00,,,
CITY OF HAMMOND IN,,"City of Hammond, IN",,https://i.postimg.cc/wxG6b3ff/City-of-Hammond-IN.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CITY_OF_HAMMOND_IN.png,CITY_OF_HAMMOND_IN.png,https://stgreen.blob.core.windows.net/logos/CITY_OF_HAMMOND_IN.png,canonical,1.00,,,
CITY OF LAWRENCE IN,,"City of Lawrence, IN",,https://i.postimg.cc/DwtfF0fV/City-of-Lawrence-Indiana.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CITY_OF_LAWRENCE_IN.png,CITY_OF_LAWRENCE_IN.png,https://stgreen.blob.core.windows.net/logos/CITY_OF_LAWRENCE_IN.png,canonical,1.00,,,
CITY OF LOUISA KY,,"City of Louisa, KY",,https://i.postimg.cc/7629bR1m/City-of-Louisa-KY.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CITY_OF_LOUISA_KY.png,CITY_OF_LOUISA_KY.png,https://stgreen.blob.core.windows.net/logos/CITY_OF_LOUISA_KY.png,canonical,1.00,,,
CITY OF MIDDLETOWN OH,,"City of Middletown, OH",,https://i.postimg.cc/gkLY9d1Y/City-of-Middletown-OH.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CITY_OF_MIDDLETOWN_OH.png,CITY_OF_MIDDLETOWN_OH.png,https://stgreen.blob.core.windows.net/logos/CITY_OF_MIDDLETOWN_OH.png,canonical,1.00,,,
CITY OF MONROE OH,,"City of Monroe, OH",,https://i.postimg.cc/QtM3frpZ/City-of-Mornoe-OH.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CITY_OF_MONROE_OH.png,CITY_OF_MONROE_OH.png,https://stgreen.blob.core.windows.net/logos/CITY_OF_MONROE_OH.png,canonical,1.00,,,
CITY OF NORTH COLLEGE HILL OH,,"City of North College Hill, OH",,https://i.postimg.cc/CK70CKn4/City-of-North-College-Hill-OH.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CITY_OF_NORTH_COLLEGE_HILL_OH.png,CITY_OF_NORTH_COLLEGE_HILL_OH.png,https://stgreen.blob.core.windows.net/logos/CITY_OF_NORTH_COLLEGE_HILL_OH.png,canonical,1.00,,,
CITY OF PARIS KY,,"City of Paris, KY",,https://i.postimg.cc/NjhTCshM/City-of-Paris-KY.png,/mnt/c/Users/thorn/documents/projects/Customer Segmentation/output/work/logos/staged_dbreen/CITY_OF_PARIS_KY.png,CITY_OF_PARIS_KY.png,https://stgreen.blob.core.windows.net/logos/CITY_OF_PARIS_KY.png,canonical,1.00,,,
