Master Customer Name Canonical,Customer Key,Customer Name,Source Path,Source URL,Staged Path,Blob Name,Hosted Logo URL,Match Method,Match Score,Second Match,Second Score,Match Margin
BEXLEY CITY SCHOOL DISTRICT,CN991515SERV_GP,,,"https://resources.finalsite.net/images/f_auto,q_auto/v1727868532/bexleyschoolsorg/m3aqiwzqvuvgk7mq494h/district-logo.png",C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged_target\BEXLEY_CITY_SCHOOL_DISTRICT.png,BEXLEY_CITY_SCHOOL_DISTRICT.png,https://stgreen.blob.core.windows.net/logos/BEXLEY_CITY_SCHOOL_DISTRICT.png,customer_key,1.00,,,
JM SMUCKER,,,C:\Users\thorn\Documents\projects\Customer Segmentation\input\logos\SJM-43f7c152.png,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged_target\JM_SMUCKER.png,JM_SMUCKER.png,https://stgreen.blob.core.windows.net/logos/JM_SMUCKER.png,canonical,1.00,,,
GOODWILL INDUSTRIES,,,C:\Users\thorn\Documents\projects\Customer Segmentation\input\logos\goodwill.png,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged_target\GOODWILL_INDUSTRIES.png,GOODWILL_INDUSTRIES.png,https://stgreen.blob.core.windows.net/logos/GOODWILL_INDUSTRIES.png,canonical,1.00,,,
MORGAN FOODS,,,C:\Users\thorn\Documents\projects\Customer Segmentation\input\logos\morganfoods.png,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged_target\MORGAN_FOODS.png,MORGAN_FOODS.png,https://stgreen.blob.core.windows.net/logos/MORGAN_FOODS.png,canonical,1.00,,,
DALEVILLE COMMUNITY SCHOOLS,,,C:\Users\thorn\Documents\projects\Customer Segmentation\input\logos\DALEVILLE COMMUNITY SCHOOLS.png,,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged_target\DALEVILLE_COMMUNITY_SCHOOLS.png,DALEVILLE_COMMUNITY_SCHOOLS.png,https://stgreen.blob.core.windows.net/logos/DALEVILLE_COMMUNITY_SCHOOLS.png,canonical,1.00,,,
AMERICAN REGENT,,,,https://media.licdn.com/dms/image/v2/C4D0BAQHTGUeB9MSFcA/company-logo_200_200/company-logo_200_200/0/1630566942833/americanregent_logo?e=2147483647&v=beta&t=nI3HjC3hyXwWKKfA1j3PXmGqun-YA77qHB6hj67peAE,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged_target\AMERICAN_REGENT.png,AMERICAN_REGENT.png,https://stgreen.blob.core.windows.net/logos/AMERICAN_REGENT.png,canonical,1.00,,,
DAYTON ART INSTITUTE,,,,https://www.daytonartinstitute.org/wp-content/uploads/2025/01/DAI_COLOR_LOGO-copy.jpg,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged_target\DAYTON_ART_INSTITUTE.jpg,DAYTON_ART_INSTITUTE.jpg,https://stgreen.blob.core.windows.net/logos/DAYTON_ART_INSTITUTE.jpg,canonical,1.00,,,
AZEK,DY991001SERV_GP,,,https://media.licdn.com/dms/image/v2/C4D0BAQGbMFaOFiqXdA/company-logo_200_200/company-logo_200_200/0/1631350675400?e=2147483647&v=beta&t=0WAAhGz8BFHxELRph8FcdrkJ0Qx6ITHqJBSboa_Qk-w,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged_target\AZEK.png,AZEK.png,https://stgreen.blob.core.windows.net/logos/AZEK.png,customer_key,1.00,,,
ROBERT BOSCH AUTOMOTIVE,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Bosch-logo.svg/1280px-Bosch-logo.svg.png,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged_target\ROBERT_BOSCH_AUTOMOTIVE.svg,ROBERT_BOSCH_AUTOMOTIVE.svg,https://stgreen.blob.core.windows.net/logos/ROBERT_BOSCH_AUTOMOTIVE.svg,canonical,1.00,,,
ROBERT BOSCH AUTOMOTIVE STEERING,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Bosch-logo.svg/1280px-Bosch-logo.svg.png,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged_target\ROBERT_BOSCH_AUTOMOTIVE_STEERING.svg,ROBERT_BOSCH_AUTOMOTIVE_STEERING.svg,https://stgreen.blob.core.windows.net/logos/ROBERT_BOSCH_AUTOMOTIVE_STEERING.svg,canonical,1.00,,,
GORILLA GLUE,,,,https://gorillatough.com/wp-content/themes/gorilla-glue/library/images/logo.png,C:\Users\thorn\Documents\projects\Customer Segmentation\output\work\logos\staged_target\GORILLA_GLUE.png,GORILLA_GLUE.png,https://stgreen.blob.core.windows.net/logos/GORILLA_GLUE.png,canonical,1.00,,,
