Source.Name,Building,EquipmentType,Area Served,Unit ID,QTY,"Operational
 Status",Make,ModelNumber,SerialNumber,KnownManufactureYear,KnownCapacityTons,"Cooling Capacity 
(Unit)","Cooling Efficiency
(Value)","Cooling Efficiency 
(Rating)","Heating Capacity 
(Input)","Heating Capacity 
(Unit)","Heating Efficiency
(Value)","Heating Efficiency 
(Rating)",Heating Fuel,Extras / Accessories / Configuration,"Fan 
(HP)","Fan Flow
(CFM)","Fan Static 
Pressure
(in. wc)",Extras / Accessories / Configuration2,"Pump 
(HP)","Pump Flow
(GPM)","Head
(Ft Head)","System Pressure
(PSI)",Extras / Accessories / Configuration3,"DHW 
Heating Capacity
(Value)","DHW 
Heating Capacity
(Unit)","DHW Efficiency
(Value)","DHW Efficiency 
(Rating)","DHW Storage Capacity
(Gallons)",Extras / Accessories / Configuration4,Refrigerant,"Voltage 
(Volt-Phase)",Amp,"Unit 
Weight
(lbs)",Column1
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P120YJMU-A,12W01195,2012,10,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,30,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P144YJMU-A,13W00564,2013,12,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,40,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P144YJMU-A,13W00650,2013,12,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,40,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P144YJMU-A,13W00577,2013,12,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,40,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P144YJMU-A,13W00544,2013,12,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,40,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P144YJMU-A,13W00548,2013,12,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,40,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P144YJMU-A,13W00646,2013,12,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,40,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P144YJMU-A,13W00538,2013,12,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,40,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P144YJMU-A,13W00589,2013,12,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,40,,
Copy of Survey_Detail&Info_v1.1-Jefferson County Schools - jeh rev.xlsm,Patriot Academy,VRF - Condensing Unit,school,,1,Operational,Mitsubishi,PURY-P144YJMU-A,13W00525,2013,12,Ton,,,,,,,,,,,,,,,,,,,,,,,,R-410A,480V - Three Phase,40,,
