SnapshotId,RecordId,RecordOrdinal,BrandRaw,BrandNormalized,Category,CategoryEquipmentTypes,Length,SegCountDeclared,SegmentCountObserved,OptionCountObserved,ExtraFieldsJson
2026-01-24_v3.84,r00001,1,Owner Software,OWNER SOFTWARE,Author,[],11,2,2,3,{}
2026-01-24_v3.84,r00002,2,AAon,AAON,Air Handler,[],9,6,6,10,{}
2026-01-24_v3.84,r00003,3,AAon,AAON,Air Handler,[],14,11,11,55,{}
2026-01-24_v3.84,r00004,4,AAon,AAON,Air Handler,[],14,12,12,39,{}
2026-01-24_v3.84,r00005,5,AAon,AAON,Air Handler,[],14,13,13,71,{}
2026-01-24_v3.84,r00006,6,AAon,AAON,Air Handler,[],30,21,21,40,{}
2026-01-24_v3.84,r00007,7,AAon,AAON,Chiller,[],19,16,16,39,{}
2026-01-24_v3.84,r00008,8,AAon,AAON,Condenser,[],9,6,6,11,{}
2026-01-24_v3.84,r00009,9,AAon,AAON,Condenser,[],14,11,11,18,{}
2026-01-24_v3.84,r00010,10,AAon,AAON,Condenser,[],14,11,11,18,{}
2026-01-24_v3.84,r00011,11,AAon,AAON,Condenser,[],19,16,16,39,{}
2026-01-24_v3.84,r00012,12,AAon,AAON,Multi,[],19,16,16,163,{}
2026-01-24_v3.84,r00013,13,AAon,AAON,Package Rooftop Unit,[],24,21,21,122,{}
2026-01-24_v3.84,r00014,14,AAon,AAON,Water Source HP,[],22,19,19,31,{}
2026-01-24_v3.84,r00015,15,Addison,ADDISON,Package Rooftop Unit,[],11,7,7,16,{}
2026-01-24_v3.84,r00016,16,ADP,ADP,Air Handler,[],8,6,6,13,{}
2026-01-24_v3.84,r00017,17,ADP,ADP,Air Handler,[],13,9,9,27,{}
2026-01-24_v3.84,r00018,18,ADP,ADP,Air Handler,[],13,10,10,15,{}
2026-01-24_v3.84,r00019,19,ADP,ADP,Air Handler,[],13,10,10,23,{}
2026-01-24_v3.84,r00020,20,ADP,ADP,Air Handler,[],13,10,10,38,{}
2026-01-24_v3.84,r00021,21,ADP,ADP,Air Handler,[],13,10,10,13,{}
2026-01-24_v3.84,r00022,22,ADP,ADP,Coil,[],7,5,5,2,{}
2026-01-24_v3.84,r00023,23,ADP,ADP,Coil,[],7,5,5,4,{}
2026-01-24_v3.84,r00024,24,ADP,ADP,Coil,[],8,5,5,2,{}
2026-01-24_v3.84,r00025,25,ADP,ADP,Coil,[],10,8,8,2,{}
2026-01-24_v3.84,r00026,26,ADP,ADP,Coil,[],11,7,7,15,{}
2026-01-24_v3.84,r00027,27,ADP,ADP,Coil,[],14,9,9,4,{}
