key,value
AC,Air Conditioning
ACC,Accumulator
ACD,Automatic Control Damper
ACS,Access
ACTR,Actuator
ADJ,Adjustment
ADR,Access Door Retainer
ADV,Actuated Discharge Valves
AF,AirFoil Fan
AFUE,Annual Fuel Utilization Efficiency
AFW,Auto-Flow
AH,Air Handler
AL,Aluminum
ALK,Air Leakage
ALM,Alarm
ALS,Aluminized Steel
ALT,Alternate
ALTD,Altitude
AMB,Ambient
AMP,Ampere
APD,Air Pressure Drop
APP,Applications
APS,Air Proving Switch
ARCD,Air-Cooled
ARF,Air Flow
ATC,Automatic Temperature Control
ATL,Accros The Line
ATS,Automatic Transfer Switch
ATT,Attenuation
AUX,Auxiliary
AV,Air Volume
AVG,Average
BARO,Barometric
BAS,Building Automation Systems
BB,Beckett Burner
BCF,Backward Curve Fan
BCI,BACnet Communication Interface Module
BD,Belt Drive
BDC,Bottom Drain Connection
BKT,Bracket
BLC,Blower Coil
BLD,Bleed
BLDG,Building
BLK,Blankets
BLR,Boiler
BLRL,Boilerless
BLO,Blower
BNT,BACnet
BOM,Bill Of Materals
BOP,Blank Off Plate
BP,Bypass
BR,Base Rail
BRN,Brine
BRZ,Braze
BTH,Blow-Through
BTM,Bottom
BTUH,British Thermal Unit per Hour
BZP,Brazed Plate
CA,California
CAB,Cabinet
CAC,Commercial Air Conditioner
CANA,Canada
CAP,Capacitor
CAS,Cased
CASS,Cassette
CB,Circuit Breaker
CC,CPC Controller
CCH,Crank Case Heater
CCS,Commercial Comfort System
CENT,Centrifugal
CERT,Certified
CF,Counter Flow
CFM,Cubic Feet per Minute
CFSP,Coil Face Shipping Protection
CG,Coil Guard
CH,Chilled
CHAS,Chassis
CHLR,Chiller
CHM,Chimney
CKT,Circuit
CL,Coil
CLD,Cooled
CLG,Ceiling
CLOG,Clogged
CLR,Cooler
CM3,Cubic Centimeter
CMNT,ComfortNet
CNSTR,Construction
CO2,Carbon Dioxide
COLG,Cooling
COLK,ComfortLink
COM,Commercial
COMB,Combustion
COMF,Comfort
COMM,Communication
COMP,Compressor
COMT,Comparative
CON,Condensate
CONC,Concealed
COND,Condenser
CONF,Configuration
CONG,Condensing
CONN,Connection
CONPP,Condensate Pump
CONT,Contactor
CONVO,Convenience Outlet
CONVT,Convertible
COPB,Compatible
COR,Change over
CORR,Corrosion
COS,Condensate Overflow Switch
CP,Compact
CPOT,Composite
CPTY,Capacity
CPT,component
CR,Current Relay
CRTG,Cartridge
CSA,Canadian Standards Association
CSCR,Capacitor Start Capacitor Run
CSIR,Capacitor Start Induction Run
CSTL,Coastal
CSU,Ceiling Suspended Unit
CTD,Coated
CTM,Constant Torque Motor
CTRL,Control
CTRLR,Controller
CU,Copper
CUL,Canada Underwriters Laboratories
CUNI,CuproNickel
CUST,Customer
CV,Constant Volume
CXM,CXM Controller
DA,Discharge Air
DAS,Discharge Air Sensor
DAT,Discharge Air Temperature
DBL,Double
DB,Dry Bulb
DBS,Dry Bulb Sensor
DC,Direct Current
DCN,Disconnect
DD,Direct Drive
DDEN,Dual Density
DDC,Direct Digital Controls
DED,Dedicated
DEL,Deluxe
DESD,Desert Duty
DESN,Designation
DET,Detectors
DF,Down Flow
DFS,Dirty Filter Switch
DFSN,Dirty Filter Sensor
DFT,Defrost
DH,Dehumidification
DHW,Domestic Hot Water
DIFF,Differential
DIGT,Digital
DISB,Disposable
DISC,Discharge
DISP,Display
DIST,Distribute
DMP,Damper
DMST,Domestic
DP,Drain Pan
DPP,Dual Point Power
DR,Drive
DRF,Direct Fired
DRM,Door Mount
DS,Deflection Spring
DT,Downturn
DTH,Draw-Through
DUF,Dual Fuel
DV,Direct Vent
DVM,Digital Variable Multi
DW,Double Wall
DX,Direct Expansion
DXM,DXM Controller
DXM2,DXM2 Controller
DZN,Design
EC,Electronically Commutated
ECM,Electronically Commutated Motor
ECON,Economizer
