SnapshotId,OptionId,SegmentId,RecordId,SegmentOrdinal,OptionOrdinal,OPText
2026-01-24_v3.84_enriched1,r00001_s001_o001,r00001_s001,r00001,1,1,CHARLES- The designer and programmer of the software
2026-01-24_v3.84_enriched1,r00001_s001_o002,r00001_s001,r00001,1,2,MARICAR- The spouse (wife) of the author of this software
2026-01-24_v3.84_enriched1,r00001_s002_o001,r00001_s002,r00001,2,1,COPE- The FAM name who designed the APP
2026-01-24_v3.84_enriched1,r00002_s004_o001,r00002_s004,r00002,4,1,1- V2
2026-01-24_v3.84_enriched1,r00002_s004_o002,r00002_s004,r00002,4,2,C- V1
2026-01-24_v3.84_enriched1,r00002_s006_o001,r00002_s006,r00002,6,1,0- No HT
2026-01-24_v3.84_enriched1,r00002_s006_o002,r00002_s006,r00002,6,2,A- 5 KW
2026-01-24_v3.84_enriched1,r00002_s006_o003,r00002_s006,r00002,6,3,B- 10 KW
2026-01-24_v3.84_enriched1,r00002_s006_o004,r00002_s006,r00002,6,4,C- 15 KW
2026-01-24_v3.84_enriched1,r00002_s006_o005,r00002_s006,r00002,6,5,D- 20 KW
2026-01-24_v3.84_enriched1,r00002_s006_o006,r00002_s006,r00002,6,6,E- 25 KW
2026-01-24_v3.84_enriched1,r00002_s006_o007,r00002_s006,r00002,6,7,G- HH2O HTG
2026-01-24_v3.84_enriched1,r00002_s006_o008,r00002_s006,r00002,6,8,H- HH2O HTG - No AC
2026-01-24_v3.84_enriched1,r00003_s003_o001,r00003_s003,r00003,3,1,2- V9
2026-01-24_v3.84_enriched1,r00003_s003_o002,r00003_s003,r00003,3,2,3- V4
2026-01-24_v3.84_enriched1,r00003_s003_o003,r00003_s003,r00003,3,3,4- V5
2026-01-24_v3.84_enriched1,r00003_s003_o004,r00003_s003,r00003,3,4,8- V7
2026-01-24_v3.84_enriched1,r00003_s004_o001,r00003_s004,r00003,4,1,A- Left IA
2026-01-24_v3.84_enriched1,r00003_s004_o002,r00003_s004,r00003,4,2,B- Right IA
2026-01-24_v3.84_enriched1,r00003_s004_o003,r00003_s004,r00003,4,3,C- Both Left + Right IA
2026-01-24_v3.84_enriched1,r00003_s004_o004,r00003_s004,r00003,4,4,D- Left IA + INT CORR PROT
2026-01-24_v3.84_enriched1,r00003_s004_o005,r00003_s004,r00003,4,5,E- Right IA + INT CORR PROT
2026-01-24_v3.84_enriched1,r00003_s004_o006,r00003_s004,r00003,4,6,F- Both Left + Right IA + INT CORR PROT
2026-01-24_v3.84_enriched1,r00003_s005_o001,r00003_s005,r00003,5,1,0- AH
2026-01-24_v3.84_enriched1,r00003_s005_o002,r00003_s005,r00003,5,2,B- R2 Non- COMP DX AH
2026-01-24_v3.84_enriched1,r00003_s005_o003,r00003_s005,r00003,5,3,E- R2 VAR CPTY SCL COMP
2026-01-24_v3.84_enriched1,r00003_s006_o001,r00003_s006,r00003,6,1,0- No AC
2026-01-24_v3.84_enriched1,r00003_s006_o002,r00003_s006,r00003,6,2,A- RMT COND + STD EVAP CL
2026-01-24_v3.84_enriched1,r00003_s006_o003,r00003_s006,r00003,6,3,B- RMT COND + 6 Row EVAP CL
2026-01-24_v3.84_enriched1,r00003_s006_o004,r00003_s006,r00003,6,4,J- SHT WC COND + STD EVAP CL
2026-01-24_v3.84_enriched1,r00003_s006_o005,r00003_s006,r00003,6,5,K- SHT WC COND + 6 Row EVAP CL
2026-01-24_v3.84_enriched1,r00003_s006_o006,r00003_s006,r00003,6,6,R- BZP WC COND + STD EVAP CL
2026-01-24_v3.84_enriched1,r00003_s006_o007,r00003_s006,r00003,6,7,T- BZP WC COND + 6 Row EVAP CL
2026-01-24_v3.84_enriched1,r00003_s006_o008,r00003_s006,r00003,6,8,U- CH H2O CL 4 Row
2026-01-24_v3.84_enriched1,r00003_s006_o009,r00003_s006,r00003,6,9,W- CH H2O CL 6 Row
2026-01-24_v3.84_enriched1,r00003_s006_o010,r00003_s006,r00003,6,10,2- Non- COMP + STD EVAP CL
2026-01-24_v3.84_enriched1,r00003_s006_o011,r00003_s006,r00003,6,11,4- Non- COMP + 6 Row EVAP CL
2026-01-24_v3.84_enriched1,r00003_s006_o012,r00003_s006,r00003,6,12,7- H2O Source/ GEO HP SHT HX
2026-01-24_v3.84_enriched1,r00003_s006_o013,r00003_s006,r00003,6,13,8- H2O Source/ GEO HP BZP HX
2026-01-24_v3.84_enriched1,r00003_s007_o001,r00003_s007,r00003,7,1,0- STD
2026-01-24_v3.84_enriched1,r00003_s007_o002,r00003_s007,r00003,7,2,1- POLY EPC AC CL
2026-01-24_v3.84_enriched1,r00003_s007_o003,r00003_s007,r00003,7,3,D- SS AC CL Casing
2026-01-24_v3.84_enriched1,r00003_s008_o001,r00003_s008,r00003,8,1,0- No AC
2026-01-24_v3.84_enriched1,r00003_s008_o002,r00003_s008,r00003,8,2,2- 2 STG
2026-01-24_v3.84_enriched1,r00003_s008_o003,r00003_s008,r00003,8,3,4- 4 STG
2026-01-24_v3.84_enriched1,r00003_s008_o004,r00003_s008,r00003,8,4,9- MODU -Lead VAR COMP
2026-01-24_v3.84_enriched1,r00003_s008_o005,r00003_s008,r00003,8,5,A- MODU -All VAR COMP
2026-01-24_v3.84_enriched1,r00003_s008_o006,r00003_s008,r00003,8,6,H- SGL SERP 8 FPI
2026-01-24_v3.84_enriched1,r00003_s008_o007,r00003_s008,r00003,8,7,J- Half SERP 8 FPI
2026-01-24_v3.84_enriched1,r00003_s008_o008,r00003_s008,r00003,8,8,K- SGL SERP 10 FPI
2026-01-24_v3.84_enriched1,r00003_s008_o009,r00003_s008,r00003,8,9,L- Half SERP 10 FPI
2026-01-24_v3.84_enriched1,r00003_s008_o010,r00003_s008,r00003,8,10,M- SGL SERP 12 FPI
2026-01-24_v3.84_enriched1,r00003_s008_o011,r00003_s008,r00003,8,11,N- Half SERP 12 FPI
2026-01-24_v3.84_enriched1,r00003_s009_o001,r00003_s009,r00003,9,1,0- No HTG
2026-01-24_v3.84_enriched1,r00003_s009_o002,r00003_s009,r00003,9,2,C- STM DIST STD CL
2026-01-24_v3.84_enriched1,r00003_s009_o003,r00003_s009,r00003,9,3,D- STM DIST POLY EPC CL
2026-01-24_v3.84_enriched1,r00003_s009_o004,r00003_s009,r00003,9,4,E- HH2O STD CL
2026-01-24_v3.84_enriched1,r00003_s009_o005,r00003_s009,r00003,9,5,F- HH2O POLY EPC CL
2026-01-24_v3.84_enriched1,r00003_s010_o001,r00003_s010,r00003,10,1,0- No HTG
2026-01-24_v3.84_enriched1,r00003_s010_o002,r00003_s010,r00003,10,2,H- 1 Row CL
2026-01-24_v3.84_enriched1,r00003_s010_o003,r00003_s010,r00003,10,3,J- 2 Row CL
2026-01-24_v3.84_enriched1,r00003_s011_o001,r00003_s011,r00003,11,1,0- No HTG
2026-01-24_v3.84_enriched1,r00003_s011_o002,r00003_s011,r00003,11,2,H- SGL SERP 8 FPI
2026-01-24_v3.84_enriched1,r00003_s011_o003,r00003_s011,r00003,11,3,J- Half SERP 8 FPI
2026-01-24_v3.84_enriched1,r00003_s011_o004,r00003_s011,r00003,11,4,K- SGL SERP 10 FPI
2026-01-24_v3.84_enriched1,r00003_s011_o005,r00003_s011,r00003,11,5,L- Half SERP 10 FPI
2026-01-24_v3.84_enriched1,r00003_s011_o006,r00003_s011,r00003,11,6,M- SGL SERP 12 FPI
2026-01-24_v3.84_enriched1,r00003_s011_o007,r00003_s011,r00003,11,7,N- Half SERP 12 FPI
2026-01-24_v3.84_enriched1,r00004_s004_o001,r00004_s004,r00004,4,1,A1- 800-1200
2026-01-24_v3.84_enriched1,r00004_s004_o002,r00004_s004,r00004,4,2,B1- 800-2000
2026-01-24_v3.84_enriched1,r00004_s004_o003,r00004_s004,r00004,4,3,C1- 1800-3000
2026-01-24_v3.84_enriched1,r00004_s004_o004,r00004_s004,r00004,4,4,C2- 1800-4000
2026-01-24_v3.84_enriched1,r00004_s004_o005,r00004_s004,r00004,4,5,C3- 2000-4800
2026-01-24_v3.84_enriched1,r00004_s004_o006,r00004_s004,r00004,4,6,C4- 2500-6000
2026-01-24_v3.84_enriched1,r00004_s004_o007,r00004_s004,r00004,4,7,D1- 3000-6000
2026-01-24_v3.84_enriched1,r00004_s004_o008,r00004_s004,r00004,4,8,D2- 4300-10000
2026-01-24_v3.84_enriched1,r00004_s006_o001,r00004_s006,r00004,6,1,1- V8
2026-01-24_v3.84_enriched1,r00004_s006_o002,r00004_s006,r00004,6,2,2- V9
