SnapshotId,RecordId,RecordOrdinal,BrandRaw,BrandNormalized,Category,CategoryEquipmentTypes,Length,SegCountDeclared,SegmentCountObserved,OptionCountObserved,ExtraFieldsJson
2026-01-24_v3.84_enriched1,r00001,1,Owner Software,OWNER SOFTWARE,Author,[],11,2,2,3,{}
2026-01-24_v3.84_enriched1,r00002,2,AAon,AAON,Air Handler,"[""Air Handling Unit""]",9,6,6,10,{}
2026-01-24_v3.84_enriched1,r00003,3,AAon,AAON,Air Handler,"[""Air Handling Unit""]",14,11,11,55,{}
2026-01-24_v3.84_enriched1,r00004,4,AAon,AAON,Air Handler,"[""Air Handling Unit""]",14,12,12,39,{}
2026-01-24_v3.84_enriched1,r00005,5,AAon,AAON,Air Handler,"[""Air Handling Unit""]",14,13,13,71,{}
2026-01-24_v3.84_enriched1,r00006,6,AAon,AAON,Air Handler,"[""Air Handling Unit""]",30,21,21,40,{}
2026-01-24_v3.84_enriched1,r00007,7,AAon,AAON,Chiller,"[""Chiller""]",19,16,16,39,{}
2026-01-24_v3.84_enriched1,r00008,8,AAon,AAON,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",9,6,6,11,{}
2026-01-24_v3.84_enriched1,r00009,9,AAon,AAON,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",14,11,11,18,{}
2026-01-24_v3.84_enriched1,r00010,10,AAon,AAON,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",14,11,11,18,{}
2026-01-24_v3.84_enriched1,r00011,11,AAon,AAON,Condenser,"[""Cooling Condensing Unit"", ""Heat Pump Condensing Unit""]",19,16,16,39,{}
2026-01-24_v3.84_enriched1,r00012,12,AAon,AAON,Multi,[],19,16,16,163,{}
2026-01-24_v3.84_enriched1,r00013,13,AAon,AAON,Package Rooftop Unit,"[""Packaged Unit""]",24,21,21,122,{}
2026-01-24_v3.84_enriched1,r00014,14,AAon,AAON,Water Source HP,"[""WSHP""]",22,19,19,31,{}
2026-01-24_v3.84_enriched1,r00015,15,Addison,ADDISON,Package Rooftop Unit,"[""Packaged Unit""]",11,7,7,16,{}
2026-01-24_v3.84_enriched1,r00016,16,ADP,ADP,Air Handler,"[""Air Handling Unit""]",8,6,6,13,{}
2026-01-24_v3.84_enriched1,r00017,17,ADP,ADP,Air Handler,"[""Air Handling Unit""]",13,9,9,27,{}
2026-01-24_v3.84_enriched1,r00018,18,ADP,ADP,Air Handler,"[""Air Handling Unit""]",13,10,10,15,{}
2026-01-24_v3.84_enriched1,r00019,19,ADP,ADP,Air Handler,"[""Air Handling Unit""]",13,10,10,23,{}
2026-01-24_v3.84_enriched1,r00020,20,ADP,ADP,Air Handler,"[""Air Handling Unit""]",13,10,10,38,{}
2026-01-24_v3.84_enriched1,r00021,21,ADP,ADP,Air Handler,"[""Air Handling Unit""]",13,10,10,13,{}
