SnapshotId,SegmentId,RecordId,SegmentOrdinal,SL,DEF,DEFNormalized,IsCompressedType,StartPos,EndPos,OptionCount,ExtraFieldsJson
2026-01-24_v3.84_enriched1,r00001_s001,r00001,1,7,First Name,,false,1,7,2,{}
2026-01-24_v3.84_enriched1,r00001_s002,r00001,2,4,Last Name,,false,8,11,1,{}
2026-01-24_v3.84_enriched1,r00002_s001,r00002,1,2,Revision,,true,1,2,0,{}
2026-01-24_v3.84_enriched1,r00002_s002,r00002,2,1,Revision,,true,3,3,0,{}
2026-01-24_v3.84_enriched1,r00002_s003,r00002,3,3,Cooling,,true,4,6,0,{}
2026-01-24_v3.84_enriched1,r00002_s004,r00002,4,1,PWR,,false,7,7,2,{}
2026-01-24_v3.84_enriched1,r00002_s005,r00002,5,1,Configure,,true,8,8,0,{}
2026-01-24_v3.84_enriched1,r00002_s006,r00002,6,1,Heating,,false,9,9,8,{}
2026-01-24_v3.84_enriched1,r00003_s001,r00003,1,2,Revision,,true,1,2,0,{}
2026-01-24_v3.84_enriched1,r00003_s002,r00003,2,3,Cooling Ton,,true,3,5,0,{}
2026-01-24_v3.84_enriched1,r00003_s003,r00003,3,1,PWR,,false,6,6,4,{}
2026-01-24_v3.84_enriched1,r00003_s004,r00003,4,1,IA CONF / INT PROT,,false,7,7,6,{}
2026-01-24_v3.84_enriched1,r00003_s005,r00003,5,1,Style,,false,8,8,3,{}
2026-01-24_v3.84_enriched1,r00003_s006,r00003,6,1,Unit CONF,,false,9,9,13,{}
2026-01-24_v3.84_enriched1,r00003_s007,r00003,7,1,CL CTD,,false,10,10,3,{}
2026-01-24_v3.84_enriched1,r00003_s008,r00003,8,1,AC / HP Staging,,false,11,11,11,{}
2026-01-24_v3.84_enriched1,r00003_s009,r00003,9,1,HTG Type,,false,12,12,5,{}
2026-01-24_v3.84_enriched1,r00003_s010,r00003,10,1,HTG DESN,,false,13,13,3,{}
2026-01-24_v3.84_enriched1,r00003_s011,r00003,11,1,HTG Staging,,false,14,14,7,{}
2026-01-24_v3.84_enriched1,r00004_s001,r00004,1,1,Configure,,true,1,1,0,{}
2026-01-24_v3.84_enriched1,r00004_s002,r00004,2,1,Revision,,true,2,2,0,{}
2026-01-24_v3.84_enriched1,r00004_s003,r00004,3,1,Spacer,,true,3,3,0,{}
2026-01-24_v3.84_enriched1,r00004_s004,r00004,4,2,CAB CFM,,false,4,5,8,{}
2026-01-24_v3.84_enriched1,r00004_s005,r00004,5,1,Spacer,,true,6,6,0,{}
2026-01-24_v3.84_enriched1,r00004_s006,r00004,6,1,PWR,,false,7,7,9,{}
2026-01-24_v3.84_enriched1,r00004_s007,r00004,7,1,Spacer,,true,8,8,0,{}
2026-01-24_v3.84_enriched1,r00004_s008,r00004,8,2,COLG Type,,false,9,10,9,{}
2026-01-24_v3.84_enriched1,r00004_s009,r00004,9,1,Spacer,,true,11,11,0,{}
2026-01-24_v3.84_enriched1,r00004_s010,r00004,10,1,HT Type,,false,12,12,4,{}
2026-01-24_v3.84_enriched1,r00004_s011,r00004,11,1,KW,,false,13,13,9,{}
2026-01-24_v3.84_enriched1,r00004_s012,r00004,12,1,Stage,,true,14,14,0,{}
2026-01-24_v3.84_enriched1,r00005_s001,r00005,1,2,SER + Generation,,false,1,2,2,{}
2026-01-24_v3.84_enriched1,r00005_s002,r00005,2,1,Unit Size CFM,,false,3,3,5,{}
2026-01-24_v3.84_enriched1,r00005_s003,r00005,3,1,Configure,,true,4,4,0,{}
2026-01-24_v3.84_enriched1,r00005_s004,r00005,4,1,Revision,,true,5,5,0,{}
2026-01-24_v3.84_enriched1,r00005_s005,r00005,5,1,PWR,,false,6,6,9,{}
2026-01-24_v3.84_enriched1,r00005_s006,r00005,6,1,CORR PROT,,false,7,7,2,{}
2026-01-24_v3.84_enriched1,r00005_s007,r00005,7,1,COLG Type,,false,8,8,3,{}
2026-01-24_v3.84_enriched1,r00005_s008,r00005,8,1,Cooling Rows,,true,9,9,0,{}
2026-01-24_v3.84_enriched1,r00005_s009,r00005,9,1,COLG STG,,false,10,10,7,{}
2026-01-24_v3.84_enriched1,r00005_s010,r00005,10,1,COLG FPI,,false,11,11,5,{}
2026-01-24_v3.84_enriched1,r00005_s011,r00005,11,1,HTG Type,,false,12,12,12,{}
2026-01-24_v3.84_enriched1,r00005_s012,r00005,12,1,HTG DESN,,false,13,13,16,{}
2026-01-24_v3.84_enriched1,r00005_s013,r00005,13,1,HTG STG,,false,14,14,10,{}
2026-01-24_v3.84_enriched1,r00006_s001,r00006,1,2,SER + Generation,,false,1,2,1,{}
2026-01-24_v3.84_enriched1,r00006_s002,r00006,2,1,Spacer,,true,3,3,0,{}
2026-01-24_v3.84_enriched1,r00006_s003,r00006,3,1,Type,,false,4,4,2,{}
2026-01-24_v3.84_enriched1,r00006_s004,r00006,4,1,Spacer,,true,5,5,0,{}
2026-01-24_v3.84_enriched1,r00006_s005,r00006,5,3,Ft2Coil,,true,6,8,0,{}
2026-01-24_v3.84_enriched1,r00006_s006,r00006,6,1,Spacer,,true,9,9,0,{}
2026-01-24_v3.84_enriched1,r00006_s007,r00006,7,7,Cross SECT,,false,10,16,9,{}
2026-01-24_v3.84_enriched1,r00006_s008,r00006,8,1,Spacer,,true,17,17,0,{}
2026-01-24_v3.84_enriched1,r00006_s009,r00006,9,1,PWR,,false,18,18,7,{}
2026-01-24_v3.84_enriched1,r00006_s010,r00006,10,1,Spacer,,true,19,19,0,{}
