BrandNormalized,EquipmentType,Refrigerant_TruthN,Refrigerant_DecodedN,Refrigerant_MatchN,Refrigerant_MismatchN,Refrigerant_UncomparableN,Refrigerant_CoveragePct,Refrigerant_AccuracyPct,Voltage_TruthN,Voltage_DecodedN,Voltage_MatchN,Voltage_MismatchN,Voltage_UncomparableN,Voltage_CoveragePct,Voltage_AccuracyPct
AAON,Air Handling Unit,13,0,0,0,0,0.0,,26,0,0,0,0,0.0,
AAON,MAU,95,0,0,0,0,0.0,,86,0,0,0,0,0.0,
AAON,Packaged Unit,29,0,0,0,0,0.0,,29,0,0,0,0,0.0,
CARRIER/ICP,Air Handling Unit,38,4,4,0,0,10.5,100.0,8,4,0,4,0,50.0,0.0
CARRIER/ICP,Cooling Condensing Unit,59,8,7,0,1,13.6,87.5,33,31,3,28,0,93.9,9.7
CARRIER/ICP,Ductless Split System,17,3,0,3,0,17.6,0.0,21,8,0,8,0,38.1,0.0
CARRIER/ICP,Furnace,0,0,0,0,0,,,36,35,34,1,0,97.2,97.1
CARRIER/ICP,Packaged Unit,83,1,0,0,1,1.2,0.0,82,63,14,49,0,76.8,22.2
CLIMATEMASTER,WSHP,45,0,0,0,0,0.0,,30,0,0,0,0,0.0,
EMI,Ductless Split System,39,0,0,0,0,0.0,,18,0,0,0,0,0.0,
FRIEDRICH,WSHP,69,0,0,0,0,0.0,,39,0,0,0,0,0.0,
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,28,11,2,0,9,39.3,18.2,29,15,5,10,0,51.7,33.3
GOODMAN/AMANA/DAIKIN,Ductless Split System,22,6,6,0,0,27.3,100.0,19,13,13,0,0,68.4,100.0
GREENHECK,Exhaust Fan,0,0,0,0,0,,,57,0,0,0,0,0.0,
LENNOX,Packaged Unit,116,115,113,2,0,99.1,98.3,117,112,7,105,0,95.7,6.2
MAGIC AIRE,Air Handling Unit,27,0,0,0,0,0.0,,27,0,0,0,0,0.0,
MCQUAY,WSHP,37,0,0,0,0,0.0,,37,0,0,0,0,0.0,
MITSUBISHI,VRF - Condensing Unit,210,0,0,0,0,0.0,,210,0,0,0,0,0.0,
RHEEM/RUUD,Cooling Condensing Unit,20,0,0,0,0,0.0,,18,0,0,0,0,0.0,
SNYDER GENERAL,WSHP,30,0,0,0,0,0.0,,30,0,0,0,0,0.0,
TRANE,Air Handling Unit,385,133,9,124,0,34.5,6.8,203,61,34,27,0,30.0,55.7
TRANE,Chiller,18,0,0,0,3,0.0,,23,0,0,0,0,0.0,
TRANE,Cooling Condensing Unit,484,26,26,0,0,5.4,100.0,391,369,292,77,0,94.4,79.1
TRANE,Ductless Split System,29,3,0,3,0,10.3,0.0,29,0,0,0,0,0.0,
TRANE,Furnace,27,0,0,0,0,0.0,,41,41,32,9,0,100.0,78.0
TRANE,Heat Pump Condensing Unit,160,127,127,0,0,79.4,100.0,57,56,10,46,0,98.2,17.9
TRANE,Packaged Unit,182,41,11,30,0,22.5,26.8,144,86,57,29,0,59.7,66.3
UNKNOWN,Packaged Unit,16,0,0,0,0,0.0,,16,0,0,0,0,0.0,
YORK/JCI,Cooling Condensing Unit,18,15,9,4,2,83.3,60.0,19,0,0,0,0,0.0,
YORK/JCI,Packaged Unit,27,6,0,6,0,22.2,0.0,19,0,0,0,0,0.0,
