BrandNormalized,Category,DEF,DEFNormalized,note
LENNOX,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
GOODMAN/AMANA/DAIKIN,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
YORK/JCI,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
GOODMAN/AMANA/DAIKIN,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
LENNOX,Mini-Split,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
MARVAIR,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
CARRIER/ICP,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
CARRIER/ICP,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
HEAT CONTROLLER,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
MAGIC PAK,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
CARRIER/ICP,Coil,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
PALOMA,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
PALOMA,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
LENNOX,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
ARMSTRONG,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
COPELAND,Compressor,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
LENNOX,Coil,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
MAGIC PAK,PTAC,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
TRANE,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
ALLIED,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
AMERICAN STANDARD-TRANE,Coil,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
ARMSTRONG,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
COMFORT STAR,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
DUCANE,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
GOODMAN/AMANA/DAIKIN,Coil,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
GRANDAIRE,Air Handler,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
NORTEK,Condenser,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
PALOMA,Package,Refrigerant,Refrigerant,DEFNormalized collides with an existing AttributeDecodeRule.attribute_name (may be intended; review).
