BrandNormalized,Category,DEF,DEFNormalized,IsCompressedType,SegmentsN,OptionsN,UniqueOptionsN,ExampleOptionsJson,ExampleSLJson,PositionCoveragePct,AlreadyCanonicalAttribute
CARRIER/ICP,Condenser,Revision,,true,124,0,0,[],"[""1"", ""2"", ""3""]",100.0,false
CARRIER/ICP,Package,Revision,,true,60,0,0,[],"[""1"", ""2""]",100.0,false
LENNOX,Condenser,Revision,,true,49,0,0,[],"[""1"", ""2""]",100.0,false
PEERLESS,Boiler,Spacer,,true,49,0,0,[],"[""1""]",100.0,false
LENNOX,Package,Revision,,true,48,0,0,[],"[""1"", ""2""]",100.0,false
YORK/JCI,Condenser,Revision,,true,46,0,0,[],"[""1"", ""2""]",100.0,false
CARRIER/ICP,Condenser,Cooling,,true,42,0,0,[],"[""3"", ""2""]",100.0,false
CARRIER/ICP,Air Handler,Revision,,true,37,0,0,[],"[""1"", ""3"", ""6"", ""2""]",100.0,false
CARRIER/ICP,Condenser,Carrier Voltage,Voltage,true,37,0,0,[],"[""1""]",100.0,false
LENNOX,Air Handler,Revision,,true,37,0,0,[],"[""1"", ""2""]",100.0,false
LENNOX,Package,Spacer,,true,37,0,0,[],"[""1""]",100.0,false
CARRIER/ICP,Package,Cooling,,true,36,0,0,[],"[""3"", ""2""]",100.0,false
GOODMAN/AMANA/DAIKIN,Condenser,Revision,,true,32,0,0,[],"[""1""]",100.0,false
TRANE,Package,Revision,,true,32,0,0,[],"[""1"", ""2""]",100.0,false
LENNOX,Condenser,Cooling,,true,31,0,0,[],"[""3"", ""2""]",100.0,false
LENNOX,Condenser,Spacer,,true,31,0,0,[],"[""1""]",100.0,false
CARRIER/ICP,Package,Carrier Voltage,Voltage,true,30,0,0,[],"[""1""]",100.0,false
MAGIC PAK,Package,Spacer,,true,29,0,0,[],"[""1""]",100.0,false
CARRIER/ICP,Furnace,Revision,,true,28,0,0,[],"[""1"", ""3"", ""2""]",100.0,false
LENNOX,Condenser,Lennox Voltage,Voltage,true,28,0,0,[],"[""3"", ""1""]",100.0,false
LENNOX,Package,Cooling,,true,28,0,0,[],"[""2"", ""3""]",100.0,false
YORK/JCI,Package,Revision,,true,28,0,0,[],"[""1""]",100.0,false
