BrandNormalized,EquipmentType,AttributeName,Code,SupportN,MostCommonTons,MostCommonTonsN,PurityPct,UniqueTruthTonsN,TruthTonsValuesJson
AAON,Air Handling Unit,HVACExport_CoolingCode,153,13,15,13,100.0,1,"{""15"": 13}"
AAON,ERV,HVACExport_CoolingTonCode,015,1,15,1,100.0,1,"{""15"": 1}"
AAON,ERV,HVACExport_CoolingTonCode,025,3,25,3,100.0,1,"{""25"": 3}"
AAON,ERV,HVACExport_CoolingTonCode,030,6,30,6,100.0,1,"{""30"": 6}"
AAON,MAU,HVACExport_CoolingTonCode,010,9,10,9,100.0,1,"{""10"": 9}"
AAON,MAU,HVACExport_CoolingTonCode,011,3,11,3,100.0,1,"{""11"": 3}"
AAON,MAU,HVACExport_CoolingTonCode,015,6,15,6,100.0,1,"{""15"": 6}"
AAON,MAU,HVACExport_CoolingTonCode,016,15,16,15,100.0,1,"{""16"": 15}"
AAON,MAU,HVACExport_CoolingTonCode,018,6,18,6,100.0,1,"{""18"": 6}"
AAON,MAU,HVACExport_CoolingTonCode,020,9,20,9,100.0,1,"{""20"": 9}"
AAON,MAU,HVACExport_CoolingTonCode,025,12,25,12,100.0,1,"{""25"": 12}"
AAON,MAU,HVACExport_CoolingTonCode,030,3,30,3,100.0,1,"{""30"": 3}"
AAON,MAU,HVACExport_CoolingTonCode,031,12,31,12,100.0,1,"{""31"": 12}"
AAON,MAU,HVACExport_CoolingTonCode,040,6,40,6,100.0,1,"{""40"": 6}"
AAON,MAU,HVACExport_CoolingTonCode,060,3,60,3,100.0,1,"{""60"": 3}"
AAON,MAU,HVACExport_CoolingTonCode,062,3,6,3,100.0,1,"{""6"": 3}"
AAON,MAU,HVACExport_CoolingTonCode,063,3,6,3,100.0,1,"{""6"": 3}"
AAON,MAU,HVACExport_CoolingTonCode,072,3,7,3,100.0,1,"{""7"": 3}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,003,2,15,1,50.0,2,"{""15"": 1, ""3"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,004,2,16,1,50.0,2,"{""14"": 1, ""16"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,006,1,6,1,100.0,1,"{""6"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,010,1,10,1,100.0,1,"{""10"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,011,3,11,3,100.0,1,"{""11"": 3}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,013,6,14,3,50.0,3,"{""13"": 2, ""14"": 3, ""3"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,015,4,15,3,75.0,2,"{""15"": 3, ""4"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,016,3,16,2,66.7,2,"{""16"": 2, ""4"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,020,3,20,2,66.7,2,"{""14"": 1, ""20"": 2}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,025,1,25,1,100.0,1,"{""25"": 1}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,031,9,31,9,100.0,1,"{""31"": 9}"
AAON,Packaged Unit,HVACExport_CoolingTonCode,040,4,40,4,100.0,1,"{""40"": 4}"
AMERICAN STANDARD,Cooling Condensing Unit,HVACExport_CoolingCode,06,1,5,1,100.0,1,"{""5"": 1}"
AMERICAN STANDARD,Cooling Condensing Unit,HVACExport_CoolingCode,36,4,3,4,100.0,1,"{""3"": 4}"
AMERICAN STANDARD,Cooling Condensing Unit,HVACExport_CoolingCode,48,1,4,1,100.0,1,"{""4"": 1}"
AMERICAN STANDARD,Cooling Condensing Unit,HVACExport_CoolingCode,60,3,5,3,100.0,1,"{""5"": 3}"
