Building,UnitID,ModelRaw,ModelNormalized,ModelForRegex,Len,CodePos4_6,MappedTons,TruthTons,Result
JCHS,MUA10,RN-016-3-0-EA09-349,RN-016-3-0-EA09-349,RN-016-3-0-EA09-349,19,016,16.0,16,match
JCHS,MUA2,RN-040-3-0-EB09-3D9,RN-040-3-0-EB09-3D9,RN-040-3-0-EB09-3D9,19,040,40.0,40,match
JCHS,MUA3,RN-010-3-0-EA09-3K9,RN-010-3-0-EA09-3K9,RN-010-3-0-EA09-3K9,19,010,10.0,10,match
JCHS,MUA4,RN-011-3-0-EA09-3F9,RN-011-3-0-EA09-3F9,RN-011-3-0-EA09-3F9,19,011,11.0,11,match
JCHS,MUA5,RN-025-3-0-EA09-349,RN-025-3-0-EA09-349,RN-025-3-0-EA09-349,19,025,25.0,25,match
JCHS,MUA6,RN-025-3-0-EA09-349,RN-025-3-0-EA09-349,RN-025-3-0-EA09-349,19,025,25.0,25,match
JCHS,MUA7,RN-020-3-0-EA09-349,RN-020-3-0-EA09-349,RN-020-3-0-EA09-349,19,020,20.0,20,match
JCHS,MUA16,RN-016-3-0-EB09-349,RN-016-3-0-EB09-349,RN-016-3-0-EB09-349,19,016,16.0,16,match
JCHS,MUA15,RN-010-3-0-EA09-3K9,RN-010-3-0-EA09-3K9,RN-010-3-0-EA09-3K9,19,010,10.0,10,match
JCHS,MUA13,RN-020-3-0-EA09-349,RN-020-3-0-EA09-349,RN-020-3-0-EA09-349,19,020,20.0,20,match
JCHS,MUA12,RN-016-3-0-EA09-349,RN-016-3-0-EA09-349,RN-016-3-0-EA09-349,19,016,16.0,16,match
JCHS,MUA18,RN-030-3-0-EB09-389,RN-030-3-0-EB09-389,RN-030-3-0-EB09-389,19,030,30.0,30,match
JCHS,MUA19,RN-015-3-0-EB09-3F9,RN-015-3-0-EB09-3F9,RN-015-3-0-EB09-3F9,19,015,15.0,15,match
JCHS,MUA20,RN-016-3-0-EB09-349,RN-016-3-0-EB09-349,RN-016-3-0-EB09-349,19,016,16.0,16,match
JCHS,MUA22,RN-010-3-0-EB09-3L9,RN-010-3-0-EB09-3L9,RN-010-3-0-EB09-3L9,19,010,10.0,10,match
JCHS,MUA24,RN-040-3-0-EB09-3C9,RN-040-3-0-EB09-3C9,RN-040-3-0-EB09-3C9,19,040,40.0,40,match
JCHS,MUA17,RN-016-3-0-EA09-349,RN-016-3-0-EA09-349,RN-016-3-0-EA09-349,19,016,16.0,16,match
Rush Strong Grammar School,FAU-2,RM-025-3-0-AB02-14A,RM-025-3-0-AB02-14A,RM-025-3-0-AB02-14A,19,025,25.0,25,match
Rush Strong Grammar School,FAU-1,RM-020-3-0-AB02-14A,RM-020-3-0-AB02-14A,RM-020-3-0-AB02-14A,19,020,20.0,20,match
Rush Strong Grammar School,FAU-4,RM-015-3-0-AB02-13A,RM-015-3-0-AB02-13A,RM-015-3-0-AB02-13A,19,015,15.0,15,match
Rush Strong Grammar School,FAU-3,RM-025-3-0-AB02-14A,RM-025-3-0-AB02-14A,RM-025-3-0-AB02-14A,19,025,25.0,25,match
Rush Strong Grammar School,FAU-2,RM-025-3-0-AB02-14A,RM-025-3-0-AB02-14A,RM-025-3-0-AB02-14A,19,025,25.0,25,match
Rush Strong Grammar School,FAU-1,RM-020-3-0-AB02-14A,RM-020-3-0-AB02-14A,RM-020-3-0-AB02-14A,19,020,20.0,20,match
Rush Strong Grammar School,FAU-4,RM-015-3-0-AB02-13A,RM-015-3-0-AB02-13A,RM-015-3-0-AB02-13A,19,015,15.0,15,match
Rush Strong Grammar School,FAU-3,RM-025-3-0-AB02-14A,RM-025-3-0-AB02-14A,RM-025-3-0-AB02-14A,19,025,25.0,25,match
JCHS,MUA10,RN-016-3-0-EA09-349,RN-016-3-0-EA09-349,RN-016-3-0-EA09-349,19,016,16.0,16,match
JCHS,MUA2,RN-040-3-0-EB09-3D9,RN-040-3-0-EB09-3D9,RN-040-3-0-EB09-3D9,19,040,40.0,40,match
JCHS,MUA3,RN-010-3-0-EA09-3K9,RN-010-3-0-EA09-3K9,RN-010-3-0-EA09-3K9,19,010,10.0,10,match
JCHS,MUA4,RN-011-3-0-EA09-3F9,RN-011-3-0-EA09-3F9,RN-011-3-0-EA09-3F9,19,011,11.0,11,match
JCHS,MUA5,RN-025-3-0-EA09-349,RN-025-3-0-EA09-349,RN-025-3-0-EA09-349,19,025,25.0,25,match
JCHS,MUA6,RN-025-3-0-EA09-349,RN-025-3-0-EA09-349,RN-025-3-0-EA09-349,19,025,25.0,25,match
JCHS,MUA7,RN-020-3-0-EA09-349,RN-020-3-0-EA09-349,RN-020-3-0-EA09-349,19,020,20.0,20,match
JCHS,MUA16,RN-016-3-0-EB09-349,RN-016-3-0-EB09-349,RN-016-3-0-EB09-349,19,016,16.0,16,match
JCHS,MUA15,RN-010-3-0-EA09-3K9,RN-010-3-0-EA09-3K9,RN-010-3-0-EA09-3K9,19,010,10.0,10,match
JCHS,MUA13,RN-020-3-0-EA09-349,RN-020-3-0-EA09-349,RN-020-3-0-EA09-349,19,020,20.0,20,match
JCHS,MUA12,RN-016-3-0-EA09-349,RN-016-3-0-EA09-349,RN-016-3-0-EA09-349,19,016,16.0,16,match
JCHS,MUA18,RN-030-3-0-EB09-389,RN-030-3-0-EB09-389,RN-030-3-0-EB09-389,19,030,30.0,30,match
JCHS,MUA19,RN-015-3-0-EB09-3F9,RN-015-3-0-EB09-3F9,RN-015-3-0-EB09-3F9,19,015,15.0,15,match
JCHS,MUA20,RN-016-3-0-EB09-349,RN-016-3-0-EB09-349,RN-016-3-0-EB09-349,19,016,16.0,16,match
JCHS,MUA22,RN-010-3-0-EB09-3L9,RN-010-3-0-EB09-3L9,RN-010-3-0-EB09-3L9,19,010,10.0,10,match
JCHS,MUA24,RN-040-3-0-EB09-3C9,RN-040-3-0-EB09-3C9,RN-040-3-0-EB09-3C9,19,040,40.0,40,match
JCHS,MUA17,RN-016-3-0-EA09-349,RN-016-3-0-EA09-349,RN-016-3-0-EA09-349,19,016,16.0,16,match
Rush Strong Grammar School,FAU-2,RM-025-3-0-AB02-14A,RM-025-3-0-AB02-14A,RM-025-3-0-AB02-14A,19,025,25.0,25,match
Rush Strong Grammar School,FAU-1,RM-020-3-0-AB02-14A,RM-020-3-0-AB02-14A,RM-020-3-0-AB02-14A,19,020,20.0,20,match
Rush Strong Grammar School,FAU-4,RM-015-3-0-AB02-13A,RM-015-3-0-AB02-13A,RM-015-3-0-AB02-13A,19,015,15.0,15,match
Rush Strong Grammar School,FAU-3,RM-025-3-0-AB02-14A,RM-025-3-0-AB02-14A,RM-025-3-0-AB02-14A,19,025,25.0,25,match
JCHS,MUA10,RN-016-3-0-EA09-349,RN-016-3-0-EA09-349,RN-016-3-0-EA09-349,19,016,16.0,16,match
JCHS,MUA2,RN-040-3-0-EB09-3D9,RN-040-3-0-EB09-3D9,RN-040-3-0-EB09-3D9,19,040,40.0,40,match
JCHS,MUA3,RN-010-3-0-EA09-3K9,RN-010-3-0-EA09-3K9,RN-010-3-0-EA09-3K9,19,010,10.0,10,match
JCHS,MUA4,RN-011-3-0-EA09-3F9,RN-011-3-0-EA09-3F9,RN-011-3-0-EA09-3F9,19,011,11.0,11,match
JCHS,MUA5,RN-025-3-0-EA09-349,RN-025-3-0-EA09-349,RN-025-3-0-EA09-349,19,025,25.0,25,match
JCHS,MUA6,RN-025-3-0-EA09-349,RN-025-3-0-EA09-349,RN-025-3-0-EA09-349,19,025,25.0,25,match
JCHS,MUA7,RN-020-3-0-EA09-349,RN-020-3-0-EA09-349,RN-020-3-0-EA09-349,19,020,20.0,20,match
JCHS,MUA16,RN-016-3-0-EB09-349,RN-016-3-0-EB09-349,RN-016-3-0-EB09-349,19,016,16.0,16,match
JCHS,MUA15,RN-010-3-0-EA09-3K9,RN-010-3-0-EA09-3K9,RN-010-3-0-EA09-3K9,19,010,10.0,10,match
