BrandNormalized,EquipmentType,Capacity_TruthN,Capacity_DecodedN,Capacity_MatchN,Capacity_MismatchN,Capacity_UncomparableN,Capacity_CoveragePct,Capacity_AccuracyPct,Refrigerant_TruthN,Refrigerant_DecodedN,Refrigerant_MatchN,Refrigerant_MismatchN,Refrigerant_UncomparableN,Refrigerant_CoveragePct,Refrigerant_AccuracyPct,Voltage_TruthN,Voltage_DecodedN,Voltage_MatchN,Voltage_MismatchN,Voltage_UncomparableN,Voltage_CoveragePct,Voltage_AccuracyPct
AAON,Air Handling Unit,26,0,0,0,0,0.0,,13,0,0,0,0,0.0,,26,0,0,0,0,0.0,
AAON,MAU,116,0,0,0,0,0.0,,95,0,0,0,0,0.0,,86,0,0,0,0,0.0,
AAON,Packaged Unit,40,0,0,0,0,0.0,,29,0,0,0,0,0.0,,29,0,0,0,0,0.0,
AMERICAN STANDARD,Cooling Condensing Unit,11,0,0,0,0,0.0,,11,9,9,0,0,81.8,100.0,11,9,0,9,0,81.8,0.0
CARRIER/ICP,Air Handling Unit,39,3,2,1,2,7.7,66.7,38,4,4,0,0,10.5,100.0,8,4,0,4,0,50.0,0.0
CARRIER/ICP,Chiller,16,0,0,0,0,0.0,,7,0,0,0,0,0.0,,8,4,0,4,0,50.0,0.0
CARRIER/ICP,Cooling Condensing Unit,75,13,13,0,0,17.3,100.0,59,8,7,0,1,13.6,87.5,33,31,3,28,0,93.9,9.7
CARRIER/ICP,Ductless Split System,18,0,0,0,0,0.0,,17,3,0,3,0,17.6,0.0,21,8,0,8,0,38.1,0.0
CARRIER/ICP,Furnace,0,0,0,0,0,,,0,0,0,0,0,,,36,35,34,1,0,97.2,97.1
CARRIER/ICP,Heat Pump Condensing Unit,7,0,0,0,0,0.0,,13,10,10,0,0,76.9,100.0,11,9,0,9,0,81.8,0.0
CARRIER/ICP,Packaged Unit,127,8,8,0,0,6.3,100.0,83,1,0,0,1,1.2,0.0,82,64,15,49,0,78.0,23.4
CLIMATE MASTER,WSHP,18,0,0,0,0,0.0,,18,0,0,0,0,0.0,,6,0,0,0,0,0.0,
CLIMATEMASTER,WSHP,45,0,0,0,0,0.0,,45,0,0,0,0,0.0,,30,0,0,0,0,0.0,
EMI,Ductless Split System,39,0,0,0,0,0.0,,39,0,0,0,0,0.0,,18,0,0,0,0,0.0,
FRIEDRICH,WSHP,69,0,0,0,0,0.0,,69,0,0,0,0,0.0,,39,0,0,0,0,0.0,
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,34,0,0,0,0,0.0,,28,11,2,0,9,39.3,18.2,29,15,5,10,0,51.7,33.3
GOODMAN/AMANA/DAIKIN,Ductless Split System,19,0,0,0,0,0.0,,22,6,6,0,0,27.3,100.0,19,13,13,0,0,68.4,100.0
GREENHECK,Exhaust Fan,0,0,0,0,0,,,0,0,0,0,0,,,57,0,0,0,0,0.0,
HEAT CONTROLLER INC. - INVERTER,Ductless Split System,12,0,0,0,0,0.0,,9,0,0,0,0,0.0,,12,0,0,0,0,0.0,
LENNOX,Cooling Condensing Unit,18,0,0,0,0,0.0,,11,9,2,7,0,81.8,22.2,9,3,1,2,0,33.3,33.3
LENNOX,Packaged Unit,191,0,0,0,0,0.0,,116,115,113,2,0,99.1,98.3,117,114,7,107,0,97.4,6.1
MAGIC AIRE,Air Handling Unit,27,0,0,0,0,0.0,,27,0,0,0,0,0.0,,27,0,0,0,0,0.0,
MAMMOTH,Packaged Unit,12,0,0,0,0,0.0,,7,0,0,0,0,0.0,,8,0,0,0,0,0.0,
MCQUAY,WSHP,37,0,0,0,0,0.0,,37,0,0,0,0,0.0,,37,0,0,0,0,0.0,
MITSUBISHI,Ductless Split System,9,0,0,0,0,0.0,,11,0,0,0,0,0.0,,7,0,0,0,0,0.0,
MITSUBISHI,VRF - Condensing Unit,210,0,0,0,0,0.0,,210,0,0,0,0,0.0,,210,0,0,0,0,0.0,
RHEEM/RUUD,Cooling Condensing Unit,21,0,0,0,0,0.0,,20,0,0,0,0,0.0,,18,0,0,0,0,0.0,
SNYDER GENERAL,WSHP,30,0,0,0,0,0.0,,30,0,0,0,0,0.0,,30,0,0,0,0,0.0,
TRANE,Air Handling Unit,317,0,0,0,2,0.0,,385,133,9,124,0,34.5,6.8,203,61,34,27,0,30.0,55.7
TRANE,Chiller,30,0,0,0,0,0.0,,18,0,0,0,3,0.0,,23,0,0,0,0,0.0,
TRANE,Cooling Condensing Unit,500,0,0,0,0,0.0,,484,26,26,0,0,5.4,100.0,391,369,292,77,0,94.4,79.1
TRANE,Ductless Split System,29,0,0,0,0,0.0,,29,3,0,3,0,10.3,0.0,29,0,0,0,0,0.0,
TRANE,Furnace,54,0,0,0,0,0.0,,27,0,0,0,0,0.0,,41,41,32,9,0,100.0,78.0
TRANE,Heat Pump Condensing Unit,160,0,0,0,0,0.0,,160,127,127,0,0,79.4,100.0,57,56,10,46,0,98.2,17.9
TRANE,Packaged Unit,218,0,0,0,0,0.0,,182,41,11,30,0,22.5,26.8,144,86,57,29,0,59.7,66.3
TRANE,WSHP,9,0,0,0,0,0.0,,10,1,1,0,0,10.0,100.0,8,1,1,0,0,12.5,100.0
UNKNOWN,Packaged Unit,17,0,0,0,0,0.0,,16,0,0,0,0,0.0,,16,0,0,0,0,0.0,
YORK/JCI,Cooling Condensing Unit,20,0,0,0,0,0.0,,18,17,9,6,2,94.4,52.9,19,0,0,0,0,0.0,
YORK/JCI,Packaged Unit,27,0,0,0,2,0.0,,27,6,0,6,0,22.2,0.0,19,0,0,0,0,0.0,
