Building,Unit ID,EquipmentType,Make,BrandNormalized,ModelNumber,SDI_Refrigerant,SDI_VoltageVoltPhase,SDI_KnownCapacityTons,Decoded_Refrigerant,Decoded_VoltageVoltPhaseHz,Decoded_NominalCapacityTons,Norm_SDI_Refrigerant,Norm_Decoded_Refrigerant,Norm_SDI_Voltage,Norm_Decoded_Voltage,CapacityResult,RefrigerantResult,VoltageResult,RefrigerantRuleEquipmentTypes,RefrigerantRuleModelRegex,RefrigerantRuleStartPos,RefrigerantRuleEndPos,RefrigerantRuleSource,VoltageRuleEquipmentTypes,VoltageRuleModelRegex,VoltageRuleStartPos,VoltageRuleEndPos,VoltageRuleSource,CapacityRuleEquipmentTypes,CapacityRuleModelRegex,CapacityRuleStartPos,CapacityRuleEndPos,CapacityRuleSource
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P120YJMU-A,R-410A,480V - Three Phase,10,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P144YJMU-A,R-410A,480V - Three Phase,12,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P144YJMU-A,R-410A,480V - Three Phase,12,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P144YJMU-A,R-410A,480V - Three Phase,12,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P144YJMU-A,R-410A,480V - Three Phase,12,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P144YJMU-A,R-410A,480V - Three Phase,12,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P144YJMU-A,R-410A,480V - Three Phase,12,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P144YJMU-A,R-410A,480V - Three Phase,12,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P144YJMU-A,R-410A,480V - Three Phase,12,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P144YJMU-A,R-410A,480V - Three Phase,12,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P144YJMU-A,R-410A,480V - Three Phase,12,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
Patriot Academy,,VRF - Condensing Unit,Mitsubishi,MITSUBISHI,PURY-P144YJMU-A,R-410A,480V - Three Phase,12,,,,R-410A,,480-3-60,,no_decode,no_decode,no_decode,,,,,,,,,,,,,,,
