BrandNormalized,EquipmentType,Capacity_TruthN,Capacity_DecodedN,Capacity_MatchN,Capacity_MismatchN,Capacity_UncomparableN,Capacity_CoveragePct,Capacity_AccuracyPct,Refrigerant_TruthN,Refrigerant_DecodedN,Refrigerant_MatchN,Refrigerant_MismatchN,Refrigerant_UncomparableN,Refrigerant_CoveragePct,Refrigerant_AccuracyPct,Voltage_TruthN,Voltage_DecodedN,Voltage_MatchN,Voltage_MismatchN,Voltage_UncomparableN,Voltage_CoveragePct,Voltage_AccuracyPct
AAON,Air Handling Unit,26,0,0,0,0,0.0,,13,0,0,0,0,0.0,,26,0,0,0,0,0.0,
AAON,MAU,116,0,0,0,0,0.0,,95,0,0,0,0,0.0,,86,0,0,0,0,0.0,
AAON,Packaged Unit,40,0,0,0,0,0.0,,29,0,0,0,0,0.0,,29,0,0,0,0,0.0,
AMERICAN STANDARD,Cooling Condensing Unit,11,0,0,0,0,0.0,,11,0,0,0,0,0.0,,11,0,0,0,0,0.0,
CARRIER/ICP,Air Handling Unit,39,0,0,0,2,0.0,,38,0,0,0,0,0.0,,8,0,0,0,0,0.0,
CARRIER/ICP,Chiller,16,0,0,0,0,0.0,,7,0,0,0,0,0.0,,8,0,0,0,0,0.0,
CARRIER/ICP,Cooling Condensing Unit,75,0,0,0,0,0.0,,59,0,0,0,0,0.0,,33,0,0,0,0,0.0,
CARRIER/ICP,Ductless Split System,18,0,0,0,0,0.0,,17,0,0,0,0,0.0,,21,0,0,0,0,0.0,
CARRIER/ICP,Furnace,0,0,0,0,0,,,0,0,0,0,0,,,36,0,0,0,0,0.0,
CARRIER/ICP,Heat Pump Condensing Unit,7,0,0,0,0,0.0,,13,0,0,0,0,0.0,,11,0,0,0,0,0.0,
CARRIER/ICP,Packaged Unit,127,0,0,0,0,0.0,,83,0,0,0,0,0.0,,82,0,0,0,0,0.0,
CLIMATE MASTER,WSHP,18,0,0,0,0,0.0,,18,0,0,0,0,0.0,,6,0,0,0,0,0.0,
CLIMATEMASTER,WSHP,45,0,0,0,0,0.0,,45,0,0,0,0,0.0,,30,0,0,0,0,0.0,
EMI,Ductless Split System,39,0,0,0,0,0.0,,39,0,0,0,0,0.0,,18,0,0,0,0,0.0,
FRIEDRICH,WSHP,69,0,0,0,0,0.0,,69,0,0,0,0,0.0,,39,0,0,0,0,0.0,
GOODMAN/AMANA/DAIKIN,Cooling Condensing Unit,34,0,0,0,0,0.0,,28,0,0,0,1,0.0,,29,0,0,0,0,0.0,
GOODMAN/AMANA/DAIKIN,Ductless Split System,19,0,0,0,0,0.0,,22,0,0,0,0,0.0,,19,0,0,0,0,0.0,
GREENHECK,Exhaust Fan,0,0,0,0,0,,,0,0,0,0,0,,,57,0,0,0,0,0.0,
HEAT CONTROLLER INC. - INVERTER,Ductless Split System,12,0,0,0,0,0.0,,9,0,0,0,0,0.0,,12,0,0,0,0,0.0,
LENNOX,Cooling Condensing Unit,18,0,0,0,0,0.0,,11,0,0,0,0,0.0,,9,0,0,0,0,0.0,
LENNOX,Packaged Unit,191,0,0,0,0,0.0,,116,0,0,0,0,0.0,,117,0,0,0,0,0.0,
MAGIC AIRE,Air Handling Unit,27,0,0,0,0,0.0,,27,0,0,0,0,0.0,,27,0,0,0,0,0.0,
MAMMOTH,Packaged Unit,12,0,0,0,0,0.0,,7,0,0,0,0,0.0,,8,0,0,0,0,0.0,
MCQUAY,WSHP,37,0,0,0,0,0.0,,37,0,0,0,0,0.0,,37,0,0,0,0,0.0,
MITSUBISHI,Ductless Split System,9,0,0,0,0,0.0,,11,0,0,0,0,0.0,,7,0,0,0,0,0.0,
MITSUBISHI,VRF - Condensing Unit,210,0,0,0,0,0.0,,210,0,0,0,0,0.0,,210,0,0,0,0,0.0,
RHEEM/RUUD,Cooling Condensing Unit,21,0,0,0,0,0.0,,20,0,0,0,0,0.0,,18,0,0,0,0,0.0,
SNYDER GENERAL,WSHP,30,0,0,0,0,0.0,,30,0,0,0,0,0.0,,30,0,0,0,0,0.0,
TRANE,Air Handling Unit,317,0,0,0,2,0.0,,385,0,0,0,0,0.0,,203,0,0,0,0,0.0,
TRANE,Chiller,30,0,0,0,0,0.0,,18,0,0,0,3,0.0,,23,0,0,0,0,0.0,
TRANE,Cooling Condensing Unit,500,0,0,0,0,0.0,,484,0,0,0,0,0.0,,391,0,0,0,0,0.0,
TRANE,Ductless Split System,29,0,0,0,0,0.0,,29,0,0,0,0,0.0,,29,0,0,0,0,0.0,
TRANE,Furnace,54,0,0,0,0,0.0,,27,0,0,0,0,0.0,,41,0,0,0,0,0.0,
TRANE,Heat Pump Condensing Unit,160,0,0,0,0,0.0,,160,0,0,0,0,0.0,,57,0,0,0,0,0.0,
TRANE,Packaged Unit,218,0,0,0,0,0.0,,182,0,0,0,0,0.0,,144,0,0,0,0,0.0,
TRANE,WSHP,9,0,0,0,0,0.0,,10,0,0,0,0,0.0,,8,0,0,0,0,0.0,
UNKNOWN,Packaged Unit,17,0,0,0,0,0.0,,16,0,0,0,0,0.0,,16,0,0,0,0,0.0,
YORK/JCI,Cooling Condensing Unit,20,0,0,0,0,0.0,,18,0,0,0,0,0.0,,19,0,0,0,0,0.0,
YORK/JCI,Packaged Unit,27,0,0,0,2,0.0,,27,0,0,0,0,0.0,,19,0,0,0,0,0.0,
