brand,attribute_name,source_url,image_url,saved_path,ocr_text_path,ocr_excerpt
AIRE FLOW,ModelNomenclature,https://www.building-center.org/aire-flow-tonnage-decoder/,https://www.building-center.org/wp-content/uploads/2024/09/Screenshot-2024-09-20-102356.png,data/raw_images/2026-01-25-extract3-img1/9a6047d8419f__Screenshot-2024-09-20-102356.png,data/ocr_text/2026-01-25-ocr-model1/model_nomenclature/AIRE_FLOW__9a6047d8419f__Screenshot-2024-09-20-102356.png.txt,"New Residential Nomenclature Coils C33 - 18A - 2FT SEE NOTE BELOW i Tonnage — T= Technicoat (exokale di n0t optioned) F= Full Case (exclude df uncased) 2 =Onfice 3. = Beedpon Indoor TXY ' 4= Non-Bleed Indoor THY Desranes 5 = Non-Bleed Outdoor TX’ wth. (Corresponds with 6 = Non-Bleed Indoor THY R410A, C= Evaporator Coll pahamtce nomenciamre) CH= Horizontal B=175"" CR® Down-Flow C=21"" De 245"" Note: R"
AMANA,ModelNomenclature,https://www.building-center.org/amana-tonnage-decoder/,https://www.building-center.org/wp-content/uploads/2024/10/Screenshot-2024-10-24-155137.png,data/raw_images/2026-01-25-extract3-img1/7d8ae53d2cc9__Screenshot-2024-10-24-155137.png,data/ocr_text/2026-01-25-ocr-model1/model_nomenclature/AMANA__7d8ae53d2cc9__Screenshot-2024-10-24-155137.png.txt,"A L x s 4 N A 36 1 0 A A 1 2 3 4 5 6 7 8,9 10 11 12 13 Minor REV BRAND A A - Amana Brand MAJOR REVISION TYPE A L_ R-32 Splits System Variation OuTDOoR TYPE Electrical X Condenser 1 208/230 V, 1 Phase, 60 Hz Z Heat Pump NOMINAL CAPACITY COMPRESSOR TYPE 18-1% Tons 42 - 3% Tons S Single-Stage 24 - 2 Tons 48-4 Tons T Two-Stage 30 - 2 Tons 60-5 Tons 36-3 Tons. EFFICIENCY (SEER2) NOMINAL 13.4-13.7=3 16."
BOSCH,ModelNomenclature,https://www.building-center.org/bosch-tonnage-decoder/,https://www.building-center.org/wp-content/uploads/2024/11/Screenshot-2024-11-17-180652.png,data/raw_images/2026-01-25-extract3-img1/083b0eb61593__Screenshot-2024-11-17-180652.png,data/ocr_text/2026-01-25-ocr-model1/model_nomenclature/BOSCH__083b0eb61593__Screenshot-2024-11-17-180652.png.txt,"Outdoor Model BMS500-AAM018-1CSXRA BMS500-AAM027-1CSXRA, BMS500-AAMO27-1CSXHB, BMS500-AAM036-1CSXRA, BMS500-AAMO36-1CSXHB BMS500-AAM036-1CSXHB, BMS500-AAM048-1CSXRA"
COLEMAN,ModelNomenclature,https://www.building-center.org/coleman-tonnage-decoder/,https://www.building-center.org/wp-content/uploads/2024/12/Screenshot-2024-12-03-095704-e1733238689770.png,data/raw_images/2026-01-25-extract3-img1/809a102fb44f__Screenshot-2024-12-03-095704-e1733238689770.png,data/ocr_text/2026-01-25-ocr-model1/model_nomenclature/COLEMAN__809a102fb44f__Screenshot-2024-12-03-095704-e1733238689770.png.txt,", 6.5-12.5 ZJ Ton York® Model Number Nomenclature poem [_ Product Genecation | |__Preaxa caecay | 1 + First Generaton - 2» Second Generation iioeaee a ace E = SSO (SST Drain Pan)| R = Reverse Oran Pan O78 = 65Ton 080 + 7.57 102285 Ten 1 = STO Throwaway Pater 120 * 10.0 Ton 2= 7 Prosted Fiters (Merv 8) 150 = 12.5 Ton 3* 4"" Pleated Fiters (Merv 13) 4 = Col Guard (CG), STD Fiter 5 = 2 Preated Fiter,0"
COLEMAN,ModelNomenclature,https://www.building-center.org/coleman-tonnage-decoder/,https://www.building-center.org/wp-content/uploads/2024/12/Screenshot-2024-12-03-100243.png,data/raw_images/2026-01-25-extract3-img1/142453289a81__Screenshot-2024-12-03-100243.png,data/ocr_text/2026-01-25-ocr-model1/model_nomenclature/COLEMAN__142453289a81__Screenshot-2024-12-03-100243.png.txt,AFFINITY PRODUCT NOMENCLATURE CZE 0361 1HWA Product Category C=AC Y=HP B= 13 SEER Product Identifier E=15 SEER H=18SEER pears Ton 048 =4 Ton 024 = 2 Ton 060=5T Nominal Cooling Capacity 030 = 2.5 Ton AUC 036 = 3 Ton 042 =3.5 Ton pt [Voltage Codes = 208/230-1-60 [1 Proauct Generation =i =Newor Geneon CCS | Hw [Product Description =| HW=Hardwoods Green HD MX=Advantage Max-4 HD
DAKIN,ModelNomenclature,https://www.building-center.org/dakin-tonnage-decoder/,https://www.building-center.org/wp-content/uploads/2024/12/Screenshot-2024-12-09-173959.png,data/raw_images/2026-01-25-extract3-img1/6c5a6d10d517__Screenshot-2024-12-09-173959.png,data/ocr_text/2026-01-25-ocr-model1/model_nomenclature/DAKIN__6c5a6d10d517__Screenshot-2024-12-09-173959.png.txt,"D x 13 Ss A 036 3 A A D - Daikin Minor revision | ye ey a yn Engineering X-ACR-410A _ i Major revision Z-HPR-410A 0 | A> Pall ote | ii Gai c Voltag EER 3 - 208/230 V Three-Phase 60 Hz 13 -13 SEER . 4 - 460 V Three-Phase 60 Hz , p ¢ e 4 — > q @esc me 4 € & | S - Single Stage : 036 - 3 tons 048 - 4 tons eature Se 060 - 5 tons A- Base"
DAKIN,ModelNomenclature,https://www.building-center.org/dakin-tonnage-decoder/,https://www.building-center.org/wp-content/uploads/2024/12/Screenshot-2024-12-09-174033.png,data/raw_images/2026-01-25-extract3-img1/e1ea67128cc8__Screenshot-2024-12-09-174033.png,data/ocr_text/2026-01-25-ocr-model1/model_nomenclature/DAKIN__e1ea67128cc8__Screenshot-2024-12-09-174033.png.txt,"| DX13SA | DX13SA | DX13SA | DX13SA | DX13SA | DX13SA 0363A* 0364A* 0483A* 0484A* 0603A* 0604A* COOLING CAPACITIES Nominal Cooling (BTU/h) 36,000 36,000 48,000 48,000 60,000 60,000 SEER 13 13 13 13 13 13 Decibels 74 74 76 76 72 72 COMPRESSOR RLA/ LRA 10.4/73 5.8/38.0 13.1/83.1 6.1/41 16/110 7.8/52 Type Scroll Scroll Scroll Scroll Scroll Scroll CONDENSER FAN MOTOR Horsepower 1/6 1/6 1/4 1/4 1/4 1/4"
DUCANE,ModelNomenclature,https://www.building-center.org/ducane-tonnage-decoder/,https://www.building-center.org/wp-content/uploads/2024/10/Screenshot-2024-10-02-204004.png,data/raw_images/2026-01-25-extract3-img1/286d1ed2a0b8__Screenshot-2024-10-02-204004.png,data/ocr_text/2026-01-25-ocr-model1/model_nomenclature/DUCANE__286d1ed2a0b8__Screenshot-2024-10-02-204004.png.txt,"MODEL NUMBER GUIDE 4 SCU 1461S 136 P-3A REFRIGERANT d L MINOR REVISION CODE 4=R410A MAJOR REVISION CODE scu SPLIT CONDENSING UNIT 1-PHASE, 60 HZ 16 NOMINAL CAPACITY 16 SEER NOMINAL 36 - 36,000 BTUH Ls REGION RESTRICTIONS LOUVERED TWO-STAGE STANDARD MODEL COMMUNICATING ENABLED"
FRIGIDAIRE,ModelNomenclature,https://www.building-center.org/frigidaire-tonnage-decoder/,https://www.building-center.org/wp-content/uploads/2024/11/Screenshot-2024-11-03-092446.png,data/raw_images/2026-01-25-extract3-img1/cb4bc22a7e49__Screenshot-2024-11-03-092446.png,data/ocr_text/2026-01-25-ocr-model1/model_nomenclature/FRIGIDAIRE__cb4bc22a7e49__Screenshot-2024-11-03-092446.png.txt,"MODEL IDENTIFICATION CODE Q 9 4 R BD e-g 0 24 K Application LT sl | WA Electrical Code Q = Heat Pump K = 208/230-60-1 Round Duct : Generation 1, 3, 5, Etc. Nominal Capacity D = 13.4 SEER2 % 1000 Btu R-410A Refrigerant 0 = Orifice"
GIBSON,ModelNomenclature,https://www.building-center.org/gibson-tonnage-decoder/,https://www.building-center.org/wp-content/uploads/2024/11/Screenshot-2024-11-03-092446.png,data/raw_images/2026-01-25-extract3-img1/cb4bc22a7e49__Screenshot-2024-11-03-092446.png,data/ocr_text/2026-01-25-ocr-model1/model_nomenclature/GIBSON__cb4bc22a7e49__Screenshot-2024-11-03-092446.png.txt,"MODEL IDENTIFICATION CODE Q 9 4 R BD e-g 0 24 K Application LT sl | WA Electrical Code Q = Heat Pump K = 208/230-60-1 Round Duct : Generation 1, 3, 5, Etc. Nominal Capacity D = 13.4 SEER2 % 1000 Btu R-410A Refrigerant 0 = Orifice"
