raw_make,support_n,current_normalize_brand,suggested_brand,similarity,examples
LENOX,114,LENOX,LENNOX,0.909,"[""Lenox""]"
AO SMITH,30,AO SMITH,A O SMITH,1.000,"[""AO Smith"", ""AO SMITH""]"
CLIMATE MASTER,19,CLIMATE MASTER,CLIMATEMASTER,1.000,"[""Climate Master"", ""CLIMATE MASTER""]"
RAYPACK,8,RAYPACK,RAYPAK,0.923,"[""Raypack""]"
A.O. SMITH,6,A.O. SMITH,A O SMITH,1.000,"[""A.O. Smith""]"
WIEL MCLAIN,6,WIEL MCLAIN,WEIL MCLAIN,0.900,"[""WIEL MCLAIN""]"
ABSOLUTEAIRE,4,ABSOLUTEAIRE,ABSOLUTAIRE,0.957,"[""ABSOLUTEAIRE""]"
CLEVERBROOKS,3,CLEVERBROOKS,CLEAVER BROOKS,0.960,"[""CleverBrooks""]"
WEIL-MCLAIN,3,WEIL-MCLAIN,WEIL MCLAIN,1.000,"[""Weil-McLain""]"
ARMTROL,3,ARMTROL,AMTROL,0.923,"[""ARMTROL""]"
INTERNATIONAL COMFORT PRODUCTS,2,INTERNATIONAL COMFORT PRODUCTS,NATIONAL COMFORT PRODUCTS,0.902,"[""International Comfort Products""]"
MITZUBISHI,2,MITZUBISHI,MITSUBISHI,0.900,"[""Mitzubishi""]"
CLEVER BROOKS,1,CLEVER BROOKS,CLEAVER BROOKS,0.960,"[""Clever Brooks""]"
CAPTIVEAIRE,1,CAPTIVEAIRE,CAPTIVE AIRE,1.000,"[""CaptiveAire""]"
US CRAFTMASTER,1,US CRAFTMASTER,U S CRAFTMASTER,1.000,"[""US Craftmaster""]"
WESTING HOUSE,1,WESTING HOUSE,WESTINGHOUSE,1.000,"[""Westing House""]"
WEATHER KING,1,WEATHER KING,WEATHERKING,1.000,"[""Weather King""]"
CLIMATE MATER,1,CLIMATE MATER,CLIMATEMASTER,0.960,"[""Climate Mater""]"
WATER FURNACE,1,WATER FURNACE,WATERFURNACE,1.000,"[""WATER FURNACE""]"
