raw_make,support_n,current_normalize_brand,suggested_brand,similarity,examples
LENOX,114,LENNOX,LENNOX,0.909,"[""Lenox""]"
RAYPACK,8,RAYPACK,RAYPAK,0.923,"[""Raypack""]"
WIEL MCLAIN,6,WIEL MCLAIN,WEIL MCLAIN,0.900,"[""WIEL MCLAIN""]"
ABSOLUTEAIRE,4,ABSOLUTEAIRE,ABSOLUTAIRE,0.957,"[""ABSOLUTEAIRE""]"
CLEVERBROOKS,3,CLEVERBROOKS,CLEAVER BROOKS,0.960,"[""CleverBrooks""]"
ARMTROL,3,ARMTROL,AMTROL,0.923,"[""ARMTROL""]"
INTERNATIONAL COMFORT PRODUCTS,2,INTERNATIONAL COMFORT PRODUCTS,NATIONAL COMFORT PRODUCTS,0.902,"[""International Comfort Products""]"
MITZUBISHI,2,MITZUBISHI,MITSUBISHI,0.900,"[""Mitzubishi""]"
CLEVER BROOKS,1,CLEVER BROOKS,CLEAVER BROOKS,0.960,"[""Clever Brooks""]"
CLIMATE MATER,1,CLIMATE MATER,CLIMATEMASTER,0.960,"[""Climate Mater""]"
