raw_make_normalized,canonical_brand,support_n,similarity,examples,source_url,retrieved_on
AO SMITH,A O SMITH,30,1.000,"[""AO Smith"", ""AO SMITH""]",internal_asset_reports,
RAYPACK,RAYPAK,8,0.923,"[""Raypack""]",internal_asset_reports,
A.O. SMITH,A O SMITH,6,1.000,"[""A.O. Smith""]",internal_asset_reports,
WIEL MCLAIN,WEIL MCLAIN,6,0.900,"[""WIEL MCLAIN""]",internal_asset_reports,
ABSOLUTEAIRE,ABSOLUTAIRE,4,0.957,"[""ABSOLUTEAIRE""]",internal_asset_reports,
CLEVERBROOKS,CLEAVER BROOKS,3,0.960,"[""CleverBrooks""]",internal_asset_reports,
WEIL-MCLAIN,WEIL MCLAIN,3,1.000,"[""Weil-McLain""]",internal_asset_reports,
ARMTROL,AMTROL,3,0.923,"[""ARMTROL""]",internal_asset_reports,
INTERNATIONAL COMFORT PRODUCTS,NATIONAL COMFORT PRODUCTS,2,0.902,"[""International Comfort Products""]",internal_asset_reports,
MITZUBISHI,MITSUBISHI,2,0.900,"[""Mitzubishi""]",internal_asset_reports,
