rule_type,brand,style_name,serial_regex,date_fields,example_serials,decade_ambiguity,guidance_action,guidance_text,evidence_excerpt,source_url,retrieved_on
decode,Lennox,Style 1: 46 07 B 20058,^\d{4}[B]\d{5}$,"{""year"": {""positions"": {""start"": 3, ""end"": 4}}, ""month"": {""positions"": {""start"": 5, ""end"": 5}}}","[""4607B20058""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined by using the 3 rd & 4 th positions of the serial number
Month of manufacture can be determined by using the 5 th position of the serial number (See chart below)",https://www.building-center.org/armstrong-air-hvac-age/,2026-01-25T03:34:23Z
decode,Lennox,Style 1: A14019 E L A,^[A]\d{5}[E][L][A]$,"{""year"": {""positions"": {""start"": 8, ""end"": 8}}, ""month"": {""positions"": {""start"": 7, ""end"": 7}}}","[""A14019ELA""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Month of manufacture can be determined by using the 7 th position of the serial number (See chart below)
Year of manufacture can be determined by using the 8 th position of the serial number (See char",https://www.building-center.org/armstrong-air-hvac-age/,2026-01-25T03:34:23Z
decode,Carrier/ICP,Style 1: 40 06 A17330,^\d{4}[A]\d{5}$,"{""year"": {""positions"": {""start"": 3, ""end"": 4}}, ""week"": {""positions"": {""start"": 1, ""end"": 2}}}","[""4006A17330""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"This is the newest style for Carrier brand (or subsidiary) systems, and the age can be determined by the first four numbers.
The serial number style has been used since 1980, and is formatted by 4 num",https://www.building-center.org/carrier-hvac-age/,2026-01-25T03:34:54Z
decode,Carrier/ICP,Style 2: 85 03 04091,^\d{9}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 4}}}","[""850304091""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"This is a Bryant or BDP brand style number (merged with Carrier in 1955 and BDP created in 1974). The age can be determined by the first four numbers.
The serial number style was used primarily during",https://www.building-center.org/carrier-hvac-age/,2026-01-25T03:34:54Z
decode,Carrier/ICP,Style 3: W 4 D14008 (U.S.) ~or~ 4 W D14008 (Canada),^[A-Z0-9]{2}[D]\d{5}$,"{""year"": {""positions"": {""start"": 2, ""end"": 2}}, ""month"": {""positions"": {""start"": 1, ""end"": 1}}}","[""4WD14008"", ""W4D14008""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"The serial number style was used exclusively from 1980-1984 and ONLY used letters M through Z to represent the month.
CAUTION: Canada units reverse the Year and Month positions from U.S. made serial n",https://www.building-center.org/carrier-hvac-age/,2026-01-25T03:34:54Z
decode,Carrier/ICP,Style 4: A 1 67890,^[A]\d{6}$,"{""year"": {""positions"": {""start"": 2, ""end"": 2}}, ""month"": {""positions"": {""start"": 1, ""end"": 1}}}","[""A167890""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"The serial number style was used exclusively from January 1, 1969 to December 31, 1979.
Description: Seven (7) character serial number started with letters from A to L .  Formatted by one (1) letter (",https://www.building-center.org/carrier-hvac-age/,2026-01-25T03:34:54Z
guidance,Carrier/ICP,Style 5: 6 ###### (U.S.) ~or~ 6 #### (Canada),,"{""year"": {""positions"": {""start"": 1, ""end"": 1}}}",[],"{""is_ambiguous"": true, ""notes"": ""No validated example serial for this style""}",pattern_no_example,"The serial number style was used exclusively PRIOR to 1969
Description:
U.S. Only: Seven (7) character all numeric serial number.
Canada Only: Five (5) character all numeric serial number.
Year of manufacture can be determined by using the 1 st position of the serial number
This style of serial number was exclusively PRIOR to 1969.","The serial number style was used exclusively PRIOR to 1969
Description:
U.S. Only: Seven (7) character all numeric serial number.
Canada Only: Five (5) character all numeric serial number.
Year of man",https://www.building-center.org/carrier-hvac-age/,2026-01-25T03:34:54Z
decode,York/JCI,Style 3: 99 06 97368,^\d{9}$,"{""year"": {""positions"": {""start"": 1, ""end"": 2}}, ""month"": {""positions"": {""start"": 3, ""end"": 4}}}","[""990697368""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined by using the 1 st & 2 nd positions of the serial number
Month of manufacture can be determined by using the 3 rd & 4 th positions of the serial number
NOTE: This ",https://www.building-center.org/coleman-hvac-age/,2026-01-25T03:35:15Z
decode,York/JCI,Style 4: 01 88 123456,^\d{10}$,"{""year"": {""positions"": {""start"": 3, ""end"": 4}}, ""month"": {""positions"": {""start"": 1, ""end"": 2}}}","[""0188123456""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined by using the 3 rd & 4 th positions of the serial number
Month of manufacture can be determined by using the 1 st & 2 nd positions of the serial number
NOTE: This ",https://www.building-center.org/coleman-hvac-age/,2026-01-25T03:35:15Z
decode,Lennox,Style 1: 414072 03 28,^\d{10}$,"{""year"": {""positions"": {""start"": 3, ""end"": 4}}}","[""4140720328""]","{""is_ambiguous"": true, ""notes"": ""Year not 4 digits""}",,,"Year of manufacture can be determined by using the 4 th & 3 rd from last positions of the serial number
Week of manufacture can be determined by using the last 2 positions of the serial number",https://www.building-center.org/ducane-hvac-age/,2026-01-25T03:35:50Z
