Customer Name,Customer Number,Customer Key,Source,Last Billing Date (Any Stream)
10% Cabinetry,CN992368,CN992368SERV_GP,SERV_GP,2025-11-01 00:00:00
"109 Independence Lane, Llc",TN992067,TN992067SERV_GP,SERV_GP,2024-04-09 00:00:00
16 Point Solution,16POINTSOLUTION,16POINTSOLUTIONMECH_GP,MECH_GP,2019-11-01 00:00:00
161 Springmill Properties Llc C/O Kennmar Llc,IN990411,IN990411SERV_GP,SERV_GP,2024-10-01 00:00:00
1633  Clio Avenue,CN992360,CN992360SERV_GP,SERV_GP,2026-01-01 00:00:00
20 N Delaware Llc,IN990470,IN990470SERV_GP,SERV_GP,2024-07-23 00:00:00
21St Mortgage Corporation,TN991431,TN991431SERV_GP,SERV_GP,2020-10-01 00:00:00
2Nds In Building Material,2NDS IN BLDG,2NDS IN BLDGMECH_GP,MECH_GP,2006-05-01 00:00:00
3001 Highland Partnership,CN940350,CN940350SERV_GP,SERV_GP,2026-01-01 00:00:00
34 Market Square Llc,TN992121,TN992121SERV_GP,SERV_GP,2023-03-29 00:00:00
3665 Mallory Jv Llc Co Foundry Commercial Llc,NV15030,NV15030SERV_GP,SERV_GP,2023-12-15 00:00:00
3D Technical Services,3D TECH,3D TECHMECH_GP,MECH_GP,2007-05-01 00:00:00
3Ls Properties Chattanooga C/O Realty Trust Group,TN992018,TN992018SERV_GP,SERV_GP,2024-12-06 00:00:00
4000 Associates,4000 ASSOCIATES,4000 ASSOCIATESMECH_GP,MECH_GP,2007-11-01 00:00:00
45 Ninety Construction,45NINETYCONSTRU,45NINETYCONSTRUMECH_GP,MECH_GP,2026-01-01 00:00:00
"45Ninety Construction, Inc",CN992334,CN992334SERV_GP,SERV_GP,2026-01-09 00:00:00
4J Redevelopment Llc,4J REDEVLOP,4J REDEVLOPMECH_GP,MECH_GP,2008-07-01 00:00:00
502 Fletcher Ave Llc,IN990440,IN990440SERV_GP,SERV_GP,2026-01-01 00:00:00
513 Property Management,CN992127,CN992127SERV_GP,SERV_GP,2021-07-07 00:00:00
56 Street Llc,IN990273,IN990273SERV_GP,SERV_GP,2021-08-09 00:00:00
625 Market Street,TN991242,TN991242SERV_GP,SERV_GP,2023-06-09 00:00:00
8200 Haverstick Llc C/O Jll,IN990246,IN990246SERV_GP,SERV_GP,2021-03-15 00:00:00
93 Palladium Way Property Llc,TN991662,TN991662SERV_GP,SERV_GP,2026-01-02 00:00:00
9998 East 121St Street,IN990522,IN990522SERV_GP,SERV_GP,2025-12-04 00:00:00
