Customer Key,Manual Master Name,Manual Segment
"# EXAMPLE: Force a specific key to be ""Amazon"" and ""Office""",,
# CN991873SERV_GP,AMAZON,Office
#,,
# EXAMPLE: Fix a bad C/O split or wrong segment,,
# TN992026SERV_GP,FLAGSHIP HEALTHCARE PROPERTIES,Medical
LX990293SERV_GP,ADAIR COUNTY FISCAL COURT,Municipal
IN990147SERV_GP,MORGAN COUNTY IN,Municipal
MORGAN COUNTYMECH_GP,MORGAN COUNTY IN,Municipal
Lawrence County Commissioners,LAWRENCE COUNTY OH,Municipal
Lawrence County Courthouse,LAWRENCE COUNTY OH,Municipal
Lawrence County Department Of Jobs And Family Services,LAWRENCE COUNTY OH,Municipal
Lawrence County Djfs,LAWRENCE COUNTY OH,Municipal
CN991226SERV_GP,AUGLAIZE COUNTY OH,Municipal
AUGLAIZE COMECH_GP,AUGLAIZE COUNTY OH,Municipal
CITY N COLL HILMECH_GP,CITY OF NORTH COLLEGE HILL,Municipal
CN991388SERV_GP,CITY OF NORTH COLLEGE HILL,Municipal
CN991319SERV_GP,THE CHRIST HOSPITAL,Medical
IN990302SERV_GP,CITY OF FRANKLIN IN,Municipal
CITY OF FRANKMECH_GP,CITY OF FRANKLIN IN,Municipal
CITY OF HAMMONDMECH_GP,CITY OF HAMMOND IN,Municipal
IN990257SERV_GP,CITY OF HAMMOND IN,Municipal
CITYOF S CHARLEMECH_GP,CITY OF SOUTH CHARLESTON WV,Municipal
WV990239SERV_GP,CITY OF SOUTH CHARLESTON WV,Municipal
LX990342SERV_GP,GREENUP COUNTY FISCAL COURT,Municipal
LX990502SERV_GP,POWELL COUNTY FISCAL COURT,Municipal
POWELLMECH_GP,POWELL COUNTY FISCAL COURT,Municipal
LX990405SERV_GP,WOODFORD COUNTY FISCAL COURT,Municipal
WOODFORDMECH_GP,WOODFORD COUNTY FISCAL COURT,Municipal
LX990424SERV_GP,WOODFORD COUNTY FISCAL COURT,Municipal
CITY OF ST BERNMECH_GP,CITY OF ST BERNARD,Municipal
CN991182SERV_GP,CITY OF ST BERNARD,Municipal
CLINTON CTYMECH_GP,CLINTON COUNTY OH,Municipal
DY990909SERV_GP,CLINTON COUNTY OH,Municipal
