Customer Key,Original Name,Master Customer Name,Segment,Source
CN992368SERV_GP,10% Cabinetry,10 CABINETRY,Other,SERV_GP
TN992067SERV_GP,"109 Independence Lane, Llc",109 INDEPENDENCE LANE,Other,SERV_GP
16POINTSOLUTIONMECH_GP,16 Point Solution,16 POINT SOLUTION,Other,MECH_GP
IN990411SERV_GP,161 Springmill Properties Llc C/O Kennmar Llc,161 SPRINGMILL PROPERTIES,Office,SERV_GP
CN992360SERV_GP,1633  Clio Avenue,1633 CLIO AVENUE,Other,SERV_GP
IN990470SERV_GP,20 N Delaware Llc,20 N DELAWARE,Other,SERV_GP
TN991431SERV_GP,21St Mortgage Corporation,21ST MORTGAGE,Other,SERV_GP
2NDS IN BLDGMECH_GP,2Nds In Building Material,2NDS IN BUILDING MATERIAL,Other,MECH_GP
CN940350SERV_GP,3001 Highland Partnership,3001 HIGHLAND PARTNERSHIP,Other,SERV_GP
TN992121SERV_GP,34 Market Square Llc,34 MARKET SQUARE,Other,SERV_GP
NV15030SERV_GP,3665 Mallory Jv Llc Co Foundry Commercial Llc,3665 MALLORY JV,Office,SERV_GP
3D TECHMECH_GP,3D Technical Services,3D TECHNICAL SERVICES,Other,MECH_GP
TN992018SERV_GP,3Ls Properties Chattanooga C/O Realty Trust Group,3LS PROPERTIES CHATTANOOGA,Office,SERV_GP
4000 ASSOCIATESMECH_GP,4000 Associates,4000 ASSOCIATES,Office,MECH_GP
45NINETYCONSTRUMECH_GP,45 Ninety Construction,45NINETY CONSTRUCTION,Industrial,MECH_GP
CN992334SERV_GP,"45Ninety Construction, Inc",45NINETY CONSTRUCTION,Industrial,SERV_GP
4J REDEVLOPMECH_GP,4J Redevelopment Llc,4J REDEVELOPMENT,Other,MECH_GP
IN990440SERV_GP,502 Fletcher Ave Llc,502 FLETCHER AVE,Other,SERV_GP
CN992127SERV_GP,513 Property Management,513 PROPERTY MANAGEMENT,Other,SERV_GP
IN990273SERV_GP,56 Street Llc,56 STREET,Other,SERV_GP
TN991242SERV_GP,625 Market Street,625 MARKET STREET,Other,SERV_GP
TN991662SERV_GP,93 Palladium Way Property Llc,93 PALLADIUM WAY PROPERTY,Other,SERV_GP
IN990522SERV_GP,9998 East 121St Street,9998 EAST 121ST STREET,Other,SERV_GP
CN992110SERV_GP,A Childs Hope Int'L,A CHILDS HOPE INTL,Other,SERV_GP
AT REDEVELOPMECH_GP,"A T Redevelopment Company, Llc",A T REDEVELOPMENT,Other,MECH_GP
CN992062SERV_GP,Abb Optical Group,ABB OPTICAL GROUP,Other,SERV_GP
LX990368SERV_GP,Abc Automotive Systems Inc,ABC AUTOMOTIVE SYSTEMS,Industrial,SERV_GP
TN991418SERV_GP,Abloom Florist,ABLOOM FLORIST,Other,SERV_GP
CN991906SERV_GP,Absolute Machine Tools,ABSOLUTE MACHINE TOOLS,Industrial,SERV_GP
IN990292SERV_GP,Absolute Value Management,ABSOLUTE VALUE MANAGEMENT,Other,SERV_GP
LV990433SERV_GP,Absolute Value Management,ABSOLUTE VALUE MANAGEMENT,Other,SERV_GP
TN991439SERV_GP,Accella Tire Fill Systems,ACCELLA TIRE FILL SYSTEMS,Industrial,SERV_GP
IN990319SERV_GP,Accenture Llp,ACCENTURE LLP,Other,SERV_GP
TN992163SERV_GP,Accenture Llp,ACCENTURE LLP,Other,SERV_GP
CN992211SERV_GP,Accumet Specialty Metals Inc.,ACCUMET SPECIALTY METALS,Other,SERV_GP
ACCURATEMECH_GP,Accurate Mechanical Solutions,ACCURATE MECHANICAL SOLUTIONS,Other,MECH_GP
DY991126SERV_GP,Activate Games,ACTIVATE GAMES,Other,SERV_GP
ADAIR COUNTYMECH_GP,Adair County Fiscal Court,ADAIR COUNTY FISCAL COURT,Municipal,MECH_GP
LX990293SERV_GP,Adair County Jail,ADAIR COUNTY FISCAL COURT,Municipal,SERV_GP
CN992253SERV_GP,Adams County Regional Medical Center,ADAMS COUNTY REGIONAL MEDICAL CENTER,Medical,SERV_GP
ADAMS COUNTYMECH_GP,Adams County/Ohio Valley School,ADAMS COUNTYOHIO VALLEY SCHOOL,Municipal,MECH_GP
"ADAMS, DOUGMECH_GP","Adams, Doug",ADAMS DOUG,Other,MECH_GP
LX990465SERV_GP,Addiction Recovery Care,ADDICTION RECOVERY CARE,Medical,SERV_GP
LX990471SERV_GP,Adkev Inc,ADKEV,Other,SERV_GP
TN992228SERV_GP,"Adman Electric, Inc",ADMAN ELECTRIC,Other,SERV_GP
IN990364SERV_GP,Advanced Agrilytics,ADVANCED AGRILYTICS,Other,SERV_GP
ADVANCED INDUSTMECH_GP,"Advanced Industrial Managment, Inc.",ADVANCED INDUSTRIAL MANAGMENT,Industrial,MECH_GP
TN992112SERV_GP,Advanced Lableworx Inc,ADVANCED LABLEWORX,Other,SERV_GP
ADVANTAGEENGINMECH_GP,Advantage Engineering,ADVANTAGE ENGINEERING,Industrial,MECH_GP
CN992111SERV_GP,Aegis Protective Services,AEGIS PROTECTIVE SERVICES,Other,SERV_GP
IN990410SERV_GP,Ael-Span,AELSPAN,Other,SERV_GP
CN990200SERV_GP,Aero-Blast,AEROBLAST,Other,SERV_GP
DY991111SERV_GP,Aerospace Lubricants Inc,AEROSPACE LUBRICANTS,Other,SERV_GP
DY991123SERV_GP,Aesthetic Eye Oculoplastic Surgery,AESTHETIC EYE OCULOPLASTIC SURGERY,Medical,SERV_GP
TN991883SERV_GP,Afc Urgent Care,AFC URGENT CARE,Medical,SERV_GP
LX990334SERV_GP,Afford A Vet - Pasadena,AFFORD A VET PASADENA,Medical,SERV_GP
LX990333SERV_GP,Afford A Vet - Richmond Rd,AFFORD A VET RICHMOND RD,Medical,SERV_GP
TN991753SERV_GP,Affordable Dentures,AFFORDABLE DENTURES,Medical,SERV_GP
AFFORDABLESERVIMECH_GP,Affordable Service Solutions,AFFORDABLE SERVICE SOLUTIONS,Other,MECH_GP
CN992331SERV_GP,Ag Stones,AG STONES,Other,SERV_GP
IN990270SERV_GP,Agellan Commercial Reit,AGELLAN COMMERCIAL REIT,Other,SERV_GP
IN990393SERV_GP,Agree Realty Corporation,AGREE REALTY,Office,SERV_GP
NV00151SERV_GP,Ahc Clarksville,AHC CLARKSVILLE,Other,SERV_GP
CN991511SERV_GP,Aicholtz Llc,AICHOLTZ,Other,SERV_GP
CN992148SERV_GP,Aigc Solutions,AIGC SOLUTIONS,Other,SERV_GP
DY991010SERV_GP,Air Energy,AIR ENERGY,Industrial,SERV_GP
AIR ENERGYMECH_GP,Air Energy Systems,AIR ENERGY SYSTEMS,Industrial,MECH_GP
AIR FORCE ONEMECH_GP,"Air Force One, Inc.",AIR FORCE ONE,Other,MECH_GP
LX950098SERV_GP,Air Gas,AIR GAS,Other,SERV_GP
LX990301SERV_GP,Aisin Automotive,AISIN AUTOMOTIVE,Industrial,SERV_GP
NV00103SERV_GP,Aisin World Corp Of America,AISIN WORLD OF AMERICA,Other,SERV_GP
AJKMECH_GP,"Ajk Management, Inc.",AJK MANAGEMENT,Other,MECH_GP
AKERSMECH_GP,Akers Packaging,AKERS PACKAGING,Industrial,MECH_GP
AL MILLERMECH_GP,A.L. Miller Plumbing Inc.,AL MILLER PLUMBING,Other,MECH_GP
AL NEYERMECH_GP,"Al. Neyer, Llc",AL NEYER,Other,MECH_GP
ALBA MANUFACTURMECH_GP,"Alba Manufacturing, Inc.",ALBA MANUFACTURING,Industrial,MECH_GP
ALBERT HIGLEYMECH_GP,Albert M. Higley Co.,ALBERT M HIGLEY,Other,MECH_GP
TN991254SERV_GP,Alec Blaine,ALEC BLAINE,Other,SERV_GP
IN990472SERV_GP,Alhuda Foundation,ALHUDA FOUNDATION,Other,SERV_GP
DY991063SERV_GP,Ali Industries Inc.,ALI INDUSTRIES,Other,SERV_GP
TN992196SERV_GP,All Eleven C/O Nai,ALL ELEVEN,Office,SERV_GP
ALL OCCASIONSMECH_GP,All Occasions Equip. Rentals,ALL OCCASIONS EQUIP RENTALS,Other,MECH_GP
IN990431SERV_GP,All Pro Commercial Services,ALL PRO COMMERCIAL SERVICES,Other,SERV_GP
CN991496SERV_GP,All Pro Parking,ALL PRO PARKING,Other,SERV_GP
TN992230SERV_GP,Alliance Technical Group Llc,ALLIANCE TECHNICAL GROUP,Other,SERV_GP
CN991912SERV_GP,Allied Crawford (Cincinnati),ALLIED CRAWFORD CINCINNATI,Other,SERV_GP
CN991970SERV_GP,Allied Supply,ALLIED SUPPLY,Other,SERV_GP
ALLIED SUPPLYMECH_GP,Allied Supply Company,ALLIED SUPPLY,Other,MECH_GP
LX990385SERV_GP,Allison Abrasives,ALLISON ABRASIVES,Other,SERV_GP
